序号,评论者,评分,内容,时间
1,小痕呀,推荐,浪漫到骨子里，忧郁，神经质，跳跃，文艺是很典型的法国电影啊！喜欢的人为它如痴如醉，不喜欢的人看的昏昏欲睡，两种极端。我只能说非常好，非常适合一遍一遍地欣赏。艾米丽是天使，拥抱世人，容纳那些不美好。,2017-03-22 15:24:30
2,宋小君,推荐,浓重的法国情调，舒缓，镜头语言动听。女主角漂亮。唯一的不足就是……这样的爱情会不会太作了？爱情就是门口经过的大巴，现在不上，以后都不能再上了……,2012-01-09 10:08:47
3,赫恩曼尼,推荐,没有你，良辰美景奈何？法国式的温馨神秘，爱死了的爱情,2012-07-24 22:31:16
4,Zephyrance,力荐,左上唇，右脸颊，左眼，右后脖颈。,2006-07-29 12:20:38
5,X,推荐,喜欢奥黛丽塔图，有一种纯真的狡黠,2017-03-20 10:54:44
6,大头绿豆,力荐,艾米丽扶着那个盲老头走过马路和天桥和无数商店，飞快地告诉他自己看到了什么，然后又像天使一样离开。,2005-06-12 02:22:17
7,Ocap,推荐,讲给宅女听的现代童话，极致光影美，讨喜伪浪漫。让-皮埃尔·热内以随性诠释感性，就像摆脱了强迫症的韦斯·安德森，大师耍稚气。如果说好看、动听、可回味的电影并不一定需要好故事，那么本片就是明证，法式风情渗透在它每一个镜头的每一个角落里，帧帧如画，迷人而另类。,2015-05-17 16:23:06
8,流浪忧伤,力荐,有没有人觉得和重庆深林里的王菲有点相似？,2011-01-06 20:25:38
9,橘猫爱吃鱼,推荐,奥黛丽•塔图很完美的演绎了“艾美丽”这一角色，表演十分的到位，在古灵精怪的同时又很富有柔情与少女的情怀，十分的完美。,2018-04-18 07:18:49
10,幸存者,推荐,人生确实奇妙，小时候总嫌时间过得慢，一眨眼你已50岁了。童年回忆，只能靠旧盒子里的东西勾起。我现在已经30岁了，回想时间，过时觉得慢，现在却觉过得挺快的！爸妈都已头发发白，爷爷离我们远去了！,2018-04-16 21:11:44
11,寂地,力荐,看了心情会很好,2006-01-01 17:46:23
12,艾小柯,力荐,浪漫到极至。,2006-06-20 03:46:12
13,米姐起飞,力荐,全心全力关怀他人 总比自怨自艾来得好,2008-02-06 20:18:45
14,郑／,无评分,其实我也经常做这样的事情，为什么拍成电影就有人赞好，现实当中被当成白痴,2011-06-12 16:12:26
15,亂馬2/1,力荐,他買來她要的酵母淘氣的躲在門背後，撩動簾子，一轉身，結果是那只可恶的黑貓，於是，她哭了。,2010-07-20 23:18:26
