序号,评论者,评分,内容,时间
1,战国客,力荐,看来我要少看电影了，我的人生才是我经营的重点，电影终究只是电影啊~~,2008-10-18 15:30:06
2,核桃佳子,力荐,出去闯荡吧，永远不要回来，不要打电话，不要写信。我不要在这里跟你谈话，我要听别人谈论你。。。,2012-04-27 02:41:52
3,Ridden,力荐,生活和电影不一样，生活比电影难多了。,2008-01-20 21:45:21
4,海心,力荐,如此美丽，如此悲伤。那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,2008-11-26 17:45:36
5,胡子大王,力荐,观众在电影院什么事都干,2005-09-24 01:02:14
6,单线程青年,力荐,《天堂电影院》是每个人的童年，每个人的家乡，每个人的初恋，是最后绵绵长长一直伴随到死，渗透到了血液里灵魂里的记忆和感觉。,2007-07-06 09:29:32
7,大头绿豆,力荐,几个亮点：电影院题材；缘分错过后重逢。都是很不容易的题材。恐怖电影，电影院里所有人都捂住了双眼，只有一个男人无所谓地瞪大双眼看，转过头去，楼上也有一个面无惧色的女人在对着他笑。一切停止在此时。,2007-11-27 21:30:13
8,Miss Lucky,力荐,接吻镜头剪辑的那段最美,2006-12-29 10:14:35
9,老鸡｜扶立,推荐,没有结尾的热吻，这部片子就只能是还行,2008-01-10 16:57:03
10,Sophie bian,力荐,真好的一部片子，关于忘年交，关于青春，关于爱情，关于真诚。三十年的时间，你会习惯多少事情而又忘了当初那些感动。当天堂电影院倒塌的一瞬间，脑中残留的画面想起了阿尔弗雷多的那句话：当你在这里待久了，你会以为这里就是世界的中心，你要离开这里。对未来的信仰和憧憬。结尾的吻戏剪辑真赞！,2011-05-28 11:49:41
11,托尼·王大拿,推荐,在中国电影资料馆先看了177分钟版本的导剪版，感觉后半段特别糟心；随后立刻找来124分钟国际版扫了一眼，感叹这片的制片人和国际发行商够牛逼，直接将一个狗血剧剪成了未央歌：爱情无果而终，影院坍塌解体，不完美的完美。,2014-01-05 01:08:59
12,大笨象騎士,力荐,如果不走出去看看，就不会知道回来的意义。回忆的美好在于经历人生种种变数之后，想起那些简单纯粹的日子，那一滴划过上扬嘴角的泪珠。,2016-12-29 18:06:49
13,影志,力荐,我也曾当过放映员，不管是大学时还是工作后，因此深有感悟。我们每个人都是小托托、每个人都希望自己的儿子也叫小托托、就连爷爷奶奶们也都希望有个小托托样的孙子…这就是这部电影的可爱和魅力之处，无处不散发着最原始的梦想与渴望。,2006-01-08 05:17:44
14,九尾黑猫,推荐,剪掉的胶片，拼成无数爱的片段。恒久的誓言，不是100天中99夜的等待，而是第101次回望。,2008-03-19 00:36:00
15,shu,力荐,是的，一场伟大的失恋。,2007-12-02 13:28:06
