序号,评论者,评分,内容,时间
1,影志,力荐,斯皮尔伯格把他对电影的梦想、热心、爱与情怀，浓缩到这部片子，通过极具年代感的经典电影和角色，又并茂高科技的现代游戏闯关，他拿手的、专注的、想诉说的都在这里给影迷情倾盆呈现，并在最后一句“谢谢你玩我的游戏”推向高潮，就像在银幕前看着他对我们说“谢谢你看我的电影”…泪奔,2018-03-27 23:02:34
2,翻滚吧！蛋堡,力荐,游戏宅和影迷的春药！还原《闪灵》那场戏看到要爆炸了！值得去电影院刷十遍！,2018-03-21 17:08:18
3,谢飞导演,推荐,大开眼界！对我这个只玩过斗地主的电脑游戏盲来说，《头号玩家》的内容确是匪夷所思。年轻观众欢呼雀跃的无数“彩蛋”我常常无从辨识，一头雾水，但是观影体验仍然痛快、满足。比我小四岁的老导演斯皮尔伯格，如此旺盛的艺术想象力和娴熟才华，让人佩服不已。后半部渐显落套，也无可苛求。,2018-04-02 17:07:38
4,桃桃林林,推荐,9。我爱这部电影，就好像我的梦想是能进入马丁·斯科塞斯的《出租车司机》，看罗伯特德尼罗枪杀嫖客和鸡头，营救朱迪·福斯特。所以，我爱这部电影。,2018-03-29 22:22:43
5,芥末蘸酱,推荐,斯皮尔伯格就是那个头号玩家。,2018-03-27 23:19:17
6,大奇特(Grinch),推荐,众里寻蛋千百度，玫瑰花蕾却在灯火阑珊处。“谢谢你玩我的游戏。”——谢谢你拍这样的电影。,2018-03-27 21:55:10
7,大島,力荐,好想在有生之年玩一场全民大战马化腾,2018-03-31 22:52:01
8,亚比煞,推荐,其它都挺好。但是你拍了一部片，讲述了一个在游戏里找到挚友，搞到真爱，还一夜暴富成为人生赢家的故事，最后告诉我只有现实是唯一的真实，不觉得结论太苍白了吗？强行政治正确吧。,2018-04-05 12:48:20
9,杨欢喜Metiche,力荐,全场喊牛逼！没啥是斯皮尔伯格做不到的了，在一个商业片中把所有的特效情怀和爱结合得完整而彻底，让影迷乐迷游戏迷接二连三地高潮，即使都不是也能看得花枝乱颤，这样应该算是完美了吧。而最后也竟然默默抹了把眼泪…Reality is the only thing that is real.,2018-03-26 23:47:07
10,风间隼,力荐,公民凯恩串起了闪灵、鬼娃、高达、哥斯拉、亚基拉、街霸、铁巨人、金刚、龟波气功……，加上迪斯科音乐和各种游戏卡，简直是是一部全球世纪流行文化编年史。感谢撕皮儿剥壳，把我们这些大孩子一把拉回追看《回到未来》和《夺宝奇兵》的神奇年代，跟着逼真的特技和癫狂的想象去重温我们的“玫瑰花蕾“。,2018-03-21 19:45:37
11,张小北,推荐,看完之后，完全没感觉到这个电影有140分钟……时间过得好快……,2018-03-31 22:53:55
12,天蝎小猪,力荐,这片讲述了“绿洲五人组”寻找终极彩蛋之旅：第一关告诉你，有时退一步，就是海阔天空；第二关告诉你，人生很短暂，关键的一步一定要迈对；第三关告诉你，不以输赢论英雄，找到乐趣、享受人生；最终关告诉你，别沉迷，活在当下。片中各种游戏、动漫、影视彩蛋信息量太大，必须多刷！,2018-03-30 09:35:38
13,根,力荐,太好看了，我们这一代人的文化真的全在里面了，2045年你们要是建不出这样的虚拟世界，新年钟声敲响的一刻我立马举枪自杀,2018-03-30 21:35:26
14,姨妈的鸭,力荐,就像第一次玩俄罗斯方块，那个竖条降落的时候的感觉。我没办法给出更高的评价了。,2018-03-30 19:03:20
15,陀螺凡达可,推荐,感叹的是斯匹堡把他那不变的童心和念旧情怀放置在如此具有时代感的科幻作品当中，看到最后甚至会为此动容。最牛逼的还是第二关，任何一个影迷都会臣服于那无与伦比的观影体验。,2018-03-29 22:34:19
