序号,评论者,评分,内容,时间
1,陀螺凡达可,力荐,皮克斯第一部没有反派的动画也是其最大胆的作品。整部影片在给孩子看的低龄冒险故事之下，满是只有成年人才能体会到的源自生活的非凡想像力和创造力，核心记忆，个性小岛，抽象空间，造梦制片厂，潜意识监狱，遗忘深渊... 而一如既往的欢笑与感动更使之成功挤进皮克斯TOP之列。,2015-05-27 06:43:07
2,翻滚吧！蛋堡,力荐,果然想象力爆棚！最惊喜的倒不是五种情绪的互相作用，而是对影响性格与情感的个性之岛、核心记忆、抽象思维、造梦工厂影像化的呈现。记忆废墟的设定太催泪了，那些被遗忘的曾经和所有崩坏的岛屿，就是我们成长的代价。,2015-07-05 12:17:32
3,同志亦凡人中文站,力荐,当有天我们会为快乐的回忆流下眼泪，那种笑中有泪的感觉就是长大啊。本质上只是一个儿童故事，但皮克斯的想象力让人叹为观止，尤其是构造出一个妙趣横生而又严谨有序的脑洞世界，看完后好想扒看每个人的脑内呀！！！,2015-06-14 12:46:05
4,凌麦儿,力荐,那时你第一次明白人生不只由欢乐主导，第一次了解万物皆有反面，第一次忘却曾经觉得重要的记忆，第一次在无知无觉中送走曾经无比重要的成长点滴。第一次接受残缺，第一次懂得如何抱着怎么都会有的不完美继续小心翼翼走下去。令人赞叹的主题，毫不拖沓的情节推进，永不让人失望的皮克斯。,2015-07-24 00:52:33
5,永恒的光,力荐,全片我大概50多次情不自禁的 “哇”， 甚至看到热泪盈眶。皮克斯的人都是从另一个世界里走出来的，太有创意了。结尾彩蛋，终于知道喵星人为什么都是蛇精病了，哈哈,2015-06-20 10:44:26
6,Sophie Z,推荐,不止是卖萌的画面和天马行空的想象力，看完电影后会重新审视自己的情绪，记忆，甚至梦境。BingBong消失的时候我哭得和Toy story3结尾时一样……,2015-06-24 11:48:30
7,伍德与夏洛蒂,力荐,这几年看的最悲伤的一个动画，皮克斯回归神作，#戛纳电影节#放映时掌声雷动，一开始最讨厌sadness，看到最后却最明白她，原声Bundle of Joy太好听了，bingbang那一幕让我和隔壁的美国妹子哭成狗，悲伤是觉得如果我脑里也有数个小岛，有些岛应该早已毁掉也不会再修复。结尾小彩蛋太棒。,2015-06-29 16:12:11
8,光影迷失,力荐,不怕货比货，就怕片比片。皮克斯再一次证明了动画片是可以给所有年龄段看的。以为皮克斯被迪斯尼收购后，它的想象力和创造力就再也回不去了，看来这次我被狠狠的打了一记耳光。脑洞无限大，有创意有逻辑，有欢笑有温情，所有都拿捏的恰到好处，被这样的动画片感动到流泪，一点都不丢脸。👼🏻,2015-06-18 15:33:48
9,跳核桃！,力荐,愿我们都不用长大 每一座城堡都能永远存在,2015-06-21 11:34:16
10,icebloom,力荐,皮克斯疲软数年后的爆发，很成功的作品。剧作的精妙之处在于天马行空的同时又有心理学的现实基础，奇妙并严谨地影像化了情感，个性，记忆以及认知。金句无数，越想越有意思。这才是皮克斯应有的水准。,2015-06-23 03:15:56
11,É,力荐,简直不得不佩服这把各种情绪拟人化的想象力，超乎想象的完美诠释！各种情节人物关系的转变，到成长后懂得的复合情感，简直连最后猫狗的头脑都描绘得太形象，那个曾经第一的Pixar终于回来了。,2015-06-21 06:34:35
12,桃桃林林,推荐,好看，想不到一个动画片竟然看得我老泪纵横，从头到尾多处泪点。并不是说有多悲，而是从心底的感动。它会唤起你诸多的回忆，那些亲情与爱，难忘（或已经忘记的）回忆瞬间，一切都是这么真实又细腻，又是在这么一个充满想象力的故事基础上呈现。最终仍是成长与告别。真是服气。,2015-10-06 13:01:43
13,影志,力荐,2015年度最佳！故事、创意、细节、情怀…皮克斯无一不落的回归顶峰，笑中带泪。人最可怕的时候其实正是情绪失去主导、变得麻木之时…快乐有时并非最重要的，必要的悲痛反而更成就人生，一次忧伤一次成长。每个人脑中都有一个情绪主推手，让我们在千变万化的生活里适应新环境、陪伴每个人、过好每一天。,2015-10-06 17:43:46
14,蜜瓜,推荐,看到妈妈的大脑后不禁想是不是到了一个年纪，sadness就会替代joy的主导位,2021-11-21 19:04:27
15,木卫二,推荐,转校故事多。本质上还是跟玩具总动员3讲的成长与失去一个道理，不同的玩具变成了颜色不同、Home Video性质的记忆球。人生当然不是单纯的Joy Story，混合球才是成长的标志物。要讲的事情其实很琐细，正如一滴泪你也可以当它微不足道。但是，如果你记得那滴泪，它就会变得很重很重。,2015-10-07 00:20:53
