序号,评论者,评分,内容,时间
1,战国客,推荐,标准的好莱坞煽情之作，坏人的好总是比好人的好来得更感人~~,2009-08-09 13:08:48
2,Doublebitch,力荐,我只杀过两个人，一个伤害了我妈妈，一个伤害了你,2011-02-18 16:47:15
3,裸踝,力荐,他看见他，他带走他，就像带走童年的自己。他终于相信这个世界有鬼了，眼前这个开枪打伤他的小鬼就是童年自己的鬼魅。“再见，这是完美之旅。”再见，布奇。,2008-12-15 14:09:09
4,十个斗的眼窝浅,力荐,他杀过人，却未动手打过一下菲利普，这段通往地狱的旅行过程中，当他看到妈妈因为怕孩子把新车弄脏而打骂孩子；爷爷嫌孙子动作慢而对孙子抬手耳刮子时，眼底的愤怒与不屑、憎恨与仇视，皆因他拥有一个对任何人都拳脚相加的父亲。这段近似父子的不寻常感情在影片结尾得到升华，我亦哭得稀里哗啦！,2012-07-23 23:19:54
5,快乐大于天 ,推荐,母亲以爱之名绑架孩子，罪犯却以绑架之名解放孩子，大晚上看完心里有些酸酸的~,2021-01-29 23:26:10
6,小斑,力荐,遥远的记忆啊……每次看的时候都想如果Kevin要我做人质，一定张开双手欢迎，然后收紧两臂学足无尾熊的样子抱住他的大腿死都不放。有他当爹，再有Eastwood当爷爷，就是一个perfect world了。肚腩长在有些人身上莫名地就成了一块萌肉,2011-03-19 21:50:46
7,Song³,力荐,将公路片、伦理片、警匪片等诸多片种熔于一炉，适应了当代美国电影的新趋向———类型交汇。于是，有了修正型公路片一说。,2008-11-09 11:19:39
8,安蓝·怪伯爵𓆝𓆟𓆜,力荐,史上最泪奔斯德哥尔摩综合征。我这辈子只杀过两个人，一个伤害了我妈妈一个伤害了你。情感创伤带来贴心信任，一对陌生人手拉手踏上没有希望看不到终点的迷途，Butch对Buzz的每一个小动作，摸摸头，拍拍屁股，看一眼心就化了~满满的父爱，已哭瞎。20171111小西天二刷依然哭到抽……,2015-02-09 01:09:03
9,豆腐脑敢死队,推荐,斯德哥尔摩综合症-Phillip 'Buzz' Perry,2007-12-03 15:29:16
10,☮小小,力荐,灵魂在天上 看着绿草如茵的地方……,2006-08-28 23:18:39
11,彌張,推荐,我这辈子只杀过两个人，一个是伤害我妈妈的人，一个是伤害你的人。这个“你”却是仅仅相识一天的男孩。。同样缺失父爱的两人以这种方式依赖对方。特别安静特别可爱的男孩，以后也要给我孩子穿这样的连体衣！太萌了！,2012-06-19 00:06:45
12,亚比煞,推荐,“有一群孩子在一大块麦田里玩，几千几万的小孩子，附近没有一个大人，我是说，除了我，我就在那混帐的悬崖边，要是有哪个孩子往悬崖边来，我就把他捉住。我整天就干这样的事，我只想做个麦田里的守望者.”最后他死在了麦田里。,2018-01-12 19:27:01
13,小肚子✨,推荐,标准的有点像是教科书里的故事,2008-10-25 04:48:09
14,落叶村,力荐,布奇没得到过的，他让菲利普全得到了,2015-10-15 21:48:47
15,UrthónaD'Mors,力荐,哭了 小孩可爱，大叔也很会煽情，烂漫的骨子里还有一颗梦想的心,2009-10-30 16:30:16
