序号,评论者,评分,内容,时间
1,非瞩目,还行,与《燃烧》相同，反应了贫富阶级的差异和对立，揭露了底层社会的绝望和无奈；但是与《燃烧》不同的是，片子里的富人家庭并没有做错任何事情，即使是对于父亲基泽身体异味的吐槽也是在情理之中，而且在危急时刻优先保护妻儿离开现场本也无可厚非。片中有几处剧情经不起推敲，略显牵强，比如为什么为了躲债会甘愿住在暗无天日的地下室里数年，前管家有正当职业，收入应该也不低，两个人一起努力工作还债总好过这种人不人鬼不鬼的生活；精明如主角一家的人为什么会冒着被发现揭穿的风险给前管家开门，正常的逻辑不是叫她改天再来吗；另外由于暴雨，主角一家的房子被淹了，浑身臭烘烘连件干净衣服都没有为什么还非得出席小儿子的生日聚会，父亲司机和母亲管家无法拒绝，老师们总可以以有事为由谢绝吧。感觉导演为了使最后的戏剧冲突达到极致而强制事件发生。,2019-06-10 03:14:04
2,蚂蚁没问题,力荐,这部电影最伟大的地方就是，有钱人实际上是什么都没做错的，夫妻恩爱，儿女喜人，没有出轨，没有冷暴力，没有虐待儿童，对司机、佣人也大方不抠门，他们真的真的善良单纯，但是你就是忍不住恨他们，恨他们，恨他们。,2019-08-08 00:04:31
3,西楼尘,推荐,沐浴庭院里的阳光就能进化成人，呼吸暗室里的空气只会走肉如鬼。抱上贫穷的石头终生无法脱手，染上廉价的气味永世不能消除。蜷缩地下的臭虫，用药剂开窗替自己杀菌；位居高处的宿主，用金钱雇人给自己消毒。富人吸着穷人的血高升，穷人寄在富人的屋苟活，人鬼同处一室分享食物，虫兽寄生一体发育恩仇。,2019-07-07 15:19:04
4,芦哲峰,还行,穷人能言擅骗，个个骗术精湛，有此骗术及演技，还用住在地下室？富人幼稚可欺，全家单纯无脑，被人卖了帮数钱，真能住上大别墅？看完但觉很假，穷富两头都不真实，倒是想起郭德纲的口头禅：穷生奸计，富长良心。,2019-08-07 15:35:21
5,朝暮雪,力荐,一边是水淹陋室，一边是生日聚会。 一边是冰冷坚硬的体育馆，一边是豪华柔软的后花园。 钱就是熨斗，把一切都烫平了。 他们蹭网、住地下室、为了一份工作不择手段。 当你觉得他们已经够惨的时候，电影突然反转：他们还不是最惨的，还有更惨的。 你富，就一定有比你更富的；你穷，也一定有比你更穷的。 贫富差距就像无数面墙，将人分为了三六九等。 这面墙，任凭风吹日晒雨淋也岿然屹立，纹丝不动。 朴夫妇看起来傻乎乎的，可他们还是越来越有钱； 金基泽一家聪明过人，可还是翻不了身。 你以为找个好工作，有份好薪水，就摆脱了贫穷的身份，其实还差了十万八千里。 你能洗掉衣服的汗味，却洗不掉已经融入血液的地下室的气味。 你爬了十层楼、二十层楼，可能才刚刚到达别人的地下室。 他们是虫子，所以他们生活艰难； 他们是虫子，所以什么都杀不死他们。,2019-08-07 09:41:47
6,违规昵称6789,力荐,不得奥斯卡最佳外语片我吃键盘,2019-05-26 10:55:03
7,千舟,力荐,那些只会镜头往那一杵，不把人拍睡着不罢休的国内艺术片导演可以学学，电影到底是啥，啥叫剧作节奏，镜头语言，剧本钩子，一天天竟沉浸在自己的艺术国度里意淫，中国电影就是被那些新浪潮的忠实信徒带跑偏了，因为不会技术，美名冠曰搞艺术，看十分钟就关了，抓不住观众你在那拍你🐴艺术呢？用吸引人的视听前提去解构故事的隐喻和主题，这才是懂电影，才是拍电影，同样是长镜头，人家拿来做剧情反转，这明显在怼只会用长镜头做自己技术遮羞布的艺术片导演，从电影市场看充满讽刺。你可以说韩国电影翻来覆去总是那些很黑暗的题材，但他们现在至少在电影的视听技法上（摄影，灯光，剪辑）是亚洲的扛把子。商业节奏≠商业片，用商业节奏去讲艺术才是电影该做的事啊！,2019-05-26 08:22:06
8,大旗虎皮,推荐,我先来第一瓢凉水吧，富人的形象太简单了，富人很傻吗？😄,2019-06-22 14:38:18
9,舒农,推荐,这片子口碑爆炸，只能说明，平时看了100部文艺片，人类的本质还是喜欢商业类型电影。,2019-05-22 17:12:49
10,Peter Cat,推荐,奉俊昊才是我们时代（各种）类型大师。,2019-05-22 07:12:56
11,把噗,还行,我为批评《燃烧》而向李沧东道歉。,2019-08-07 09:45:15
