序号,评论者,评分,内容,时间
1,shininglove,推荐,老人不图儿女为家做多大贡献呀，一辈子不容易就图个团团圆圆。皮克斯替蔡国庆唱了回春晚。,2017-11-26 19:25:14
2,下雪了没有,力荐,广州试片会。主持人在现场透露：Coco原本涉及到亡灵题材，是不能引进的。但是在过审时，当场看哭了所有广电审查人员，so破例让过了。。。,2017-11-20 13:30:34
3,西楼尘,力荐,供奉的遗像是牵引家人回家的通道，驻留的记忆是保持亡灵存续的神力，热闹的音乐是唤醒思念启封的药引。我为你写了首歌，穿越浩瀚的岁月烟尘，捱过冰冷的孤独冬季，横跨漫长的天人之路，在你老去的时候，唱给你听。这瑰丽的灯火万家，摇曳的烛光千盏，不如你梳着麻花辫坐在床头时，眼里闪烁的星光璀璨。,2017-11-20 23:01:54
4,小站,力荐,邻座的女孩哭倒在我怀里啊电影多么美妙！,2017-11-17 16:21:08
5,美嘉.rar,力荐,我们是人类的一分子，而人类是充满激情的。医学、法律、商业、科技，这些都是崇高的追求，足以支撑人的一生。但音乐、诗歌、梦想、情感，这些才是我们活着的意义。,2017-11-16 16:09:05
6,小九儿,力荐,11月1日亡灵节当天，墨西哥城的影院里，隔壁座儿的小男孩画着鬼脸儿穿着骷髅服，老奶奶抱着万寿菊，举家一起看coco。生活与动画交叠而映，感慨又感动，炫目又泪目。这才叫文化输出，好羡慕，好嫉妒。（ps：盖尔加西亚~不枉爱了你十余年）（pps：开场前送了20分钟冰雪奇缘番外 ，以为走错片场）,2017-11-02 07:28:41
7,桃桃林林,推荐,亲情催泪弹。所以，动画会不会好看，除了技术，更重要的还是如何讲好故事，把感情放进去，借作品把情感传递开，包括这部以及头脑特工队等很多能成功，皆是如此。不过，有些人似乎总是搞不懂这件事。,2017-11-25 14:25:22
8,Kirara酱,力荐,人有三次死亡。第一次是生物学的死亡；第二次是社会宣布你死亡；第三次是最后一个记得你的人离开这个世界。 想念上个月去世的外婆，想念老爸，想念所有离我而去的人们。 后悔没带纸，平复了半天情绪最后离开放映厅。。。,2017-11-24 09:56:06
9,眠去,推荐,1、对不起，梦想和亲情永远不该对立。男孩最后怎么就能主动放弃了呢？2、我爱这个死亡和分离的故事，感谢皮克斯，将墨西哥的亡灵节变成了温馨的生之欢喜。3、依然催泪，但你流泪了，不代表这就是一个好故事。泪水不该廉价。,2017-11-28 09:59:03
10,白井黑子阿尼娅,力荐,第一次觉得死后世界通往人间的万寿菊之桥和七夕鹊桥是一样的原理，爱不分种类是共通的，相见是因为想念，存在是因为记忆的力量。而只有墨西哥人能有欢乐的能力把悼念先人的节日过得如此五彩斑斓。欢迎有女儿的爸爸来影院哭一哭。亡灵节海关大厅井井有条，效率极佳!拒绝寂静的死后世界，我们要喧嚣!,2017-11-16 21:07:36
11,北溟鱼,推荐,散场时候一个人坐在位子上哭成一两百斤的狗子 电影里误会能解除 欺世盗名的会得到惩罚 家人会不论生死在另一个世界团聚 但那是电影了 电影有个好结局 但人生没有这样的好事情,2017-11-26 11:07:27
12,你虎哥,力荐,满分。毕竟我已经很久没有看个电影哭得像个小孩子了 似乎大家又要说起那句老话：电影是绝佳的造梦机器。那些回不去的家乡 没能守护的家人也只有在梦里相见。,2017-11-20 16:38:20
13,阿德,力荐,不得不服皮克斯，一边和你探讨梦想、成功、家庭的意义；一边用各种充满想象力的情节、画面、音乐，让你叹为观止；这样的电影，怎能不爱。（家长指导：6岁以上推荐看，虽然有亡灵情节，但这可是一个关于爱的故事。）,2017-11-16 22:42:52
14,亵渎电影,推荐,这可能就是传说中的好故事吧，看似一切都在按照套路推进，但之后剧情随便翻几翻，就能赋予故事强大的情感力量。,2017-11-25 23:22:26
15,影志,力荐,皮克斯保持原创的又一巅峰，回忆与遗忘的情感核心，在家庭、音乐、梦想、冒险的故事线下饱满溢出银幕，最后只能以泪洗面。2017年度Top3,2017-11-16 23:21:45
