序号,评论者,评分,内容,时间
1,三翘,无评分,又看了一次 再也不会有这样聚集这么多大腕的电影了,2010-11-05 22:03:34
2,Connie,推荐,这样的parody电影，如今已经不可得.......梁家辉叫人吐血那场唱段戏，竟是众人乐得不支之下张哥哥一手编词、导演的，10几年后我才知情......,2006-01-18 18:31:48
3,Ruby超人小姐,推荐,看不懂【东邪西毒】的时候就看【东成西就】。,2009-04-05 17:45:19
4,狮子真好吃啊,推荐,梁家辉和刘嘉玲是亮点，特别是后者，我简直被惊艳了,2009-04-29 12:29:53
5,尼桑，都是尼桑的错,无评分,这种阵容如此强大又百看不厌的喜剧片估计以后也没啦~~,2008-08-23 22:00:11
6,掀桌超人,力荐,张学友让梁朝伟杀他那段，笑翻了,2006-04-17 19:31:04
7,张天师,力荐,香港缺心眼儿喜剧之最，看100次笑100次～,2006-11-02 22:35:14
8,单线程青年,推荐,“给我来两根烤香肠”“你不是正在吃吗”“我打包带走不行呀！”哈,2008-03-14 16:21:37
9,眠去,力荐,从来不曾想起，永远不会忘记。,2007-03-03 12:16:45
10,宋阿慕,推荐,当年看得我笑至浑身酥软的一部好电影.,2008-02-20 11:43:06
11,寂地,推荐,心情不好的时候就看这个吧.然后就扑街去了//,2006-01-02 15:07:09
12,X,推荐,时光滤镜给四分，仔细想了一下，如果这些演员现在演这部电影，可能给两分算好了，还要把导演骂到狗血淋头,2017-03-26 23:31:32
13,末宝儿,力荐,40几遍了吧,2008-06-24 05:35:13
14,S.Dummy,推荐,看一次笑翻一次,2006-01-29 23:36:51
15,梦梦梦梦,推荐,经典，好笑。,2017-03-11 16:05:48
