序号,评论者,评分,内容,时间
1,小小明月几时有,力荐,漫威:制造一个大坏蛋，首先要给他超高的智慧，强大的肉体，绝顶的战斗技能，对了，还有无限宝石 DC: 给他一个糟糕的人生吧,2019-09-04 07:35:43
2,谋杀游戏机,推荐,完全不是超英片，就是一个以普通底层小市民为主角的犯罪片，大概也是这些年漫威DC所有电影里人性剖析最深刻的一部。影片对哥谭市有着出色的氛围营造，阴暗潮湿的道路，满目垃圾的街头，一触即发的暴动气息，这样的环境，再加上悲惨的身世、糟糕的一天，足以把一个老实的可怜人逼向深渊，从理性善良一点点变得麻木和疯癫，每一步转变都真实可信。杰昆·菲尼克斯瘦骨嶙峋的样子让人心疼，毫无疑问，影帝级的表演，“希斯·莱杰后再无小丑”的话可以收回了。,2019-08-31 17:59:06
3,大島,推荐,变成职业精神病后果然精神好多了,2019-11-12 15:50:11
4,私～川流,力荐,这才叫DC，谢谢。,2019-08-31 22:57:17
5,焚紙樓,还行,語拙的《V字特攻隊》、主旨（仇富）延續卻說服力更低的《黑暗騎士崛起》、社經背景缺席的《計程車司機》、墮落的《喜劇之王》、超齡的《天氣之子》……擔憂這樣一部電影能引發民亂未免杞人憂天，如果厭世者能被這個輕薄到近乎世界系的故事給騷動，那七年前的諾蘭恐怕能推翻美國。瓦昆的演出無懈可擊──畢竟當代還有幾個演員能同時演繹耶穌和小丑？然而全劇最神來之筆的一幕卻不屬於他，而是給了一個侏儒。,2019-10-04 00:19:46
6,Tilda Li,力荐,#Venezia 12“希斯·莱杰之后无小丑“这个论述终于是被打破了。这是当代电影史的光荣日。,2019-08-31 19:46:39
7,Fly you fool！,力荐,"Life is a tragedy when seen in close-up, but a comedy in long-shot. -- Charlie Chaplin 人生近看是场悲剧，但从长远来看却是场喜剧。——查理卓别林",2019-08-31 01:34:46
8,桃桃林林,推荐,9分，菲尼克斯值得一座奥斯卡，表演太带情绪了，以无法抑制的狂笑表达痛苦，竟然笑到让人难过。影片与之前大部分超级英雄电影截然不同，没有特效、没有奇观、甚至没太多动作场面。而是以略复古的方式，讲小丑为什么会成为那个小丑。其实是挺严肃的一部片子，包括去关注社会问题。片子还挺邪恶的，会让你有些同情这个小丑。另外，这片应该是无法续集和衍生，因为还是太实了，如果这个角色重新漫画化，也就不再是他了。,2019-10-03 15:27:48
9,保卫胡萝卜,推荐,再也不要有人跳出来把DC和漫威比了，这已经是金狮体系了。,2019-09-10 11:38:09
10,长颈鹿饲养员,力荐,看完世界首映激动的打卡！剧情节奏感满分，内涵思考张力满分，艺术戏剧性满分，人物塑造满分。 所有奥斯卡大奖给它都不过分，因为此片足够划时代的宣布，超级英雄的时代结束了。,2019-08-31 20:47:40
11,朝暮雪,力荐,一个生活中的loser，人们眼中的笑话，永远被忽略，永远没有存在感。 路人欺负他，同事出卖他，主持人嘲笑他…… 所有人都不在乎他，把他当成空气。 他从来不知道自己是否真的存在过，他唯一的愿望就是他的死比他的人生更值得。 他不是小丑，人们却说他是没用的小丑； 他真正有病，人们又希望他假装没病。 于是，他决定再也不要做他人生命中的过客，他要做自己生命的主宰。 你说我是小丑，我就做小丑给你看。 谁出卖我，我就让他知道出卖我的下场； 谁把我当做笑话，我就让他再也笑不出来。 曾经他戴上面具，总想为他人带来欢笑； 如今他卸下伪装，只想活出自己的人生。 他是人们眼中的失败者，也成了另外一群人心目中的英雄。 他在世界舞台翩翩起舞，宛如一名艺术家。 以前他认为自己的生活是一出悲剧，现在他意识到，它是喜剧。,2019-10-11 23:47:59
12,spiegel,力荐,这个世界的阶层固化到底严重到了什么程度？已经到了俯仰皆拾都能成为好电影素材的程度。于是我们扎堆看到了《燃烧》《寄生虫》《何以为家》《小丑》，底层人民在这些电影中表达出了最可能的几种选择：挣扎，控诉，疯狂。,2019-09-02 22:18:40
13,TWY,还行,华金演绎的小丑固然精彩，但从导演不相信小丑可以从化学池里诞生这件事中，大概能看出他并不是很相信影像，所以只好大搞心理现实主义的mumbo jumbo，然而最终还是只能用大量堆砌的刻板印象制造冲突来推动故事发生。,2019-10-04 11:11:19
14,杨旖旎小姐,力荐,#2019威尼斯第六场#看的世界首映，真的太爱了，超出期待。没看过DC漫画，电影是从小丑角度讲社会底层边缘人和贫富阶层差距的故事，从节奏到配乐到剧情台词深度，都非常流畅，质感一流。爱了爱了。杰昆演技再次炸裂，瘦骨嶙峋，但是爆发力不减，目测已经拿下明年奥提，期待拿下威尼斯影帝。,2019-08-31 16:59:05
15,My_深秋最光阴,力荐,30年前，制造一个“小丑”，需要把你推进化学池。 30年后，只需把你推入社会。,2019-09-09 13:31:51
