序号,评论者,评分,内容,时间
1,林西拿,力荐,「我只是個喜歡骯髒故事的老頭子罷了。」 這句話是朴贊郁的自白吧！,2016-07-28 03:16:50
2,劳勃狄尼洛,推荐,最喜欢的一个镜头是：两个人趁着夜色，提着行李，以相同的频率打开一扇又一扇的门，然后跑过巨大的樱花树，去呼吸自由的空气去拥抱广阔的天地。,2016-07-28 23:43:48
3,💛,推荐,我懂为什么金敏喜能睡到赵寅成了。嗯,2016-05-18 23:01:51
4,maud,还行,难道没有人觉得剧中女主之间毫无火花吗？无法超越英国版本呀,2016-05-15 01:29:59
5,樹一,还行,下女以为骗过了纯情的小姐便可囊收她的万贯家产，小姐以为和假伯爵勾搭就能逃出姨夫的魔掌重获自由，假伯爵以为自己布下了万无一失的套中套没想到被反将一军，而观众以为两位率真的女性赢得了这场游戏并宣告女权主义在荧幕上的胜利，事实上还是被男权视角消费了身体。,2016-10-12 02:23:11
6,鸡头井。,较差,只见娇喘不见情。,2016-05-14 22:56:25
7,Touma,推荐,我觉得我可能是les。。。,2016-07-30 15:30:09
8,GQ----,还行,看完了 怎么说呢画面配乐没得挑 但仍然仿佛看了一部毛片 果然英国的小说还是得英国来拍,2016-05-19 11:35:37
9,影评终结者,力荐,性、做爱、器官、暴力、粗口、药物、剁手指、章鱼女优、蛇与男性生殖器的象征现以及特写展现器具缅铃用法、大尺度裸体和露骨情色台词也并没有让影片显得廉价或艳俗，而影片的镜头画面布局灯光服装美术摄影构图声效几乎做到极致，尤其整部电影用音乐带出的氛围，只能用一个词来形容，那就是“魔性”。,2016-05-31 23:51:39
10,小野蛋子,力荐,能和秀子小姐睡一晚，下半辈子愿意被关进疯人院,2016-07-04 01:00:28
11,匡轶歌,推荐,好看吗？好看。蕾丝性爱以超前尺度登上大银幕。但女权吗？并不。朴赞郁不过沿袭一贯对情欲、暴力、阴谋的探索套路。就像<斯托克>里的蜘蛛意象，<小姐>则搬弄了所有东方的欲望符号：北斋的章鱼、浮世绘春画、金瓶梅…但动机并非对女性欲望的支持，而是A片一样情色奇观的消费，取悦的依然是男性凝视。,2016-07-29 13:54:29
12,六等星星,力荐,只有女孩子在知道她以前过那么不堪的生活，第一反应是帮她报复吧！,2021-04-18 19:05:13
13,米粒,还行,像一颗辣椒，“外面红通通，里面一包空”。开头还可以吧，到中间就不太行了，最后二十分钟尤其多余，故事讲完了还要硬来点恶趣味。两个姑娘好看可惜不来电。,2016-06-07 12:32:43
14,同志亦凡人中文站,推荐,如果说“道熙啊”是韩国女同文艺片的代表作，“小姐”就是韩国女同商业片的第一座高峰。千回百转的阴谋阳谋，诡丽精致的朴赞郁美学，以及难得的HE结局。也许戛纳不会待见它的娱乐性，但同志电影恰恰需要这样的进化和剑走偏锋！,2016-07-15 20:02:42
15,西楼尘,推荐,水银烟抽了一口，他是浪子也风流，机关算尽只为攀上枝头；鸦片酒抿了一口，她是小姐也忧愁，庭院深深只愿冲破牢笼；黑莓糖含了一口，她是仆人也娇羞，交颈缠绵只可握住你手。三部分把细节拼凑，宅院精致典雅的朗读盛宴，牵连出几个笼中人的命运交合。吊死人的不是白绳是绝望，溺死人的不是缅铃是欲求。,2016-11-22 15:33:51
