序号,评论者,评分,内容,时间
1,novich,力荐,没有一点刻意、展览、景观，老老实实地拍，可就是能抓人，令人反思——电影真的需要那些东西么？最后那个金鱼池的场景甚至带点禅意，又那么平凡朴实，让整个片子顿时通透明澈，怎么会这么好！,2010-11-28 01:02:46
2,蛮爷,还行,说心里话，这个成为经典是靠人们摸着心评价的，不是片子本身有多好。,2009-05-20 00:23:56
3,DizzyWhale,力荐,妹妹给正在为寺院磨糖的爸爸倒了杯茶，“怎么不给爸爸准备糖呢？” “你手边不是有那么多糖么” ”那怎么行，这些是给清真寺的，我们只是代为保管，不可以拿的“。,2013-03-11 22:11:08
4,亚比煞,力荐,去年从以色列乘车去巴勒斯坦，一过国界线简直是两个世界。犹太人的地方干净富裕，阿拉伯城市就垃圾满地，乌鸦乱飞。很多小孩子拿着矿泉水和粗糙的纪念品追着我们叫卖，都是长睫毛大眼睛很漂亮的孩子。晚上看新闻，巴勒斯坦又被战机轰炸死了70多个人，真他妈难受的什么也不想说了。,2012-11-15 20:37:23
5,Zuschauerin,力荐,美丽而清贫的童年,2007-03-12 18:10:59
6,※尹,推荐,身体欠佳妈妈让孩子给疲惫的爸爸倒茶，富人爷爷给认真工作的爸爸丰厚报酬，富人弟弟和哥哥一起开心玩耍，爸爸赚了钱想给妈妈买电熨斗，哥哥想跑步比赛给妹妹赢得一双鞋，老师为经常迟到的哥哥求情继续上学，妹妹把心爱的鞋子让给另一可怜人家的女儿，这另一可怜的女儿把捡到的漂亮铅笔还给妹妹……,2017-08-10 08:29:59
7,艾小柯,推荐,小演员表情无敌，故事朴素真挚，比赛一段过分煽情，结尾收得真漂亮。,2011-09-09 20:58:47
8,暖鱼,力荐,看过电影中，表现得奔跑最好的。无声的奔跑。,2007-01-31 20:08:40
9,海心,推荐,这些故事那么熟悉，就发生在我身上。,2009-08-22 21:50:39
10,Little Punk,无评分,我像哥哥爱妹妹一样地爱我的弟弟,2006-12-01 20:50:16
11,一一,力荐,我又想捐东西了。,2009-09-11 14:45:32
12,芦哲峰,推荐,孩子的眼神动人；朴素的煽情极富感染力。结尾好，戛然而止，干干净净。,2012-02-04 21:39:49
13,徐达多,推荐,这是不同于阿甘、洛奇、罗拉、安托万的奔跑，阿里的奔跑没有生死时速，只有动容的亲情。很喜欢导演最后的升格处理，将背景音效完全由阿里的呼吸代替，纯粹而质朴。片中一双球鞋的价钱竟然比不上一套文具，还好爸爸最后给善良的兄妹俩都买了双新鞋。还好，还好，是个还算“幸福”的结局。,2009-11-15 00:17:35
14,哪吒男,推荐,导演对阶级差异的表现非常有意思，阿里一家已经穷苦到极致了，富人们在做什么呢？可以随便开除学生的教导主任，也算通情理；住独栋洋房的留守家庭，孩子懂分享，老人特慈祥。只是，片头骂阿里妈妈洗衣服用水太多的房东，在院子中间修了一个大水池，只为养几条金鱼，金鱼靠近阿里疮痍满布的双脚，摇摇摆摆，悠闲自在，这是电影的最后一个镜头。,2020-02-09 02:12:15
15,Mr. Infamous,推荐,贫困真是个可怕的宿敌，再小的波澜，都能掀成巨浪。刹车失灵那一刻，可以比看任何好莱坞大片都惊惶。总感觉，一旦贫苦被习以为常，生活中任何喜色都像是玩笑。镜头总在贫富间跳荡，即便用了温和的基调，依然现实得残忍。但很庆幸，艰难如许，兄妹俩还能存下那珍贵无比的善良与忍让。特别喜欢小女孩Zahra，尤其舍不得她因为懂事而受下半分委屈。结尾收得真好。四星半。@资料馆，再次放映故障。,2018-09-20 22:22:09
