序号,评论者,评分,内容,时间
1,荔枝超人,推荐,没想到2010年还能看到这样的电影，感到很幸福。,2010-03-25 23:10:06
2,麈生,推荐,當你發現時間是賊了，他早已偷光你的選擇,2010-04-18 18:02:06
3,艾小柯,还行,老演员表现非常精彩，新生代与小演员则一塌糊涂；布景与摄影都很粗糙；台词过分直白外露，细节安排不周到，刻意煽情；太情节缺乏深度，除了亲情尚有力度，其余都是苍白的怀旧。,2010-06-15 13:54:27
4,Doublebitch,力荐,弟弟偷了能偷的一切给哥哥，可哥哥被偷走的却是生命。,2010-04-11 13:20:19
5,痰盂猛鬼,力荐,突然觉得吴君如如此美丽.,2010-04-02 17:33:52
6,吴慢慢,力荐,“在变幻的生命里， 岁月，原是最大的小偷。”我喜欢这种褪色的温情脉脉。,2010-03-12 13:42:48
7,喜觀,力荐,人生总是一日难，一日佳。 过去的总归是好日子。,2010-03-19 12:54:46
8,Santa Evita,推荐,本来只觉得是个俗套又滥情的故事，特别不明白为何要以哥哥死于血癌当主线；直到看到相关报导，才知电影是导演自传，情节基本全是真的：小男孩就是导演自己、鞋匠夫妻就是他父母、他哥哥真的早逝了。于是我们知道了这故事的后续：那小男孩长大后当了导演，让全世界都知道他有过这么一个哥哥。,2015-04-24 17:25:50
9,少言,力荐,如果你觉得只要电影里有人得白血病那么这部电影就是烂片的话，你不就不要看这部片了。,2010-04-12 22:24:56
10,离,推荐,每个人都有一场被岁月偷走的记忆。眼泪流了那么多，但丝毫不觉得煸情。节奏虽慢，但不琐碎。很喜欢李治廷的表演。这一场感动，来得无比自然、真实而朴素。难一步，佳一步。一步难，一步佳。有这样的爸妈，我们难道没有理由看得见天空中同时出现的两条彩虹吗。另，海报上明明不可以少了李冶廷的份嘛。,2010-03-25 00:08:48
11,昏金暗玉,力荐,它讲述了一个前途光明的年轻人死于绝症的故事……煽情处是编剧精准计算的，但小孩子的演绎天然发挥让煽情真实好多。黄金一样的色调和过去情怀，其实不需要死亡也可以表现出岁月流逝的伤感和来日可追的信心。,2010-04-02 17:38:49
12,伊豆,力荐,哭死我算了。,2010-04-02 17:25:11
13,桃桃林林,还行,有味道的是那份情怀。,2010-07-09 22:25:48
14,木卫二,推荐,哥哥倒下到弟弟接力的精英回首，父亲的道别和母亲的无奈，隔一层玻璃观看的热带鱼和上世纪60年代的深水埗,2010-03-24 10:16:49
15,GNUS,力荐,影院里我哭的跟罗进二似的,2010-04-18 21:56:47
