序号,评论者,评分,内容,时间
1,A-sun*,推荐,我差点以为Tom Hanks是智障，但他其实是不抱怨，他踏实，他愿意等待。,2010-07-10 14:11:04
2,战国客,推荐,我在维克多身上看到了阿甘的影子~~,2008-09-26 19:48:13
3,狷介有乌青,力荐,等待让人生更加丰厚和充满期待，人生由无数等待组成，等待迟来的班车，等待一次机遇，等待成功，等待老去，等待死亡。幸福没有终点站，只要活着就总会有好事发生，在逆境中仍然活的如鱼得水才是一种境界。,2009-09-21 21:12:44
4,我坏故我在,推荐,人不可妄自菲薄，人应当勇敢、坚强、坚定、乐观、积极、向上的活着。,2007-12-16 10:47:53
5,大魔王,推荐,有点过于戏剧化了，像童话故事。夸张了些。男主角明摆着是被塑造成一个聪明的人，可是影片中感觉就像阿甘啊。傻B又不傻。大智若愚的夸张。为了一个承诺，故事很美，很激励人。PS:男女主角最终没有挣脱世俗在一起啊。电影名可以改为幸福等待吧,2011-03-21 01:53:54
6,stranger17🎐,力荐,亲爱的，有时候幸福需要等一等。,2009-04-18 23:24:28
7,米姐起飞,力荐,能让你笑着感动的片儿。很励志。,2008-08-23 00:15:59
8,张恩勾,推荐,“Viktor终于明白，这个世界不是按他自己的方式前进的；身处其中，只有为自己挣个好生活。”,2009-04-25 00:15:59
9,肖浑,推荐,故事很童话，主题很模糊。不知道是在讽刺制度太死板，还是歌颂工作人员对制度的努力维护。不知道是表现对纽约的自恋，还是批评“纽约不欢迎你”之不友善。不知道是把美国塑造成了各种族的庇护所，还是要体现阶级仇恨。不知道是在说生命的过程就是需要等待，还是在说不要傻傻等待而要果断行动。,2012-09-25 03:02:12
10,冬贝与9-13刺青,力荐,这片子和阿甘正传一样经典 人性的美丽啊,2008-01-25 21:25:42
11,半日光辉,还行,据说本片有真人原型，那哥们困在巴黎机场，不过被催的是困了15年，而且没有凯瑟琳泽塔琼斯这样的美女赏识。,2011-10-16 01:10:48
12,赫恩曼尼,力荐,“你没有如期归来，而这正是离别的意义。”五星都不够的好电影。一个好的故事，就是这样，内核足够坚实，情绪逐渐爆发，人物的一举一动不唐突，有温度。而坏的故事，就是内核虚空，拿句子和旁白来凑。相较之下，高下立判。,2017-01-24 22:11:16
13,海心,力荐,太好看了，欢笑过后大大的感动。,2008-12-29 22:19:00
14,西楼尘,推荐,机场如同荒岛，还原了一个本真而奇妙的孤绝求生状态。语言不通货币没用失去了祖国的庇护，真正孤家寡人的感觉。最近重温经典老片子，感到动人的故事的张力，剧情由故事推着走，而不是电影由人推着走。很喜欢这种难以预测下一秒会发生什么的感觉，孤绝的机场反而有种温情大家庭的感觉，只是三观太正了。,2015-07-13 23:48:05
15,理想多钱一斤啊,力荐,太好看了……五星都嫌少,2010-03-31 22:54:08
