序号,评论者,评分,内容,时间
1,已注销🇨🇳,还行,97年有这样的动漫实属不易，可是很不明白日本人的文化，没有绝对的恶，就算犯错也都可以一笑置之，取走鹿神的首级酿成大祸，且根本不肯归还，最后还可以笑着露脸，该说日本人宽容呢，还是什么？,2012-09-01 19:26:38
2,艾小柯,力荐,宫崎骏的巅峰之作,2006-07-03 15:23:46
3,沉歌,力荐,他的作品中的思想深度和人文思考区别于其他浅薄的娱乐性动画片。,2007-10-03 15:10:00
4,A-sun*,推荐,宫骑骏就是个生态环保大师啊。,2010-03-08 22:46:29
5,朝暮雪,推荐,幻姬作为工业文明的化身，既是为子民谋福祉的领袖，又是砍伐森林、猎杀神灵的“恶人”； 幽灵公主小桑作为被狼神养大的人类弃婴，既是自然野性的象征，又始终无法摆脱人性情感的牵绊。 被火枪击伤的野猪神化作黑色流体侵蚀生命的邪神，是对人类贪婪的隐喻——当掠夺超越生存需求，仇恨便会如病毒般蔓延，最终反噬自身。 28年后再看《幽灵公主》，会发现它早已预言了当下时代的病症：气候危机、物种灭绝、核污染……宫崎骏用动画搭建的末日剧场，正在现实世界逐幕上演。 但影片结尾那片从灰烬中萌发的新绿，仍给予我们悲怆的启示：或许人类永远无法与自然真正“和解”，但只要我们尚存“活下去”的信念，并能像阿西达卡那样在仇恨蔓延时伸出手臂，在毁灭降临前归还被掠夺的头颅，文明就仍有与地球共舞的可能。,2017-03-18 01:16:21
6,老朱無電影不歡,力荐,探讨过“反战”之后，宫崎骏把主题直刺人类的心脏——“人与自然的关系”。尽管宫崎骏自己也没有答案，但年纪已高的他忍着伤痛完成了这部触及人类内心深处的伟大史诗动画。加上久石让画龙点睛的配乐，使全片充满了浓郁的古日本风情，奏出了苍凉广阔、荡气回肠的效果。震撼又震惊！宫崎骏最优之作,2011-02-28 14:54:18
7,冰红深蓝,力荐,宫崎骏最好的作品，在内涵的深刻性、复杂性及广度上都超越《千与千寻》。久石让的交响乐恢弘苍凉，宛如天籁。片中角色都不是善恶分明的脸谱化形象。血肉横飞的黑暗场景与单纯可爱的小精灵形成鲜明对比。关于仇恨与宽恕，关于无尽的冲突，关于人与自然循环往复的角力，没有出路也要活下去。（9.5/10） | 2025.5.1 时隔整整十年，终于大银幕重温史上最佳动画电影，近乎全程噙着泪水。本片的多样丰厚驳杂更突出表现在每个人物的多面和立体中。小桑、阿席达卡、黑帽三位主人公其实都融合了传统的男女特质，给人雌雄同体感觉。同时，压抑怨愤与绝望里又蕴含了包容和希望，一如阿席达卡面对小桑的浓烈恨意与挥刺的刀锋时，轻轻地拥抱住她：“对不起，我已经尽力阻止这一切。”,2015-05-12 17:36:51
8,谋杀游戏机,力荐,尽管由五小时缩减至两小时略显晦涩，尽管为商业目的加入过多感情戏，然而剧本酝酿长达十六年的本片是宫崎骏的顶峰与转折。史无前例的13.5万张胶片，CG技术与吉卜力少见的血腥镜头带来一系列视觉及心理上的震撼，宫崎骏放弃了理想主义，将人与自然视为不可调和的两个极端，指出人类首要问题是生存。,2009-09-11 18:52:46
9,安德烈大叔,力荐,飞鸟的一句你好美，把我心都化了。还有六部宫崎骏的动画片没看，这样算来岂不是比诸位都幸福多了？,2015-11-06 09:44:49
10,Carson,力荐,老宫最宏伟的巨作,2007-02-04 00:39:43
11,आविर्भाव,推荐,《幽》不落窠臼的一点在于其所提出的一组永恒的矛盾：生存是否意味着必须要弑神？人与自然、人与人之间是否存在一种“共同活下去”的可能？导演借Ashitaka之口表达了自身在处理该问题时的暧昧态度：Ashitaka始终在进行着一场孤独的战斗，他拒绝屈服于任何一方简单的价值观，而近乎愚蠢地坚信着和平共处的切实可能；或者说，他对于如何调节这对近乎没有任何可能实现和解的矛盾保持着一种无奈的态度——“活下去”，并非是一种充满着乐观主义的生命礼赞；恰恰相反，它是一种充满着哀叹与迷惘的祈愿——我们唯有活下去，我们只能耐心地等待，用时间冲刷一切罪孽与诅咒，期待着某一天这一永恒的问题可以得到解决，抑或是迎来一个无法解决的终局——待到那时，东京早已被洪水淹没，人类的湮灭不过是地球所患的一场热症。,2020-07-28 12:49:18
12,某J。624,推荐,应该是宫崎骏在内容以及构架上最宏伟饱满的一部，史诗般的叙事方式很有气势。但老爷子还是太心软了，人类用恶意回馈大自然，大自然却始终轻而易举地选择宽容与新生；不得不说，结尾真的有几分憋气。,2020-05-28 14:59:22
13,Kaito,力荐,人与自然的战争史诗,2009-12-13 09:43:39
14,Loquilolackles,推荐,黑帽这个角色塑造的太好了，这个对神灵妖魔都毫不畏惧，不恐惧天罚，也不害怕诅咒的角色，可以说她毫无敬畏心，但这种极致的坚决的力量感又很吸引我。而且她深深明白，有火枪在手，她才有力量去团结这些女人，这些女性才有力量保卫自己。 “她是自然资源的掠夺者，同时也是理想家园的建设者。”,2025-05-01 15:18:37
15,Karuto,力荐,每年都会看一遍，这依然是我最喜欢的宫崎骏作品，它赤诚而纯粹。关于自然、生存、人的业障，这种不带立场的冷静叙事才最残忍。当宫崎的才华无需浪费在描绘恋爱私情上时，每一帧分镜便都化作一幅瑰丽绝伦的日式民俗美学画卷。我的名字是阿席达卡，从东方尽头之地而来，你们是否就是山兽神之林中的神明？,2014-04-06 21:01:02
