序号,评论者,评分,内容,时间
1,鹿 卡,力荐,外公说的话：有些人浅薄，有些人金玉其外败絮其中，但是总有一天，你会遇到一个绚丽的人，她让你觉得你以前遇到过的所有人都只是浮云。片尾曲Everly brothers的Let it be me很好听。,2010-11-28 22:39:46
2,刘一涵,还行,事实证明，很多人还是喜欢绣花枕头的,2010-12-16 18:40:10
3,图灵莉莎,力荐,我看完后也对这女孩感触特别深，她独立而勤劳，恪守自尊但又不敏感到浑身长刺，正像邦妮另外一条说的，没有那个男孩，她也会生长得很好。对于成长电影来说，它对孩子和家长都很有教育意义，不论面对挫折还是爱，它都有非常正向的可贵的价值观。,2010-12-02 10:41:07
4,胡克,推荐,某山渣树怎么好意思说自己是史上最纯？？！！！！！ 这个真打动我了。。。女孩是第二眼美女！！！！！！！！！！,2010-12-07 00:25:43
5,不流ᝰ,推荐,上学的时候早恋，父母反对；上班了不恋爱，父母反对。你真是羡慕人家老外啊。,2010-12-18 12:27:04
6,苏更生,还行,什么乱七八糟的心动……小孩的幼稚你就以为是爱情了……家庭的温情和励志不就好莱坞的那些老一套嘛。。。。。。。,2010-12-03 09:58:50
7,Esse,力荐,当你喜欢我的时候，我不喜欢你；当你爱上我的时候，我喜欢上你；当你离开我的时候，我却爱上你；是你走得太快，还是我跟不上你的脚步……,2010-12-03 21:13:45
8,❤yone.小米,推荐,篮子男孩，好萌的活动，怎么我们学校以前没有啊！,2010-11-28 21:09:59
9,熊大柚小內內,力荐,………………我能給十星嗎！,2010-12-01 10:49:29
10,Mono,推荐,一连看了两遍《怦然心动》，真的是怦然心动。一对小孩，一棵树，特别简单的故事，讲得荡气回肠。我感触最深的 一点是：女生十来岁就有超脱的自省意识，审视自己爱的人到底值不值得爱。一旦触及她的自尊，立刻决定放弃这个男生。我们文化里的“爱”，似乎都要低到尘埃 里，舍弃自尊才叫爱，犯贱当真爱,2018-01-31 10:48:17
11,黄青蕉,推荐,斯人若彩虹，遇上方知有,2012-11-18 22:07:57
12,桃色響尾蛇,力荐,萌死我算了，男主太帅了吧！,2010-11-24 13:08:03
13,狷介有乌青,力荐,当她在他身边蹦跶乱窜，他始终不屑一顾。当他意识到原来自己的眼神早已无法离开她时，她已优雅、自信、美丽得如同女神一般。,2010-12-12 16:52:05
14,浅。,力荐,"Some of us get dipped in flat, some in satin, some in gloss. But every once in a while, you find someone who's iridescent. And when you do, nothing will ever compare.有些人浅薄，有些人金玉其外而败絮其中。有天你会遇到一个彩虹般绚丽的人，当你遇到这个人后，会觉得其他人只是浮云而已。",2010-12-18 16:39:03
15,Doublebitch,推荐,赤果果的早恋啊！在天朝肯定要被禁！,2010-11-26 14:00:57
