序号,评论者,评分,内容,时间
1,锟斤拷,推荐,好吧，Triangle，多好的名字，谁TM给译成《恐怖游轮》这个标准的B级片片名的！？,2011-02-08 15:50:38
2,天狼星,力荐,我看过的最好的悬疑片，为了严谨，加上之一。。。 一个循环的世界，西西弗斯的世界。。。 看完给人以警醒，我们总是在说，如果给我再来一次的机会，我一定会怎么怎么样，但是真的是这样么，电影给了我们一个很好的答案。。。 最后再说一句，看懂了这部电影的人，会毫不犹豫的给5星。。。,2010-01-30 16:30:41
3,不想取了,还行,有小聪明，少大智慧~详细一点说：导演有一定匠心，但是全片看太注重一些边边角角部分，整体结构上显欠缺，解释不合理，主线力不从心，细节再装扮的故弄玄虚也算不上上佳之作，姑且三星,2010-04-29 20:22:39
4,strongman,力荐,知道自己命运的人最恐怖,2010-01-22 23:51:21
5,荷步(Bunnyeh),力荐,大家都知道了片尾即是开头，终点便是起点。而女主早已死，死在那个阳光明媚，驾车带儿子一起前往港口的路上。也就是车祸，是结尾处躺在地上连衣裙的她，这个她才是真正意义上开车然后撞车死去的她。而站在路旁茫然看着眼前景象的她，完好无损的她，实则是灵魂。女主因为难以接受至爱的离去而想扭转这样,2010-01-28 13:47:45
6,某不知名网友,推荐,不要企图在重复中寻找已经失去的爱,2010-01-04 20:14:31
7,太龌龊欧蓝德,无评分,本片告诉我们，要善待儿童，以及不要欺骗出租车司机。,2011-09-13 22:43:24
8,默雨,力荐,在叙事上真是一个奇迹。自《蝴蝶效应》以来，看到过最好的叙事逻辑。,2010-01-29 21:39:49
9,丁丁|刘,力荐,开头太像无聊恐怖片了，很容易让人中途放弃。一定要坚持到影片一半左右，那个时候开始形成闭合循环，开始成为一道让人欲罢不能的谜题。想起当时看穆赫兰道的感觉，非常畅快。,2010-02-04 01:48:01
10,心生,推荐,本片唯一让我搞不太懂的是，为何jess登船后失忆了……,2012-06-05 14:27:55
11,大奇特(Grinch),推荐,4星，看过两遍以下者不要随便说有BUG，拜托您先多看几遍再说！又是“从前有座山，山里有座庙，庙里有个和尚讲故事的”的死循环的穿越片，很牛X。解析看http://www.douban.com/review/2820200/,2010-01-12 18:14:56
12,混水酒馆,还行,哇~~又升仙啦！！咦？我为什么加了个又字?,2011-02-27 20:35:25
13,老晃,推荐,无限循环。衔接点是个漏洞。洞不大。,2009-11-26 19:52:57
14,匡轶歌,力荐,所谓心魔往往就是一念之迷。其实只需在任一环节小小改变，循环即可终止。有话说：人生大部分痛苦，都來自于该离场时，不愿离场的执著。不过，西西弗斯式的轮回，看似一个惩罚，一个永远沉沦、万劫不复的诅咒，同时却也是我们籍由“一再面对相同的境况”，而学会和弄懂生命课题，并由之毕业的唯一方式。,2012-08-22 10:54:11
15,理想多钱一斤啊,力荐,这个237究竟是种么个情况……Jess家门牌号也是它，游轮上恐怖屋房号也是它；最奇怪的是……《闪灵》里面的神秘房间号码还是它……求解释……,2011-01-16 13:45:15
