序号,评论者,评分,内容,时间
1,思考的猫,力荐,孩子和“傻子”演技都很强大，更重要的是，它表现的一种富于人文精神的理念。,2008-07-18 09:14:10
2,最美的时光,推荐,“没关系，爸爸，没关系。不要难过，我是幸运的，别人的爸爸都不会带孩子去公园。”,2017-08-24 18:34:51
3,abby,力荐,哭到只剩半条人命~,2008-01-13 17:11:34
4,眠去,推荐,怎么说呢，西恩潘的表演五星，范宁五星，菲佛五星，也被催泪的不得了，可就是不知道问题在哪里，不喜欢这个（也确实显得很真实的）故事。,2011-05-03 12:57:15
5,影志,推荐,哭啊 一直在哭……,2005-08-24 07:23:46
6,高冷的鸡蛋仔,力荐,智障人给所谓的精明人上了一课，让他们明白什么才是生活中最重要的东西。,2017-08-24 08:31:36
7,桃桃林林,还行,真正的戏眼是达科塔·范宁。她才是催泪的原动力,2010-02-26 14:33:11
8,草威,推荐,幸亏没让汤姆汉克斯来演。,2011-04-25 09:00:46
9,Doublebitch,力荐,all i need is love~很浓的beatles情结，小女孩好萌,2010-12-03 22:22:37
10,理想多钱一斤啊,推荐,父亲节看这电影真是应景。里面的小姑娘，原来真的是老友记1014里面卖房子夫妇的女儿McKenzie —— 世故地吓人，凭什么她这样就感人至深，林妙可就受尽唾弃？？？不公平,2010-06-22 16:50:50
11,猫一,力荐,哭得稀里哗啦~,2008-06-11 14:41:20
12,Q。,推荐,“lucy in the sky with diamonds……”十分的亲情，十分的爱，爱的能力并不是取决于智商的高低。原声好，主题好，演员好，但就是有些拖沓与着力过猛。★★★★,2011-07-17 03:06:31
13,海心,力荐,六星的片子，哭得一塌糊涂。老天忘了我这个可怜的小孩，偏偏要给我这部电影提醒我有些东西我永远得不到。不能重生，不能生，此生再无机会，那就只好死去了。,2008-08-17 12:00:21
14,Cherry,力荐,五星送个Sean Penn。,2008-07-20 20:54:40
15,九尾黑猫,推荐,还是很感动的，虽然很多人物都比较脸谱化，但是依旧感动,2008-05-06 15:36:04
