序号,评论者,评分,内容,时间
1,UrthónaD'Mors,推荐,从影帝蜕变到烂片王也是需要一定的气度，就如同影片最后他被家人抛弃被抓到监狱却十分镇定一样。这片子政治隐喻很多。,2011-03-18 22:45:53
2,肖以默,推荐,和政府比起来军火商确实不算什么,2007-08-15 20:08:09
3,Kaito,力荐,"世界上每十二个人就有一个在做俯卧撑,我们的任务是让剩下的十一个人也做俯卧撑.",2008-08-13 00:03:34
4,汽水|不core不得嗨,力荐,我爱这部电影～它太人文精神了………… 特别是中间能把飞机在一夜拆掉，哎天，太摆了实在是……,2008-02-28 13:22:41
5,想 想,力荐,做你擅长做的事，而不仅仅是活着。,2010-11-22 22:12:55
6,海心,力荐,如果有六星，我会打的,2008-08-11 09:53:04
7,巴喆,推荐,做这生意别带文艺青年好吗？！,2013-05-26 20:22:25
8,magggot,力荐,他弟死得毫不合理,2011-10-30 13:58:05
9,艾小柯,推荐,喜欢Nicholas Cage片中的表演，影片立意很高，最后的对现实的讽刺稍有些直白。,2006-06-16 01:37:36
10,银色7.62,力荐,拍摄时使用了超过3000把AK47真枪，这样做的原因之一是道具枪比真枪还贵。,2014-12-29 23:01:55
11,enthusiast,力荐,好想也有一把纯金的AK47收藏...,2006-04-21 03:08:38
12,崇子,力荐,记得住的几部片子之一~很羡慕主角~并不觉得他失去了什么~,2007-12-19 15:30:41
13,米粒,推荐,到最后才说出军火贩子横行霸道的主因，不是因为自己怎么真的有钱，也不是因为自己认识黑道大佬有人罩，甚至都不是因为自己亲叔是前苏联的将军正好有好多兵器可以卖；而是这些超级大国一边要用武器散布杀戮以强占其他小国，一边又要假装自己和平爱好者的光鲜形象，所以只能派出主角这种人来出面做生意了。片头“一颗子弹的一生”很酷啊，影片的技术环节都很好且不觉得用得过多。整体是戏谑讽刺的风格，可能可以适当严肃点（比如可以把主题早点说清楚）。伊桑霍克真滴太帅了。,2019-01-02 00:23:53
14,品味糟糕,力荐,灰色行业翘楚的半传记性质影片，与性书大亨、烟草之王相似，具备了成功的人物塑造与微妙的道德讨论。（小记：弟弟维的自毁心理与纯真的素食者如出一辙，身为生产消费中堕落且重要的一环，痛改前非，蚍蜉撼树，但请不要忽视渺小个体的反抗，因为那是一种非常难得的道德自觉。）,2012-02-29 22:12:35
15,早日退休瑾朵朵,力荐,里面的戈尔巴乔夫是戈尔巴乔夫本人演的，作为前苏联最后一任总书记，他参演过好多电影,2010-05-23 17:51:38
