序号,评论者,评分,内容,时间
1,大奇特(Grinch),较差,全片吸引我观看下去的原因只有那个看似小女孩的小男孩,2016-01-12 00:29:07
2,Fay Kellum,力荐,电影开场一个半小时：卧槽原来这孩子是男的！！！,2015-10-20 13:15:26
3,傻乐的猫,力荐,Babadook 2.0.娘送我一颗烂掉的牙，我还娘一头秀发，这母子情的信物把那些男女，男男，女女，各种爱情全比得没影了。最爱的角色其实是奶奶的丈夫，是要多温柔善良的人才能耐心去慢慢抚平脆弱的小心灵。,2015-12-20 04:21:39
4,影志,力荐,“我们不知道自己喜欢什么，所以每样都试试…这世界上有那么多东西，有时候还很恐怖，但是没关系，因为还是你和我在一起…”缩小的房间，变大的世界，2015像《阳光小美女》一样的惊喜黑马之作。结尾和房间再见有强力泪点：“再见盆栽，再见椅子一号和二号，再见桌子，再见衣柜，再见水槽，再见天窗…”,2016-01-03 21:17:49
5,沉歌,推荐,小演员没提名最佳男主角，一定是为了把小金人让给莱奥纳多。,2016-02-21 03:01:03
6,Pirouette,力荐,女警察询问那段。。热血沸腾,2016-02-05 18:49:34
7,亵渎电影,推荐,小男孩才是真正的主角，故事站在受害者的视角上，讲心理自救，母亲努力让儿子和同龄的孩子一样，故事选择了一个非常有趣的切入点，环境改变到内心改变，一切都以小男孩的情绪展开，很有难度，所幸小男孩的演技是奥斯卡级别的，剧本是模式化的类型片写法，前一个小时非常完美，拍的工工整整。★★★★,2015-12-17 13:57:07
8,麻绳,推荐,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,2016-01-11 00:56:08
9,黄青蕉,力荐,确实好电影，低成本，无炫技，本以为会很无聊，没想到俩小时里基本没有走神的时候,2016-03-01 10:27:01
10,xīn,力荐,获救或创伤治疗的故事本身俗套，杰出之处是对那个孩子经验的世界的展示，我们都曾独有那个先验的经验主义的特异时空，却最终被这个符号的单一世界取代，有人温柔告别有人没有告别有人甚至忘了它的存在。问题不在于world解放了room，而是我们应该将room扩展至world，如果这真的是德勒兹的世纪。,2016-02-01 22:34:01
11,20个小明≯,力荐,在房间里你是我的全世界，走出房间也不会害怕，因为我们依然在一起…这句话是孩子说的，但同样适用于母亲，甚至可以说其实是孩子拯救了母亲！片子从孩子的角度出发，看似容易接受些，但实则更让人觉得残忍，男孩的独白好多地方直戳泪点，无耻弗兰克来演外祖父很出戏，最后这条线也不了了之了,2016-01-06 23:31:12
12,曹笑天,力荐,最可怕的人不是老尼克，而是傻叉男警察。,2022-12-19 01:14:19
13,麦,力荐,目前看到的年度最佳！在相对自由和绝对自由之间，电影让我看到了人活在现代社会究竟是一个什么样的状态。虽然空间的转换让电影表面上画风突变，实际上不同空间里人对周围的反应没有变，时而压抑得令人发抖，时而被温情融化。爱让人安全，为了得到安全我们开始占有，占有又毁灭了爱。,2016-01-21 23:16:59
14,欢乐分裂,推荐,3.5入；被小主角打动好多次，那个在成人眼里充满黑暗龌蹉的“房间”，却是他童年梦幻的乐园，可以和光影追逐，可以和家具嬉戏，孩子无穷的想象让密闭空间变得无穷大，前半部拍得既美丽又残酷；融入外界后线索较芜杂，没有处理好，“你又救了我一次”和告别仪式真催泪。,2016-01-05 22:57:32
15,有心打扰,力荐,1.再见，房间。The room对于母亲是可恨的地方，对于小孩来说却是可以整天跟母亲在一起的地方。而或许只有轻松的说一声再见，才能够打从心里卸下不美好的回忆，更好的面对明天；2.“我们都是相互帮助，让彼此坚强有力量，没有人可以独自坚强。”母子之间感情是世上最伟大的力量；3.后半段也可以很残忍。,2016-01-14 16:08:16
