序号,评论者,评分,内容,时间
1,眼角的花朵,力荐,LOTR都有意或无意地削弱魔法的存在。因为LOTR所要传达的是：即使是平凡人也能改变事情的发展趋势，即使是最微不足道的角色也能改变许多人的命运，而魔法对事物进程的影响，却在演员们本色的表演中渐渐被淡化，这也是为什么在三部曲中魔法仅仅以渲染人物心理变化作为某种基调存在，而非针对某样事物的实体了。FOTR的行云如水可称为“公路电影”，而TTT与其说是魔幻篇章还不如说是战争史诗。,2008-06-24 16:56:46
2,大佑,还行,我對電腦特技真的不那么熱衷...真的........真的.......,2010-02-20 20:52:20
3,撒旦的表妹,力荐,树人开闸放水之后，有一个着了火了树人颠儿颠儿跑进水里灭火的那段戳中笑点，哈哈哈哈哈～～～莱戈拉斯无敌了，简直就是完美的化身！,2013-03-30 18:08:18
4,影志,力荐,“这个世上一定有某种善良，值得我们奋战到底。” 其实最喜欢这个第二部。第一部刚开始，很多故事还没展开，也没有大场面的决战；第三部大场面战斗又太过饱和，容易疲劳。所以第二部末尾的圣盔谷大战，承前启后，来的刚刚好，“各路神仙”先后登场对付萨撸曼军队，也看得最酣畅淋漓。,2005-09-04 18:47:54
5,颜良辰,力荐,每次看魔戒都会被奥兰度惊艳到~,2010-03-05 00:17:11
6,颜小兽,力荐,第二部，树精很萌，甘道夫升级了，〔尊敬的用户甘道夫，恭喜你升级为vip1白袍巫师！〕→_→精灵王子吕秀才越来越帅了！,2012-12-17 01:01:45
7,朝暮雪,推荐,你能想象吗，彼得·杰克逊总共只花了2.8亿美元，就把《指环王》三部曲拍出来了，最后全球票房29亿美元，三部曲通通获得奥斯卡最佳视觉效果，还有一部拿了奥斯卡最佳影片。,2014-01-08 04:01:45
8,可爱猫猫头,推荐,比第一部有意思，树人开闸放水冲毁艾辛格的时候，其中一个着火的树人赶紧把头伸进水里笑死我了，好萌啊。假如一开始魔戒就被丢到末日火焰哪来这么多战争和死亡，和异形一样，都是人类的贪欲，自作孽。,2012-11-04 10:00:01
9,17950,力荐,"作为3步曲,比教父3部更完美!!",2006-10-12 13:11:32
10,Elk,力荐,如果在今天晚上九点十三分十九秒准时打开双塔奇兵加长版 ，你跨年的那一刻将恰好就是希奥顿说出 So it begins 的那一刻！ 寓意大概是，祝大家面对如同半兽人大军一般的2019年，都有像希奥顿王一样的勇气！ 这个跨年真感动(•̥́ˍ•̀ू),2019-01-01 00:05:37
11,束,力荐,一口气看完三部白金加长版，对于这样的片子，只有两个字形容：经典。相对于骇客帝国，这三部的连续性非常好，值得称赞。,2007-11-22 02:58:57
12,adakenndy,力荐,我现在明白了。这些故事里的主角有很多机会半途而废，但是他们并没有。他们决定勇往直前，因为他们抱着一种信念。 佛罗多：我们抱着什么信念？ 山姆：这世上存在着某些美好的事物，值得我们奋战到底。,2015-11-12 15:20:12
13,错乱天堂,推荐,莱格拉斯无敌帅~,2008-11-19 18:31:28
14,Lin Nashty,力荐,2021.4.23重映。四星改五星。 “那些一直前行的角色们，有他们所相信的东西，世上还存在着善良和美好，值得我们奋战到底。” 没想到，这一句升华一整部电影主题的话语，是始终陪伴在弗洛多身边的小胖，在弗洛多迷茫时警醒他的话语。在我心中，他的形象相比主角更为立体与生动。 “比起弗洛多与魔戒的故事，我更愿意听勇者山姆怀斯的故事。”,2021-04-23 19:29:30
15,欢乐分裂,力荐,比第一部更让人动容，“这世上还存在着某些美好的事物，值得我们奋战到底”——勇者山姆的独白真让人泪目；这个故事还没写完，我们并不知道结局如何，不知自己会成为传奇还是化为灰烬，可是只要看看黎明升起的太阳，那一缕光射到身上，信念就在那里光芒万丈。 作为三部曲的衔接部分，竟也拍得如此磅礴契阔甚至悲壮（大场面的震撼无与伦比），较多着墨于信任问题——无论是人类与其他物种之间，还是护戒联盟内部，也包括弗罗多与咕噜之间；对个体心灵在贪欲与黑暗蛊惑面前的分裂与挣扎，对选择爱情还是永生，均刻画得入骨深刻。 根本没有人能置身事外，这不仅是一个暗影倾覆的中土世界，也是我们所处的现实。,2021-04-23 16:46:54
