序号,评论者,评分,内容,时间
1,如小果,力荐,即使在一起喝过多少次酒，逛过多少次街，掏过多少次心窝，共度过多少时光，许多人还是没能拥有一个能背起你从地狱走向天堂的朋友——山姆。,2011-09-07 22:24:43
2,草威,力荐,最服的就是山姆了，走了那么长的路，路上吃得那么少，一点儿没瘦。,2017-01-09 22:13:52
3,饭夫斯基,力荐,骑白马的不一定是王子，是甘道夫；精灵战斗的时候，导演不会毁了他的美貌，别提莱戈拉斯了；裹着蜘蛛丝的弗罗多就像埃及艳后克娄巴特拉；胖子是重要的，他们可以背你；俩人被困在末日火山上，我说要有鹰，于是有鹰了；我差点以为阿拉贡要迎娶莱戈拉斯；弗罗多和山姆是真爱，绝逼的真爱。我要再看原著。,2011-10-16 21:29:18
4,眼角的花朵,力荐,与咕鲁相比，弗罗多是幸运的。他具有别人无可比拟的强大的纯真力量。但他毁灭了魔戒，却无法清除内心被唤醒的邪恶。谁能说在故事最后他远渡海外，不是一种高傲的自我放逐？也许在索伦被消灭的那一刻，他也明白了邪恶的不可战胜。只是不得不与之抗争是英雄的使命。,2008-06-24 16:55:45
5,susu/苏酱,力荐,要是让peter jackson来拍西游记，会怎样？？,2006-01-16 21:43:15
6,颜良辰,力荐,每次看魔戒都会被奥兰度惊艳到~,2010-03-05 00:18:50
7,格子,力荐,终于结束了，一切如常，我却回不去了,2008-11-17 19:03:15
8,jj73浅之,力荐,原来真的可以被友情、信念和正义给感动。。。,2010-10-24 12:29:54
9,雪後寒,力荐,阿拉贡20年没洗头了，还是帅得一如既往；我只要2天不洗头，就跟咕噜一样[苦涩][苦涩][苦涩],2021-05-16 21:12:28
10,螺丝இ,力荐,巨制就是巨制魔幻这题材少了美刀那不是人玩的感想如下：幽灵大军战斗力堪称最强阿拉贡你早调人马来省事好多 就是看着像清鼻涕 甘道夫你这个白袍儿怎么灰头土脸没有人家萨鲁曼当得有气势捏？精灵弓箭手萌~萌~萌~一大笑点是矮人金利 四个霍比特人就数弗罗多不讨喜这是角色设定没有办法 嫁人就嫁阿拉贡介样的人不过丽芙你脸也太长了我设定成宽屏还盛不下你的脸 有人说山姆和弗罗多其实是断背我看很有根据 所谓那会心一笑一切都明了 那额头一吻你别再敲打我心门 额我又腐了 最后压轴凯特你粲然一笑我瞬间倾倒！总结：60块收这6张D9值,2009-06-28 02:46:16
11,束,力荐,一口气看完三部白金加长版，对于这样的片子，只有两个字形容：经典。相对于骇客帝国，这三部的连续性非常好，值得称赞。,2007-11-22 02:59:49
12,根,力荐,书都看完了还怕你四个小时的屌电影……,2012-07-16 19:47:02
13,isolan麦葵,力荐,超级经典，看了无数遍,2008-08-25 10:14:25
14,朝暮雪,力荐,彼得大帝告诉你：什么叫做史诗！ 本片荣获第76届奥斯卡最佳影片、最佳导演、最佳改编剧本、最佳视觉效果等11项大奖，和《泰坦尼克号》《宾虚》并列“获得奥斯卡最多的电影”。,2014-01-11 00:48:33
15,亂馬2/1,力荐,魔戒比其他魔幻系列的厲害之處在於中心的設定，没有一貫的非黑即白，魔戒就是一個赤裸裸的誘惑。每個人面對他，都會遲疑。是選擇克服這種誘惑還是被它所俘虜，全在於你自己。甘道夫最後給孩子們說：我不會讓你們【不哭】，是人都會【哭】。我們需要的，是實實在在的幸福。【魔戒系列結束。成仙了！哈】,2010-07-16 19:58:05
