序号,评论者,评分,内容,时间
1,cream.cx,还行,与同学一起观看。在一个专放商业片校级电影社团放映。一直到大四才看此片，似乎有点不应该。不过我不能理解的是，此片居然如此大众，而且评价如此之高。。。其实我很客观地说，在我心目中，这部电影只能算是一般。坦率地说，我看到中间的时候还睡着了。。。,2010-04-12 15:40:54
2,麻木粮姜,力荐,我要带我的女朋友去看炸大楼,2008-04-15 21:53:38
3,Lan~die,力荐,一则极具颠覆性质的社会生活寓言.无能为力，无法改变现状，是现代生活中的癌症。虚无使人痛苦，使人希望借各种方式找回存在的真实感。然而现代人的精神悲剧就是，当他们自我搏斗、脱离了一种精神上的奴役的时候，不知不觉又进入了另一种奴役。影片自身所带有的一种不可言传的魔幻性与自我消解意味使它,2006-10-07 10:49:00
4,文泽尔,力荐,这就是神作！完美的镜头，丰富的特效，不可预料的情节，优秀但不装13的台词：我们还能期待从一部电影里得到什么？,2008-01-17 02:29:11
5,四维雨相,力荐,我看这个的时候才知道，电影可以这么牛B，一直到现在，重看最多次的电影。,2007-08-19 06:23:41
6,王周鹏,力荐,除了“人格分裂”，还可以从“本我、自我、超我”理论的角度理解片子，同时不要忽略单纯、不死、如影随形而又只具备原始欲望的玛拉，三者从未同时出现。“本我、自我、超我”是我们每个人的人格组成部分，三者的生存主张各不相同，相处相斗、此消彼长，影片在讲我们所有人。最后道德枪毙理想携手欲望，并窃取遗产、继续生活。,2012-10-27 14:11:42
7,挥雨,力荐,工作不能代表你，银行存款并不能代表你，你开的车也不能代表你，皮夹里的东西不能代表你，衣服也不能代表你，你只是平凡众生中的其中一个,2009-12-29 22:17:55
8,bad英赛,较差,慕名前来，失望而去。看来豆瓣的评分有时候要衡量是否有“人云亦云”的成分，毕竟电影中混乱的逻辑不一定是有内涵的表现。就像穆赫兰道，看完了，就只是感觉“无聊”。当然，萝卜白菜各有所爱，若问我整个片子我得到什么？就是浪费了两个小时，等到最后15分的“爆点”，就只有最后那小段好看，仅此而已,2012-08-13 00:12:36
9,小斑,力荐,我又看了一遍，再次确认Ed同学从一开始就爱上Tyler同学鸟，经典的自攻自受啊。虽然两个都是金发，不过也就这一点不符合配对美学了，小皮跟Norton的cp还是很有爱的。尤其Norton同学那一脸禁欲小受样，典型的冰山美山啊……我要去找这两人的同人看,2007-05-12 05:03:15
10,战国客,推荐,这种类型片很多，这也不是第一个讲述人格分裂题材的电影，不知为何评价很高~~,2008-03-18 13:57:12
11,毛驴哥🔒🔒🔒🔒,力荐,欢迎讨论。pitt帅成那样很不容易,2005-12-26 21:59:58
12,影志,力荐,抛开一切，重获自由。You met me at very strange time in my life. 天呐，今天才看完这部电影。佩服导演埋彩蛋的功力，特别那两个big nice cock，绝妙啊！,2007-05-11 13:24:01
13,Fantasy,力荐,"1.我看电影很少背台词,但这部片中的许多台词真是背的滚瓜烂熟. 2.我看过剧本结构最复杂的电影之一,其中情节的关联性对照性和许多彩蛋是模板级别的. 3.这部片后,大卫芬奇奠定了自己""黑暗小清新""教主地位. 4.原本大卫芬奇准备把1/24i秒一帧的布拉德皮特剪到片头24世纪福克斯处,太邪恶的念头了.可惜被否了",2011-09-04 10:06:21
14,SH&^U&^N64,推荐,邪恶与平庸蛰伏于同一个母体。在特定的时间互相对峙。,2006-08-01 16:23:02
15,海心,力荐,喜欢最后一幕，牵着爱人的手，静静看着窗外的世界轰然倒塌，而我们依然安全温暖。,2008-08-07 17:26:49
