序号,评论者,评分,内容,时间
1,Omega,推荐,开头工厂那段真是创意十足，后面就弱了点了,2011-05-09 15:00:06
2,思阳,力荐,惭愧死了，这才是我第一次真正看卓别林的电影。在放映之前我还想，为什么人们要叫他“大师”？不就是一个演员么。结果几秒以后，字幕上映，导演，编剧，主演，甚至音乐配乐都是卓别林创作的。我完全被震撼，真的是大师啊…… 这是一部又辛酸又喜剧的片子，对当时的社会不论是在工业，政治，还是生活,2009-07-08 08:47:38
3,林愈静,无评分,[2006-05-02]曾经有一段时间看了卓别林的一些电影，更加相信自己的论断：电影在不停的大踏步倒退！！ [2021-02-20]陪孩子重看了 Modern times 和 city lights。卓别林真是伟大的天才电影人。,2006-05-02 10:58:22
4,大头绿豆,力荐,靠，看了才知道，星爷有那么多东西是从这里学来的。,2005-11-28 01:39:58
5,战国客,推荐,有些电影永远都有一个别名叫做——经典~~,2008-08-01 23:00:31
6,吴花果,推荐,经济萧条，失业严重，穷人潦倒，贫富不均，企业主压榨，社会混乱，体制不合理,2008-09-28 23:26:12
7,托尼·王大拿,力荐,人的异化，极富前瞻性，即使放在今天看了依旧有着强烈的现实意义；卓别林是个极为矛盾的个体：一方面，他总是对社会那些最深入肌理的顽疾给予毫不留情的讽刺和抨击；另一方面，他也是个执拗的人性本善论者。,2011-09-23 08:03:16
8,同志亦凡人中文站,力荐,如果电影不曾有过卓别林，该会是一个多么无趣的世界。光前30分钟就让我几度笑岔了气。荒谬有理，喜谑至极！,2014-04-14 11:08:20
9,九尾黑猫,推荐,卓别林总带有纯真的浪漫。影片宛如他早年时代的缩影，尽管工作根本无法让人过上体面的生活，却依旧保持着乐观。就像结尾，你根本不知道明天会在哪儿，还是会跟着他走下去。,2014-07-27 21:56:31
10,影志,推荐,卓别林系列儿时看得太多记不清谁是谁了……,2008-03-26 19:50:13
11,大奇特(Grinch),力荐,这是卓别林第一部有声片，他尽可能写一个对话剧本，尽可能尝试一次“声音”的实验，然而由于卓别林坚持一贯的“流浪汉”角色，“声音”似乎又与角色不协调。反观，声音又以一种独特的方式呈现，我们听到的机械设备（有声）对人的打压（无声）正符合了电影主题的象征。,2010-03-05 11:33:59
12,朝暮雪,力荐,老板永无止境地剥削工人，工人不仅上班要打卡，连上洗手间都要打卡。 工厂所有地方都装了监控，包括洗手间，决不允许员工有偷懒的机会。 老板成功把员工逼疯了，一看到螺丝或者像螺丝的东西就想去拧一下。 工厂太冰冷了，让查理感到温暖的地方，反而是监狱。 监狱有吃有喝有住，以至于他都不想走了。 他出狱了都要故意犯罪，仅仅是为了重新回到监狱。 别人有幸福美满的家庭，而他和流浪女只能坐在别人的家门口做白日梦。 果然“伟大喜剧的内核都是悲剧”。 PS：卓别林兼任制片人、导演、主演、编剧、配乐，最后竟然一个奥斯卡的提名都没有？,2013-02-02 19:33:00
13,东北洪常秀,力荐,卓别林的喜剧高级的地方是不讽刺底层人，而是永远站在弱势这一边。相形之下，今天的电影创作者不仅仅是充满铜臭，是充满了恶臭。,2021-03-06 11:34:30
14,老阿飞—故园,力荐,当人不再是人，而是机器,2006-01-08 18:01:33
15,Evans,力荐,上流社会的狗没听过饿肚子的声音,2022-01-05 19:14:58
