序号,评论者,评分,内容,时间
1,亂馬2/1,推荐,那漫天飘扬的纸飞机是我对你最诚挚的敬意。,2010-07-17 21:29:31
2,Q。,推荐,这是一次心灵的洗礼，没人生本向恶，只是无情的手把人推向了无尽的深渊。Morhange每一次天使般的独唱，总让我感动的浑身直起鸡皮疙瘩，特别是那纸飞机从窗口飞出，“感谢、再见”的小手一挥，那份感动，不言而喻。而最重要的，看这部电影不仅是好“看”，天籁的童声更是听觉的享受。★★★★☆,2008-05-18 09:04:13
3,高歌,力荐,纸飞机+挥动的小手——那一刻，什么都值了,2008-08-01 23:04:18
4,沈书君,力荐,一个孩子在启蒙时期，能够遇到一位好的老师，真的是一件非常幸运的事情。,2008-10-06 09:33:32
5,Jumpingtigger,力荐,星期六，贝贝抱着小熊跟马修老师回家了！QwQ,2012-07-05 23:46:31
6,老鸡｜扶立,推荐,男孩的声音真是好听……,2008-01-10 16:38:49
7,A-sun*,力荐,莫翰奇每一次独唱我都热泪盈眶.,2010-05-15 21:02:20
8,齊克斯尼力佐飛,推荐,问题孩子何其多，善良老师却难觅，但是还好有你。纸飞机送别那一段哭了。,2010-07-31 21:14:27
9,大头绿豆,力荐,体育和音乐是促进国家团结的要素。可是俺都不会哈哈。,2006-08-24 21:18:47
10,起床，吃饭,推荐,第一幕里莫安琦居然会想不起改变他命运的导师叫什么，让我有点不理解。中间校长突然的转变也较生硬。一向不太喜欢法国电影，觉得实验企图太强而显刻意。不过瑕不掩瑜，这部电影还是很好看。,2015-09-22 12:09:34
11,木由,力荐,所以我一直坚信最好的教育人才应该放在学前教育和初等教育。小学老师对孩子的未来产生的影响远大于大学老师。可现状却是，大批自己都没学会怎么做人的人被随随便便扔到了小学、初中做老师，放纵霸凌，根据权势财势“因材施教”，惩罚性教育，把孩子逼上绝路就让天性不良背锅，呸。,2016-12-18 18:09:46
12,路可可,推荐,一日为师 终生为父,2006-09-24 20:00:11
13,Doublebitch,力荐,歌真好听，为什么我上学内会儿参加合唱队唱的都是《黄河大合唱》之类的,2011-02-08 02:07:46
14,小米=qdmimi,力荐,看到激动地直起鸡皮疙瘩，看来总有那么一种类型的东西能感动本人,2009-05-09 00:56:32
15,影志,推荐,音乐比电影好。,2005-08-24 07:17:50
