序号,评论者,评分,内容,时间
1,大头绿豆,力荐,男人。 千万不要记恨你的对手，这样会让你失去理智。,2005-09-12 20:08:33
2,账号弃用,力荐,"""Because a man who doesn't spend time with his family can never be a real man.""",2009-07-24 17:06:54
3,刘康康,力荐,科波拉是有厌女症吧？这片子里的女人要么圣母得让人恶心，要么就傻逼得遭人烦，除了哭哭啼啼就是无理取闹。最后一个镜头，麦克成为新的教父，一道门隔开他的妻子，不是没有理由的。这是一个男人的世界。相对来说我最喜欢医院里那场戏，拍得相当有张力，第一场婚礼戏也喜欢。,2014-05-26 02:33:29
4,Kaito,力荐,讲述的是一个好孩子怎么变成老大的过程,2006-06-01 00:25:27
5,伍德与夏洛蒂,力荐,无论阿尔帕西诺多卖力，教父也只有一个，那就是永远的马龙白兰度。时代不一样，要走的路不一样，所以那个黄金时代，讲义气重家庭谈承诺的时代，永远回不去了。,2014-06-28 11:10:46
6,布宜諾斯,力荐,男性电影，没有打动我,2007-12-15 14:41:14
7,夏休,力荐,聪明的女人不会去揭穿男人的谎言，聪明的男人不会让女人知道自己在说谎。,2013-11-14 14:44:32
8,同志亦凡人中文站,力荐,N年前看过英文原著，只记得是个血腥暴力的故事，想不到电影可以如此沉稳和大气，有一种史诗气质。大银幕上看马龙·白兰度，感觉膝盖好疼...,2017-05-12 19:46:58
9,deepwhite2333,力荐,这男人。。。牛逼又孤独吧。。,2008-12-08 20:51:18
10,私享史,推荐,当一个新生儿在教堂接受教父的洗礼时，教堂之外的死亡正在蔓延……,2005-11-25 16:11:11
11,bayer04,力荐,当全世界都告诉你某片特好，不去看是：不对的,2010-07-22 16:00:54
12,闻人林,力荐,年纪越大，这个片打分越高,2016-11-10 07:19:43
13,欢乐分裂,力荐,#SIFF2014#三小时内群像毕现，人物笔墨浓淡均匀，无闲笔；很多场面的调度堪称伟大，环境、声音、布光、道具浑然一体，如医院换房间那段，剪辑得太好，百忙之中不忘特写教父眼角泪珠，动静相宜；如洗礼与杀戮并行那段剪辑，可谓惊心动魄，在喜悦和冷血交错中教父二代逐渐升华定格。,2014-06-17 08:10:31
14,╯^╰,推荐,生活是这样的美丽。剧情什么的都很不错，但有一句话我不喜欢，好像是说男人需要考虑很多，承担很多，但小孩和女人不用。用觉得有点性别歧视的意味。,2017-02-24 09:18:19
15,朝暮雪,力荐,黑帮片的里程碑，也是黑帮片的天花板。,2013-11-04 22:54:04
