序号,评论者,评分,内容,时间
1,Ocap,力荐,维多·柯里昂死于极乐，旁边是一个机灵的毛孩；麦克·柯里昂死于极悲，旁边是一只棕色的小狗。,2014-09-08 17:30:34
2,一枚苏热姑娘。,力荐,看到最后要哭死了，可能因为总算有终了，这是教父系列我最喜欢的一部。另外想问问索菲亚小姐，您演技差也没关系但是没见过人死吗。。。。要不是帕西诺在嚎啕就完全没泪点了。,2011-11-07 15:16:33
3,斯特,推荐,Michael Corleone也想做一个好人。但人在江湖，身不由己，为了家族，黑道浮沉数十载，甚至杀死了自己的哥哥。风烛残年的昔日教父坐在故乡夕阳下的藤椅上，回想这世间他最爱的三个女人，如今全都已离他而去。手间滑落的橘子、两只土狗与一口老井见证了他最后的悲凉。 ——2018重温,2014-03-19 13:20:32
4,眠去,还行,说实话，我真不喜欢三。,2007-09-10 15:55:10
5,Lan~die,力荐,"""All the power on faith can't change destiny."" 任何信念的力量，都无法改变命运。 人们觉得第三部不好的原因只是我们不愿接受故事的真实结局。",2006-10-07 10:46:30
6,光年‖影视歌三栖民工,力荐,可能是因为看电影中途没有被打断，也可能是因为阿尔哥岁数渐增，演技越加成熟，第三部的感觉比第二部好很多。如果说基督山伯爵最重要的五个字是期望和等待，那教父系列的主题就是责任和担当，或者得到和牺牲。教父三部，时间从72年，74年直到跨入90年，还有质有量，科波拉也非凡人。,2010-07-25 03:46:31
7,Q。,推荐,一个完整的教父，最后风烛残年很令人感动。其实并没有像很多人那样不喜欢这部经典的第三部，毕竟时隔这么多年不管是导演还是演员各方面都变化太大了，能保持在水准之上已经实属不易。★★★★,2011-02-03 21:28:22
8,艾小柯,推荐,对政治的结露辛辣精确，对Michael的刻画终于成熟，影片氛围观感均保持一致，但韵味上留白欠缺。帕西诺的表演令人难忘。,2011-06-02 19:49:51
9,张维托,力荐,在西西里乡下，死的时候只有一条狗陪。是我的归宿。,2015-11-05 00:52:49
10,130 Talbot Rd,力荐,如果能妻子是阿波罗尼亚，Mike会不会更幸福？无法忘记婚礼舞蹈那一段555555,2012-05-25 21:52:41
11,冰红深蓝,力荐,《教父》系列完结之作，表现力和深刻性绝不亚于前两部！阿尔·帕西诺老了依然魅力十足，演技更无需赘言。片中依旧是很多一针见血的箴言，另外相比前两作这部感情和家庭戏份增多。影片配乐太动听了，高潮部分那段歌剧演出与腥风血雨明暗平行剪辑的场景真是美！（9.0/10）【2021.6.17.SIFF 大光明 4K修复导演重剪版】导剪版将迈克尔死亡结局删去，私以为比及原版悲剧性略逊。尽管迈克尔破天荒地忏悔告解，不顾一切想洗白事业让家族上岸，终还是逃不脱轮回与重蹈覆辙：狂欢节街头活动的刺杀同[教父2]，家庭聚会与全家福拍摄则与[教父1]一样暗示了代际传承，歌剧院多线刺杀恍如首作洗礼清算的再现，直升机楼顶机枪屠戮股东比前作的黑帮内讧更疯狂，文森特更多继承了桑尼的冲动狂傲，但也不无冷静谋算。迈克尔的糖尿病脑梗发作与无声的撕心裂肺之吼太心酸。,2014-04-07 23:02:14
12,秋熙,力荐,一切始于对家庭的责任，可是最后却让家人处于更危险的处境之中，不归路有时以这样悖论的方式展开。人们都爱你意气风发的初登场，我却独爱你暮年的晚景凄凉，有悔但仍有爱。反正所有人的结局都一样。,2012-10-17 16:50:44
13,米粒,力荐,牛逼人物的特质是枪都开不死。帕西诺。,2010-01-01 21:52:01
14,欢乐分裂,推荐,安迪·加西亚真像年轻版本的阿尔•帕西诺！这一部像是回归到原点，与前两部惊人相似的聚会场面，年轻一代的邂逅与相爱，下一代对家族生意的抵触，重返西西里的感慨；最感动的还是教父失去爱女的痛苦吼叫、无法得到的谅解、垂暮之年的眼泪、临终前的回忆。,2014-07-24 21:05:52
15,JackKu,力荐,我这一辈子都在力争向上，希望能够成为一个清白的人。可我爬得越高，世道就越险恶。,2022-01-03 01:28:39
