序号,评论者,评分,内容,时间
1,猪able,力荐,好伟大的爱情片，我都快哭了,2013-04-02 16:43:04
2,wallace李,力荐,弄巧成拙姜科长，无心插柳李子成，唯我独尊李仲久，超长待机是丁青，壮哉天朝大黑客，实力助攻小延边，智商不够高局长，我没看够宋智孝,2017-05-27 18:09:49
3,恶魔奶爸Sam,力荐,最后还是华侨统一了南棒黑社会，中国人最狠啊。。。,2016-07-06 22:05:01
4,木卫二,推荐,哈哈，延边刀客，中国黑客,2013-05-20 02:33:53
5,souvent,推荐,《丽水爱情故事》。,2016-12-31 23:04:30
6,姨妈的鸭,力荐,怎么办，，，，我觉得他比吴彦祖都帅,2014-03-16 13:26:13
7,玄辂Hyunlu,力荐,想对姜科长说 做人要厚道 做警察尤其要厚道 不信抬头看 黑道自有真情在 BGM怒赞,2015-11-07 21:47:29
8,Obtson,力荐,杂糅《无间道》与《极恶非道》的宿命论，又兼具《教父》的审判意味。惊叹李政宰的表演，那种木偶对牵线者的疯狂反噬，成为影片绝对的高光时刻。一直被簇拥着走的人生突然跳出棋盘，伴随着的却是彻骨的寒意，这是新世界的阵痛，也是情义与人性的丧钟。,2013-07-23 18:20:56
9,远子,还行,该片解答了我以前看香港黑帮片时的一个疑问：卧底这么厉害，干嘛不直接当老大？,2018-10-14 12:13:59
10,一顆小天狼星,力荐,“你知道你在干什么吗 万一 千万分之一我活下来了 你该怎么办 你也会对付我吗?”相信结局是众望所归的 把你置身黑道的国家并不保护你 而你的敌人却愿意与你同生共死 接地气的丁青最后送给李子成的礼物 仍然是从中国带回来的假货。“要做出选择 要心狠一点才能活下去阿 brother”,2014-07-05 19:25:07
11,萬和生,力荐,说实话，比「无间道」好看。,2013-05-17 22:27:40
12,行知小姐。,力荐,表情放松点，妈的，谁要把你吃了吗？以为再也见不到你了，真tm的高兴，喂，brother，你看起来很累，别这样子。你做个选择吧。听大哥的话，白痴。那样你才能活着。万一，千万分之一，我要是活着，你怎么办，你能对付我吗？,2022-12-14 18:24:46
13,db,力荐,警察局长拿妻与子威胁你继续做卧底，黑道大哥拿命为你铺路。知道你卧底身份的警察已被我解决，剩下的纷争你自己来，黑与白我给你选择，这就是我送给你的新世界。,2023-11-03 10:14:12
14,柴斯卡,力荐,好看 一起扛过枪 一起嫖过娼 今生有你 无悔今生 对这种设定完全没有抵抗力 劳力士 爱马仕 雅科仕 男模团走秀从头到尾 看到西装男群殴我就血脉喷张 黄政民简直是伟大的表演艺术家 仓库前后那几段戏绝了 集合了黑帮片影迷们经常意淫的高配山寨镜头 感谢导演把它们都拍出来了,2016-12-15 00:20:10
15,城南草木生,推荐,老想按一个粤语音轨怎么破…………………………,2013-06-17 16:22:40
