序号,评论者,评分,内容,时间
1,V,力荐,那时甄子丹还没出名，在演大反派，林青霞因为《东方不败》、梁家辉因为《情人》都红到爆，但该片的最大受益人却是张曼玉。那个风骚入骨的客栈老板娘，成了武侠影史上跳不过去的一页。今后恐怕没人能比张曼玉演江湖客栈里的老板娘演得更好了。,2009-03-28 20:04:41
2,少年夏不安,力荐,大漠孤烟直，长河落日圆。感觉这才是中国的西部片。茫茫大漠里一间小客栈里面各种势力的冲突纠葛。话说原来那双刀鞑子男才是扫地僧般的存在啊。,2010-11-04 15:09:02
3,MaTown,推荐,当年看到最后把甄子丹的脚剃成骨头的时候我还吓了一跳,2008-12-26 14:48:23
4,老鸡｜扶立,力荐,这部片子里面最帅的其实是小二,2008-01-10 17:07:55
5,轰小云@七汉字,力荐,"三步一个青霞, 五步一个曼玉, 甚是享受",2008-05-24 20:45:58
6,伍德与夏洛蒂,力荐,无法超越的喜欢，风流却不下流，严谨却也狡猾的周淮安。风骚却不下贱，义气却不蠢钝的金镶玉，以及外刚内柔的真女人林青霞。比起后期的沉默气质，我更喜欢这与青蛇时期的张曼玉。每个演员都无出其右，每个节奏都恰到好处。心中最深的火舞黄沙之梦，有余悸更有不舍。,2011-03-16 20:41:26
7,古西亦古奇,力荐,金镶玉，没人能超越,2009-05-18 12:41:17
8,木卫二,力荐,我不像你一样，有勇气面对这片沙漠,2006-04-14 10:58:31
9,北影厂彪哥,推荐,张曼玉真是风骚啊,2006-02-18 12:04:59
10,阿北,力荐,test,2005-06-12 02:22:28
11,元宝宝,推荐,张曼玉将金镶玉风骚入骨敢恨敢爱的性格刻画的入木三分。林青霞和梁家辉亦将江湖儿女的情怀与抱负演绎的丝丝入扣。其它一众配角个个可圈可点，经典之作。,2017-03-20 16:03:35
12,kingfish,力荐,风情万种的老板娘叫人难忘,2006-04-11 08:16:41
13,沉歌,力荐,从古到今，多少江湖义气，英雄豪情，都是一壶好酒，一场大醉，一夜好梦。,2007-10-18 11:58:51
14,大宸,力荐,大漠孤烟直 长河落日圆,2006-07-18 14:19:48
15,伊谢尔伦的风,推荐,梁家辉果然比李连杰好多了……,2012-01-08 20:12:53
