序号,评论者,评分,内容,时间
1,影志,还行,突破的迪士尼，有回忆却无情怀，有佳句无佳章，设定、创意不错，但讲述方式一路下滑。开篇惊喜以为会是游戏世界的《超人特工队》/《超级大坏蛋》+《怪兽电力公司》，没想看完感觉是动画版的《极速赛车手》…无个性，满满都是其他动画片的影子。 “如果那个孩子喜欢我，我还能坏到哪里去呢？”,2012-11-06 21:36:26
2,江倍恒,力荐,迪士尼的华丽逆袭！ 当拉尔夫落向可乐山，耳边响起坏蛋宣言的时候，即使我已经猜到了结局依然被感动到一塌糊涂……,2012-10-18 19:26:54
3,白发生,推荐,即便今年的动画电影整体水平偏低，也不至于把这样一部作品推上神坛。,2012-11-08 16:15:28
4,同志亦凡人中文站,推荐,正太把御姐，罗莉泡猛男——这真是一个三观尽毁的电玩世界！,2012-11-06 21:46:20
5,王食欲,推荐,最美告白：你脸上的像素好高啊！,2013-08-20 23:00:08
6,大奇特(Grinch),推荐,蜀黍和萝莉、御姐和正太的逆天组合，和《复联》《林中小屋》一样，以“穿越”串起主轴，却没有前者的一锅乱炖，而是毫无违和感。以“反英雄”主角的消极情绪，一路升温来找回正能量。倘若你曾是8位机或游戏厅的玩家，必定能够旧梦重温、重拾童趣！,2012-11-06 15:34:01
7,山人阿苍苍,推荐,如果说人设制作配乐什么的是动画的血肉，那创意和情感就是动画的魂。而为什么当初说《勇敢传说》让人失望，因为它虽然将前者做到无可挑剔，但它的后者却弱到爆。《无敌破坏王》游戏机内世界的设定之巧堪比当时的《怪物公司》，而对于主角心理的描摹也令人叫好，小机灵更是遍布全篇。最后我有泪啦。,2012-11-04 21:19:08
8,桃桃林林,推荐,如别人说的，确实有点皮克斯乱入迪士尼的意思。靠回忆赚分数的电影。像素游戏、街机回忆，尤其是“上上下下左右左右BA”这种，让我这种长泡游戏厅的人实在无法防御。故事简单有趣还带些温馨感动。角色也可爱，特别是那个小女孩，又萌又坏，萨拉·丝沃曼的配音也棒。今年在影院看过的最喜欢的一部动画。,2012-11-06 18:47:54
9,亵渎电影,还行,特意大半夜的跑去看了原声场，还真以为是今年的神作呢，整个就一个调色板毫无节制的追逐游戏，追逐越来越快真让人担心动画师的调色板会在高潮时刻跟着失控。也许大家看的是自己的怀旧情结？这样的反英雄故事没有亮点只能算不功不过，连桥段还都是大把眼熟的拿来主义，天朝的观众都返老还童了？★★★,2012-11-20 02:06:59
10,kingkongofkhan,还行,sugar rush毁了这片子，但这就是迪士尼的品味,2013-02-21 20:46:31
11,psycho DC,力荐,给我一瓶可乐 + 一包曼妥思 我能拯救全世界！！！！,2012-11-06 22:36:06
12,CyberKnight电子骑士,推荐,非常过瘾。大反派破坏王为赢得尊重跑到另一个游戏里冒险，各种奇遇和阴谋危险。。。故事紧凑精彩，画面非常绚丽漂亮。游戏背后的世界勾起我们的童年回忆，充满对老游戏的致敬，有点初次看《怪物公司》的感觉。情怀深度故事画面样样不差，个人目前的年度最佳动画，颇有奥斯卡相！,2012-11-05 12:27:38
13,张小北,推荐,三观正确，技法娴熟，娱乐性强，还有什么苛求的呢？,2012-11-10 22:12:53
14,等一个人,推荐,如果一直在英雄使命里面展开的话估计就是满分了,2012-11-11 15:26:01
15,Obtson,力荐,给这片子差评的多半曾是班干部，他们去游戏厅也都是领着老师去逮人的。所以，我认为打低分者才是真的无敌破坏王。,2012-11-09 10:47:12
