序号,评论者,评分,内容,时间
1,杜,推荐,当法国人不讲情义，美国人不讲人权，德国人不讲原则，英国人满脑浆糊，犹太人大开杀戒，希特勒就死了。,2009-11-21 11:29:08
2,Minjie,力荐,昆汀的恋足癖还是藏不住啊。,2009-11-20 03:49:04
3,JACK,力荐,冲着皮特和昆汀去的，结果被德国太保给迷住了,2009-12-08 09:27:24
4,大头绿豆,推荐,流畅，看起来毫不费力。除了布拉德皮特显得格格不入，除了地下酒吧那场居然不收拾现场有些BUG，除了绑着TNT居然能混进元首活动场所很无稽，其他都很好，很完整，完成了电影所能给出的最重要的功能：娱乐。,2010-07-26 10:40:58
5,文森特的耳朵 | 生命短促啊,力荐,看到女主角对着镜头外的纳粹大笑，简直肾上腺素爆增啊。,2010-10-17 10:30:09
6,光年‖影视歌三栖民工,力荐,红衣女子因为恻隐之心送了命，是少数几个正常点的黑色幽默。。。,2009-11-20 23:13:15
7,yuςii,力荐,"天才這次拿出了歷史,以影史破壞影史,甚至燒毀影史,瓦解歷史,誓要引領影迷在面對歷史的同時要走出歷史.",2009-09-03 23:01:34
8,桃桃林林,力荐,电影的魅力，他用电影创造历史,2009-11-23 16:07:24
9,Kennn.,力荐,Quentin是他媽的天才！,2009-05-27 06:16:21
10,喵过留影,推荐,这部电影告诉我们：绝对不能相信美国人！,2009-12-03 12:14:34
11,荞麦,推荐,重新看了一下开头：德国军官是如何在十分钟之内让一个大老爷们儿崩溃的。,2012-07-14 21:54:53
12,Jean,力荐,Tarantino 真是电影天才.,2009-08-22 15:12:38
13,sasasasa,推荐,Waltz屌，虽然片子一堆问题,2009-09-09 10:07:44
14,汽车大师,力荐,2009 no.1；开场戏和酒馆戏可以做教科书了；每一章都是含戏中戏的类型片，狂野的电影情书贯穿始终，最后的对白成了点睛之笔；猜猜谁最先翘？影评人！,2009-12-11 08:36:54
15,马耳朵,推荐,这是一部非常离奇的二战影片。,2017-08-25 00:11:19
