序号,评论者,评分,内容,时间
1,隆咚锵,力荐,牛就牛在，他让所有演员都达到了巅峰,2007-03-03 02:07:09
2,XAr,力荐,当年我深刻的爱上了梁朝伟同学,2008-02-15 00:48:21
3,刘小姜,力荐,最后那一下爆头，刘德华和梁朝伟的眼神里都是震惊，他死在电梯里，电梯门来回的开关，我们也从震惊中恢复，觉得残酷，谁说的，好人有好报，那些为民除害的，都死了。会有人惦记着他们吗？把他们视为英雄吗？又有什么用呢，这个社会还不都是恶人当道。,2012-09-14 19:42:32
4,momo,推荐,刘嘉玲说：当年拍无间道的时候梁朝伟每天只开工三四个点就回家，拍了二十多天就拍完了，之后就是获奖无数。演戏这种事，不得不承认是有天赋的。,2016-12-27 22:15:16
5,掀桌超人,推荐,看了美版的，才知道港版有多好看~55555555,2006-04-27 17:09:20
6,白开水,推荐,“《无间道》拍得相当好，但是再好也已经没有当年港片热气腾腾的生命力了。不知是拍的人变了，还是看的人倦了。《无间道》的前传后续也声势闹猛，它似乎可以打破港片沉沦的僵局。但是，它更像一具艳尸，妆扮得精美绝色，但终究是死物。”网上的这段评论深得我心。,2008-02-11 00:27:01
7,小罗伯特唐寅,力荐,现在看来，无间道一部电梯里挤了三个影帝，这部电梯也算是前无古人后无来者了。,2017-04-11 13:25:40
8,影志,力荐,“出来混，迟早要还的。” 别说，这种港片老爸老妈们已经欣赏不了了，就连弟弟一起看都没坚持看完，哎，我说，片子都这么牛逼了，对你们来说却成不了经典，叹息。,2006-02-16 22:18:21
9,伊豆,推荐,梁朝伟已经无与伦比了，那忧郁的眼神，欧~~,2008-12-09 14:47:36
10,曾于里,力荐,怎么形容梁朝伟的分量呢？就我个人来看，影坛少了一个梁朝伟，就等于少了一百个刘德华。,2012-01-18 13:49:18
11,欠揍的我,力荐,常看常新。我认为无间道里最精彩的设计之一，就是陈永仁从头到尾都没有一丝丝动摇，站在巷道里冲着警司的灵车敬礼那一刻，闪耀着强大又微弱的人性光辉。,2020-12-26 11:46:32
12,Doublebitch,力荐,港片新旗帜,2008-11-24 22:57:04
13,意闲,推荐,看刘德华演戏好累,2009-02-28 05:39:29
14,kt,推荐,开头音响店收据日期是2002年11月28日 结尾墓碑上的日期是2002年11月27日 无间地狱 轮回之苦,2016-12-28 00:57:16
15,顾俏乜,推荐,陈永仁的人生好比他上级手里的风筝，当他上级撒手人寰时，他的警察生涯也可说随风而逝。,2017-05-03 19:15:15
