序号,评论者,评分,内容,时间
1,润物,力荐,如果看了无间道第一部，这部续作是必须要看的，这是一部前传，错综复杂的关系结合着之前作品来理解，非常有味道，编剧确实很有水平，设计得相当缜密。演员阵容依旧十分强悍，这部里吴镇宇的出演是最大亮点，可以毫不夸张的说，他甚至抢走了几位主演的风头，虽然黄、曾二人是公认的演技派，但给我留下最深刻印象的还是吴镇宇，他演老大简直绝了。看过之后，慨叹着命运的无常。,2007-03-31 14:15:06
2,旅途人生,还行,应该是前传而非续集，相比第一部，结构更复杂，更侧重对黑道江湖恩怨情仇的描绘，而非单纯的卧底故事。需要静下心来看。但因为结构世界观的庞大，使得电影叙事复杂，趣味减少，又是一部不成功的续集,2017-03-13 11:37:03
3,So Magic,推荐,吴镇宇绝了,2009-12-08 09:59:37
4,redmayne,力荐,因为这部戏 我第一次 清楚看到吴镇宇这个人 只是这点 已经是满分,2007-09-25 13:10:05
5,Edward,无评分,各种型男，总有一款适合你（神马曾志伟也算吗）！陈冠希和余文乐本该是现在港片的中流砥柱了，可惜一个不懂电脑，一个不会挑片，可惜，尤其是陈老师，可惜！赐你们BL！,2010-12-07 11:21:12
6,某茶君,推荐,无间道的前世今生...吴镇宇实在是太有味道了...,2007-01-28 03:16:49
7,橙子换马甲,无评分,卧槽惠英红加刘嘉玲（惠英红在神经侠侣里面也是吴镇宇的姐姐怎么这么倒霉哈哈哈），瞬间上档次！男的方面，胡军画风太违和直接过滤，另外我不是很想看那俩年轻人，但是难得冷静克制的衣冠禽兽吴镇宇一个人就足够拉回分数，死得太好看了！另外还有廖启智和张耀扬！当然黄秋生曾志伟杜汶泽也是1里面我喜欢的，而且这里发挥机会多了！2感觉比1多了些港片浮夸的俗气，配乐没完没了，黄秋生灭火那场真的好狗血，我都喜欢。。（但是3的cast太诡异而且没有吴镇宇还是算了,2019-02-05 23:13:34
8,A-sun*,推荐,要是没有吴镇宇怎么办！,2010-10-08 12:13:11
9,白鲸,力荐,倪永孝中枪栽倒在弟弟的怀里，弥留之时拽出了藏在他衣服内侧的窃听器，一瞬间的眼神没有人能读懂，趁还有一丝力气，又把窃听器塞回到弟弟的衣服里，接着撒手，瞳孔放大离去…这是我看过最荡气回肠又悲天悯人的黑帮电影。,2016-01-25 23:55:49
10,黃美麗,力荐,5粒星係比吴镇宇的,2008-06-28 02:39:46
11,[x],推荐,我不想再做卧底了，再做两年我就成尖沙咀老大了。（笑尿）,2015-10-15 20:11:17
12,阿德,推荐,倪永孝这个角色被吴镇宇演绝了，每个眼神每句台词都“教父”范儿！,2011-06-03 10:08:56
13,战国客,力荐,论好看，2不敌1，也不如3。但就影片本身的质量，2绝对是3部中最好的。跟《黑社会》系列一样，拍出了黑帮史诗片的感觉——大气~~,2007-06-25 10:20:40
14,海心,推荐,吴镇宇的感觉很不错，陈冠希在片尾的表情超级帅。,2008-11-02 22:35:11
15,我爱阳光,力荐,吴镇宇非常出彩。片子很有教父的感觉，但有些场景和心理刻画比教父更细腻些，很喜欢！,2007-10-31 18:13:31
