序号,评论者,评分,内容,时间
1,Se7en丶小七,推荐,影片两个男主人公的名字竟然就是两个摄影助手的名字，感叹于王家卫随性而行的个性。,2012-05-15 17:49:15
2,sssecret。,无评分,张国荣转过身抽烟的样子看的我酥掉了=。=,2010-04-10 20:58:31
3,LisaLeung,力荐,张国荣死后，有一个女荣迷，在网上发了一片贴子，说到自己看到梁朝伟的情形，有一次梁朝伟到内地来演出，等演出完毕后她守在他出门的必经之路，等看到他和一群人走来，她便大声的哭喊道：“黎耀辉，你还记不记得何宝荣？”梁朝伟听到她的喊叫，停下来，朝她这个方向看来，然后点了点头，急匆匆地走了,2011-01-21 19:48:19
4,瓜。相信这个世界很变态。,推荐,总是觉得，站在瀑布下的应该是两个人。,2008-07-17 19:56:31
5,亵渎电影,推荐,第一次看王家卫导演的《春光乍泄》还是十年前，那会儿以为这就是一个同志爱情故事。北影节最后那天，在电影资料馆又看了一遍，到了这个年纪，有了一定的阅片量之后，总算是有点看懂了这部电影的好。才发现它讲的根本不是爱情，而是寂寞，讲了那个时代背景下，内心失去了归属感的香港人。,2018-04-26 13:02:16
6,同志亦凡人中文站,力荐,何宝荣。黎耀辉。如果你对一个人有特别的感情，你会更喜欢叫他的全名。,2014-04-02 09:28:50
7,隆咚锵,力荐,爱一个男的还是爱一个女的尤其的不重要，只是爱一个爱上了的人……这个世界就完了,2007-02-26 01:06:58
8,小红帽,力荐,我敲诈你，人质是我自己,2011-08-04 18:28:13
9,逍遥兽,无评分,最记得厨房中那一支探戈。,2007-07-13 09:25:44
10,kingfish,力荐,"梁朝伟加张国荣,简直是挡不住的诱惑.",2006-03-22 12:53:21
11,饱肚师叔,还行,王家卫跟星海诚有个最大的共同点：作品都要靠观众自己意淫。,2013-11-25 21:56:48
12,五,力荐,没有张国荣就没了魂，绝非夸夸其谈,2007-09-20 20:21:18
13,.,推荐,感情说穿了 一人挣脱的 一人去捡,2012-05-27 12:01:49
14,littletwo,力荐,爱到极至，就是两个人的互相折磨。,2008-02-23 20:26:05
15,Connie,力荐,从来只有半部的《春光乍泻》,2006-01-18 21:57:14
