序号,评论者,评分,内容,时间
1,游牧人,无评分,《黑天鹅》《梦之安魂曲》轮番借鉴本片。在日本做idol真是不容易，总是在理想和现实中挣扎，被大量地消费色相，想起了也曾被剥削过度的天地真理、冈田有希子、南野阳子、酒井法子、小泽夏希、宫泽理惠和泽尻英龙华……也许这样的悲剧还会一代接着一代地进行下去,2014-08-04 04:34:30
2,老阿飞—故园,推荐,谁说今敏不牛b我跟谁急,2006-03-15 03:35:48
3,托尼·王大拿,力荐,达伦，你到底从今敏那里偷了多少灵感，这和《黑天鹅》的设定有很多相似之处啊！镜子的割裂，心理暗示，散碎的剪辑，真他妈牛逼。,2011-04-24 14:15:26
4,有未始有始也者,推荐,強姦戲可以理解，拍裸體寫真就絕對是敗筆（雖然是留美發瘋的關鍵），這樣一來未麻的演員定位就有問題了，到底是實力派呢？还是三級片明星呢？,2007-01-23 02:54:59
5,JOJOORC/Z,推荐,边看边起鸡皮疙瘩，但看到结尾为什么觉得很励志……电影海报是神作,2007-05-28 00:02:22
6,易老邪,力荐,片子结尾将一切坐实为留美所为不能不说有丝遗憾，其实我个人更赞赏影片60多分钟时的那个剧情构思和说法，即，之前所发生的一切只是一个名叫高仓阳子的平凡女子的人格分裂，把自己幻想为偶像歌女雾越未麻，把自己不堪回首的遭遇幻想成在演戏，藉此得以解脱。,2010-11-02 23:06:44
7,Rivers,推荐,梦境 现实 虚幻 穆赫兰道的感觉,2010-10-11 09:57:03
8,Lan~die,推荐,惊艳，这片子夏天看可以降温。,2008-04-29 23:15:57
9,momo,推荐,男人认为摧毁一个女人的精神，不是强奸就是裸照，把身体羞耻通过镜头刻进女人脑海。反观影视作品里被摧毁的男人，丢工作、家庭破碎、身体残缺……却很少有关于身体的性侮辱。剧情和画风不错，但我不喜欢大肆渲染的强奸戏和裸摄。未麻作为偶像和演员，定位都绕不开男凝。结局一般，虽然冠以自我成长的主题。不会看第二遍。,2023-10-15 19:33:48
10,如花就是小妖,力荐,好的剧本就是就算你猜到了结局也猜不到全部,2009-12-15 13:50:33
11,翻滚吧！蛋堡,力荐,看今敏解读，他自己提到《梦之安魂曲》里浴室镜头的模仿：“什么致敬，明明就是抄袭！那个坐在浴缸里的女主角就是詹妮弗·康纳利。后来我还和她坐过同一架飞机，结果她在头等舱，我在经济舱。”哈哈哈哈哈哈,2015-07-08 00:13:12
12,昏金暗玉,力荐,想想看这才是1997年的动画电影！今时今日很多真人电影仍然无法比拟它的用心良苦、诚意、和所达到的效果。为了扑朔迷离，今敏用尽心思。,2010-08-15 15:41:59
13,Doublebitch,力荐,这绝逼不是给小孩子看的动画,2010-11-15 14:33:05
14,同志亦凡人中文站,力荐,惊悚得头发梢都立起来了，今敏就是动画界的大卫·林奇啊！虚实切换得让人叹为观止～,2015-05-17 17:46:41
15,门柱,无评分,除了东京教父之外，今敏的片子真是强精神暴力啊,2018-01-28 21:50:35
