序号,评论者,评分,内容,时间
1,奇怪的普通市民,推荐,最喜欢的还是鸭子姐，一声不吭就搬到巴塞罗那，鸭子姐你会幸福的,2024-03-02 16:20:14
2,桃黑,推荐,虽然结局看起来大家都开始好了起来，但狗狗的幸福是自己可以主动得到的，而机器人的幸福却是靠着无尽等待，甚至支离破碎之后偶然获得的，这两者之间是绝对不一样的。,2024-02-18 12:37:00
3,Meraki,推荐,相聚离散都有时候，不会再问小狗为什么不能更努力一点早早带走机器人，我们多多少少都已经领略过命运的斥力，默契情谊真实发生过，也总会有新际遇补位。看了会难过或豁然都太正常了，配乐很出色。,2024-02-08 23:11:35
4,水中的沙发,推荐,仿生机器人会梦见前任小狗吗？会，而且很伤心呜呜。（竟然听到了康定情歌）,2024-02-06 18:44:21
5,欢乐分裂,推荐,2024-6-9重看；接近爱情本质的表达——共同拥有的美好，分离后嵌入基因的习惯（那些一起去过的地方，一起拉手吃过的冰淇淋，一起在黑暗里拥抱着看过的电影，到后来都会变成扎向心口的利剑），不想放手的执着寻找，患得患失和再度孤独，凝望回首和再度出发，再回首也是惘然，相见争如不见，幻想中的拥抱就让现实停驻于此刻；这样的故事我们看过、经历过，移植到小狗和机器人，甚而拥有超越爱情的可能，结尾几乎具有了普世化情感模式的升华。想像中的拍肩和并未发生的隔窗对望太虐了，可能这是最好的结局了吧。 我们总是在错过和重遇、犹疑和豁朗、怀念和释然之间摇摆，而走向人生的岔路如同人终将孤独一般必然，只要想到也曾、也会在对方生命中留下无法磨灭的印记，那么躺在沙滩上一次次奋力地做梦就似并不止于梦境，是彼此想念产生的强劲现实。,2024-02-15 22:27:14
6,麻烦帮我关下门,力荐,五星都给浣熊！世上最好的小浣熊！机器人破破烂烂，小浣熊缝缝补补！,2024-03-13 21:15:33
7,Mayday,力荐,太好看了！太好看了！太好看了！一句台词也没有！我感动的泪流满面。一直焦急等待着他们重逢没想到真的见面的时候选择了避而不见 一起不在同一个地方跳舞的时刻眼泪哗哗的流。一段关系的结束一段关系的开始我心中始终会给你留个位置，纯粹版换乘恋爱。再遇见新人时机器人已经懂得了牵手不能太用力，小狗也懂得了机器人进水会坏掉。上一段做错的在新的人身上不会再重复。好会拍啊好喜欢 不用语言的陪伴 不在身边的想念 重逢之后的放下 呜呜呜呜呜呜呜。 还有很多很有意思的桥段，雪人用头打保龄球，雪人喝饮料会变色，章鱼打鼓，机器人教小鸟飞翔，好喜欢这样的动画，心软的一塌糊涂。,2024-02-13 12:30:13
8,萌发奇想,推荐,虽然明白这是一个讲生命过客的故事！但是还是想说四个一起做好朋友不行嘛？还能一起打麻将呢～😭 PS.🤖❤️🐶定档608，我要在大银幕上刷一遍！😎,2024-02-29 10:49:22
9,普通人类材料,力荐,两个人不在彼此身边却跳着同一支舞😭有时候love doesn't overcome circumstances，而我们只能向前看、追寻新的幸福。,2023-09-09 22:55:43
10,天马星,力荐,原来每一次与你重逢都是梦，尽管我们不能在一起了，但这并不代表我不爱你 。,2024-02-19 12:07:23
11,墨梓🐳,推荐,它的每个梦都想敲开同一扇门…我真的😭😭😭,2024-02-28 16:50:42
12,Faust,力荐,狗子要的是陪伴，机器人要的是狗子。 狗子，你可以划船从海上去找它，也可以从天上落下去找它，还可以从下水管道去找它！但你没有！你也努力了，在你的能力范围，也算对得起自己的良心了，不会自责了，然后用一个便签掩盖了情感。去寻找新的陪伴。到期了，在海滩上挖了个大坑，来结束这份感情。狗子是现代消费文明下作茧自缚的人类，心底有爱却无从发现，也无从寻找。 机器人，理想的赤子，粉身碎骨后，它值得一份爱的拼接。 所以影片叫《机器人之梦》。,2024-03-14 11:32:06
13,后自愈,推荐,你总会跳新的舞，但至少我们曾经共舞。,2024-03-08 00:06:19
14,屑美乐蒂,力荐,只希望你开心，不管身边人是谁。 真是哭得我满地找牙… 只恨不能打10星,2023-09-09 18:45:56
15,田小禾,力荐,我是不是你最好的朋友，我是不是你独一无二的朋友，你来找过我吗，你还记得我吗，你有新的朋友了吗，冬天你度过了什么样的日子，春天呢，是谁砍掉了一条你的腿，谁给了你温暖，谁给了你新的生命。你的口哨吹给谁听，在你的梦里，我终于在你按响门铃后来给你开门了吗？是不是人类聪明到能发明机器人朋友，也还是会想这些愚蠢的问题，还是会感到孤独呢？那条熟悉的街道，那一小片沙滩，只能等待时间来解冻的冰面。在时间中我们记住和忘记的究竟是什么，在我们都感到孤独的时间里，各自度过了什么样微小而有趣的日子？钓鱼，然后又偷偷放生，放一只风筝，小心翼翼地交新朋友，成为三只小鸟的巢，看着它们长大然后飞走。,2024-02-24 21:04:44
