序号,评论者,评分,内容,时间
1,影志,力荐,“如果再也不能见到你，祝你早安，午安和晚安。”,2005-12-28 01:22:04
2,伊卡洛斯,力荐,他用别人的相片拼凑出她的样子， 在这个虚假的，冷漠无情的世界里只有这份思念是唯一的真实,2010-03-25 14:01:04
3,Qing,力荐,最讽刺的难道不是电视旁的所谓观众么？导演老头子都比他们真情实感多了 观众为了他落泪欢呼击掌又如何 之前却从未想过让他离开 之后也只是换了一个节目频道罢了,2017-01-21 14:29:53
4,齊克斯尼力佐飛,力荐,就算是已经完全知道剧情走向也还是被震撼被感动。就算你能摄影我的一切也无法在我脑内安装摄影机。,2011-09-25 20:15:37
5,UglyBerry,推荐,我是不是也在楚门的世界活着？,2008-05-20 14:28:07
6,米姐起飞,力荐,要想阻挡我 只有杀我,2008-01-28 23:51:11
7,沉歌,力荐,打开这道门，即便现实再最肮脏也请让我自己感受！关掉你的镜头，即使现实再无奈你也必须自己体验！,2007-10-18 11:55:48
8,理想多钱一斤啊,推荐,原来植入广告那都是人家美国人玩剩下的玩意儿……,2009-10-07 18:46:27
9,开心街的笨菠菜,力荐,不止一次的怀疑所有人都在演戏，而我却蒙在鼓里,2011-07-13 22:24:31
10,同志亦凡人中文站,力荐,当你望着深渊的时候，深渊也在回望你。楚门之外的世界，又会有怎么样的窥探？最怕的是，我们永远无法求证自己身处在哪个世界。,2013-03-14 22:14:39
11,金鱼先生,力荐,最后一个镜头太讽刺了。上一秒观众们还为楚门的决定欢呼雀跃，下一秒就开始转台搜寻下一档节目以供饭后娱乐。,2020-12-02 21:27:54
12,波波维奇,力荐,影片结尾两个保安的话让我不寒而栗，楚门到底有没有走出楚门的世界？,2018-03-07 22:15:53
13,后天的雨,力荐,还记得第一次看完后的震撼。从一出生就在全世界关注下，父母朋友亲人甚至所有30年的人生轨迹都在设定中的楚门，在逐渐剥开疑团揭露残酷真相后，他有勇气走出这个巨大的牢笼，而我们每个人又何尝不是楚门，都在某种程度上被设定被限制被禁锢，又有几个会寻找自由挣脱桎梏。,2016-11-05 23:09:29
14,enthusiast,推荐,每个人都向往自由而不仅仅是安定,2006-04-21 06:59:26
15,贾不许,推荐,"Good morning, and in case I don't see ya, good afternoon, good evening, and good night!",2008-12-08 16:31:21
