序号,评论者,评分,内容,时间
1,传奇☂,力荐,看这部电影才知道，原来自己已经死去了好久，从某个不经意间被打破的清晨开始。,2007-02-27 10:39:27
2,胡如隐,力荐,“金融，工程，建筑，计算，固然很重要，那是我们生存的条件；但诗歌，浪漫，爱，是我们生而为人的原因。”,2016-05-01 22:09:33
3,Ocap,还行,3.5。对传统教育做教育、激情多于思辨的电影。Neil自杀显然引出更尖锐的问题：当自由理想遭遇现实阻力的冲击，如何避免惨剧发生？这是源于电影本身极为重要且漂亮的自问，却没有自答、没有探索，甚至没有企图抛给观众。这或许仍不失为理想主义的悲歌，但同时也是电影作者“自设台阶不敢踩”的不负责。,2017-03-12 00:50:48
4,有心打扰,推荐,开场精彩，中场尽显疲态，结局来了个绝杀，最后终于反败为胜，深入我心。凶手毋庸置疑是那个“船长”，他教会了学生追求快乐，但是却没有教会他们反抗，他教学生成为一个理想主义的诗人，却没有教会他们现实的残酷。充满理想的开篇却以悲剧性的事件结尾，理想终归要回到现实，并一直被现实压制。,2012-01-04 03:51:33
5,珍妮的肖像🦤,力荐,哦！船长！我的船长！,2008-09-07 08:55:48
6,海心,力荐,最后大家还是屈服了，但是永远不会忘记seize the day.,2009-05-08 16:16:49
7,驹鸣,还行,虽然包裹了文学、诗歌的外衣，虽然看上去浪漫、激情，仍无法掩盖其说教、鸡汤的本质。影片里的学生自以为有了自己的思考，实际是对主角老师的盲从，从一种盲目到了另一种盲目。,2021-10-21 20:23:46
8,鱼丸粗面,推荐,"选择和别人不一样的路走的人,虽然会感觉孤独甚至会招致歧视,但并不意味着那就是过错——相反,一个真正的英雄往往会选择一条很少人会走的路.大多数的人都在平静的绝望着",2007-03-28 21:22:29
9,路人X,推荐,如果能遇到这样的老师，要积累多少的rp?,2005-07-08 18:37:38
10,私享史,力荐,《死亡诗社》最后安德森爬上课桌那一幕哭得我稀里哗啦的，一个刚到口的龙眼就活生生地吞下去了。它和《孩子王》有一个同样的情境设定，但立意确实不同的。《孩子王》里“从前有座山”那段也是让我唏嘘呀。另外，《死亡诗社》的中文配音配得很好，不知道出自哪儿。,2008-01-01 11:15:24
11,樹一,力荐,我和Nill有个一样的父亲，却从来没有遇见过像Mr. Keating那样的老师。所以我哭了。,2010-09-19 15:48:18
12,西楼尘,还行,面对权威勇敢站起来的少年们，喊着船长凌驾风帆，此刻教室如同汪洋大海，学了莎翁拜伦的死亡社员终于敢追求星辰。精彩的尼尔之死将全篇从平庸拉至伟大，但不容忽略无用的段落分散了关注。多少孩子还在伪善的谎言里不敢触碰梦想，多少无辜少年玉石俱焚，这就发生在身边。终于知道《喧嚣贵族》模仿哪里。,2015-07-20 00:06:44
13,Yolanda,推荐,这个时候他该怎么办我想，只能去死了。没想到他真去死了。sb一样的父母,2008-11-03 20:17:14
14,20个小明≯,推荐,有多少孩子的一生都是这样被断送的！！！春风化雨，润物无声，不敢奢望啊…只能说这部片子的结尾收的太棒了，拯救了整部片子！前半部分真心平庸无聊，不愠不火压抑了那么久，情绪全部积蓄在结尾爆发！让人实在无法平静啊…,2011-09-25 22:22:38
15,理想多钱一斤啊,力荐,深刻并不来自死亡，而来自那对心爱姑娘眸上的深深一吻，岩洞里的昂扬青春，还有生命陨落前那最后璀璨。Carpe diem -- 换个角度，换个心态，不再一样。,2009-10-16 17:10:50
