序号,评论者,评分,内容,时间
1,匹诺曹,还行,没有原著好看啊,2008-08-06 10:55:41
2,沉歌,推荐,长太息以掩涕兮，哀民生之多艰,2014-03-24 17:13:09
3,余小岛,推荐,活着就是他妈遭罪，可死了又不甘心。,2013-04-28 18:18:47
4,西楼尘,力荐,国家走了一小段弯路，对于一代人就是蹉跎了一辈子。生活不易，还是得这么活着。笑中带泪，死人堆里暗暗许下活着的誓约，可谁也不曾想大环境下生活的艰辛。国师在第五代导演最好的时期奉献了极其有温度的作品。经年以后，鹤发的富贵摇着蒲扇回想那天不让有庆上学，少买几个馒头就好了，可生活不曾回头。,2015-06-23 22:22:35
5,艾小柯,力荐,个人认为是张义谋最好的电影。,2006-06-16 01:33:13
6,柠檬海盐,推荐,历史背景太严肃 总觉得下一秒就会是悲剧 一路想着这么看完 反倒有点释然,2017-05-02 19:52:29
7,Lan~die,力荐,活着就是受罪 活着就是劳累 活着就是互相折磨 活着就是不对 活着就是受罪 活着就是劳累 活着还得互相安慰 活着就会憔悴 活着就是受罪 活着就是劳累 活着就得拼命挣扎 活着就得干脆 ——尹吾 你笑着流出了泪,2009-01-25 17:28:31
8,momo,力荐,演员选得很好，巩俐演啥像啥。但整体没有小说感人，可能小说太残酷了吧。兴，百姓苦；亡，百姓苦。活到最后的人，往往最痛苦。,2016-10-23 09:48:39
9,朝暮雪,推荐,如果你觉得自己很惨，那就去看看《活着》。,2012-08-07 16:04:10
10,巴喆,力荐,（短评已多次被删）,2012-06-28 12:41:16
11,狷介有乌青,力荐,一个时代有一个时代的悲哀和可笑，你能在别人心酸的故事中读出些许温情，也能从自己的平凡中领会些许荡气回肠。电影少了原著的惨烈，但那种好死不如赖活着的悲凉还是存在的。,2011-11-27 00:04:27
12,影志,力荐,活着就是一切！戛纳评委会大奖，老谋子最好的电影。,2005-07-22 01:47:20
13,美好时光只为你,推荐,因为老谋子的改编，是影片看起来没有原著那骨子压抑的绝望，更温情了一些。,2017-04-25 22:18:06
14,王喝冰,力荐,说真的，任何一个国家把这样一部伟大的电影禁掉都是这个国家的耻辱。,2020-12-21 14:39:41
15,小耳朵图吗,力荐,改编自余华的小说【活着】。很好看。书和电影都好看。活着的人比死了的人还痛苦。我觉得是的。,2008-09-02 23:13:25
