序号,评论者,评分,内容,时间
1,Yiklui Cheung,力荐,我想知道的是 大地村那里的海豚屠宰场现在怎样？关闭了没有？当地的渔民是否还以屠宰海豚谋生？,2009-12-08 12:59:06
2,慕容桂武,力荐,最具艺术感的纪录片。真相都真的让人难以想象，所以他们还在否认南京大屠杀。,2009-12-08 21:08:54
3,蘇瓦特,力荐,“All social change comes from the passion of individuals. / 所有社會變化都源于個體的激情。”,2009-12-16 17:55:34
4,横折弯勾,力荐,当Ric把屠杀海豚的视频绑在胸前闯进OPS的大会现场时...我的泪喷涌...,2009-12-14 20:04:17
5,胡克,推荐,"看完确实很难受...有的物种确实更容易得到人类的""庇护""or""杀戮"",做不到素食主义的我只能尽可能地不成为其他的动物买卖的一环.",2010-01-10 03:01:44
6,Orchid,力荐,“必须屠杀海豚，因为他们吃了太多（我们的）鱼；必须屠杀海豚，因为要维护昔日大日本帝国的尊严！” 丑陋的真相背后总是有政府和利益集团的勾结。,2009-12-15 16:21:20
7,影志,力荐,“海豚的微笑，是世界上最高明的伪装”《海豚湾》之前，太多生态纪录片披着唯美和说教的空皮，这一部所上升到的意识高度以及呈现的残忍，令人震撼。09最佳当之无愧。“当我看着一条海豚，他的眼睛跟着我转，当我们四目相对，我有一种由内而外的感觉，毋庸置疑，我正在和一个智慧生命进行交流”,2009-12-22 10:44:32
8,低价值用户Kar1,较差,很有冲击力的片子，但主题却很不成熟。本片倒底是想呼吁： 1.反对捕杀海豚？（就因为海豚是智慧生物？所以智力较低的家畜、家禽、农作物就活该被切碎了当人类的食物？） 2.反对非人道地捕杀海豚？ 3.反对食用有毒的海豚肉？ 4.还是其他？,2010-02-03 23:44:10
9,读书破万卷,力荐,自己在家里看都能鼓掌,2009-12-15 19:56:03
10,有猫万事足,推荐,看关于环保，动保的纪录片的最大意义就是转化为自身的行动。现在这种片子很多，如果看到5部你还没素食，我怀疑你是不是要人格分裂了。,2009-12-11 11:50:32
11,Marc,力荐,血淋淋的海湾……影片尾声那段触目惊心的屠杀场景让人看了感觉心里堵得厉害！地球村上的每个村民都该看看这部片子。,2009-12-17 21:35:12
12,zitsunari,较差,某个被采访对象说海豚这个物种“可能比我们人类更智慧” 我觉得它们至少比不讲逻辑的导演更智慧吧,2013-05-04 22:17:25
13,untamedheart,力荐,已经多久没有哭成这个样子了,2009-12-02 20:04:34
14,宁宁,推荐,海豚的微笑，是大自然最高明的伪装，这微笑让你误以为他们一直很快乐。,2018-05-02 10:20:44
15,达曙酣且歌,力荐,这个时间点再看这部片子，尤为讽刺，十年前他们捕杀大批海豚，十年后他们要将125万吨废水排入太平洋，将地球变成“炼狱”。往后的历史中，他们又将不断掩饰、改写、否认今天正在发生的事情，循此往复…,2021-04-17 16:27:03
