序号,评论者,评分,内容,时间
1,哪吒男,力荐,我和我不想要的后半生，我和我不愿意和解的自己。你们都朝春天去，就留我在破碎里又丧又美丽。,2017-01-25 14:34:11
2,k,推荐,那些劝我们向前看的朋友，“不是所有人都可以和过去和解”,2017-01-25 23:52:52
3,荞麦,还行,……就还好啊。怎么大家集体爱上这种了？,2017-01-28 03:20:50
4,丁一,无评分,君自海边来， 不提故乡事， 独返雪故乡， 不愿见来人， 近乡情更怯， 无味已多时， 经冬复历春， 不治亦不愈,2017-02-28 08:57:33
5,Saltsalt726,力荐,有時關不上冰箱的門 腳趾撞到了桌腿 臨出門找不到手機 嚎啕大哭 你覺得小題大作 只有我自己知道為什麼,2017-02-02 20:41:35
6,布鲁斯老师,力荐,我们都有权利不与自己的过去和解。#2016TIFF,2016-09-15 07:53:27
7,根,推荐,人生的伤口，二十五岁之前怪父母，二十五岁之后怪社会，最惨就是巨大伤口摊开在那里，腐臭流脓永不愈合，然而，无人可怪,2017-02-20 10:07:48
8,陀螺凡达可,推荐,又名《回忆杀》。有遗憾和失望，二刷后感觉对角色的好感甚于电影，卡西的角色写得演得太饱满了，让我对这个角色产生了依恋感。,2016-12-14 06:09:43
9,是心,力荐,我最怕的就是这种电影，看完以后什么都讲不出，就想静静地待着，静静地沉溺在挥之不去的抑郁中。结局仿佛看到了光，又好似什么都没有。,2017-01-26 20:28:51
10,toska,力荐,我冷漠的躯壳里，是抚不平的伤口和解不开的死结。,2016-12-01 17:20:20
11,桃桃林林,推荐,生活流，如何绕过苦难，丧到骨子里的卡西，绕不过去的苦难。,2017-02-16 19:11:00
12,品客,推荐,最后乔在帮老人修锅炉时，老人说自己的父亲在95年出海突然消失。看似突兀的这场戏其实也是电影的主题：世事无常的生活不过只是一成不变的插曲，日子始终在继续，渔民依然每天出海，候鸟迁徙南飞，乔还是乔。,2017-02-02 15:40:19
13,米粒,推荐,典型的“中产阶级伤痛故事”通过穿插的剪辑打碎了压抑的情绪，喜忧参半的剧本看得出非常花心思，不是暖心的鸡汤，也没有让人沉浸在心碎中，度把握得很好，两个多小时不显漫长。而且算是卡西的独角戏了！他真是个气质独特的演员，没有所谓的“夺金时刻”，却把情绪慢慢渗透到了每一个镜头里,2016-10-03 12:20:32
14,Meng,推荐,音乐略满，阿弗莱克妥妥的影帝提名；作者应该受过女性伤害，女性角色都有点怪。,2016-09-17 11:34:05
15,饮歌,还行,一个悲伤到让人崩溃的故事，却被导演拍的波澜不惊，也许这就是这部电影的过人之处吧。主人公和侄子之间关系微妙的变化，让人深感家与亲人在我们感情中的分量之重；电影最后一幕，男主与侄子在海上垂钓，刺骨的海风没有半点温暖，每个人似乎保持着电影开始时的无奈和沮丧，也许这就是生活吧。,2016-11-28 22:15:13
