序号,评论者,评分,内容,时间
1,ToTheMoon1900,力荐,男：我们互相折磨，互相控制，这样有什么意义呢？ 女：这就是婚姻。,2014-10-02 00:49:14
2,Wilkins,力荐,I love David Fincher! P.S.: 开始前，旁边坐在一群couples中的单身小哥无聊郁闷地喝咖啡；结束后，他幸灾乐祸地跟我说，Now every couple feels no good...,2014-10-04 19:52:19
3,朱老板,力荐,一对和谐的夫妇坐在沙发上尴尬地看完了这片。。。,2016-03-19 23:26:42
4,司令,推荐,唯一令我不解的是，聪明绝顶的女主为什么不好好跟长得像马云的富二代在一块儿，而要回到那呆傻的丈夫身边呢？就因为看了会儿电视？,2014-10-10 09:54:51
5,RKO,力荐,人渣大战,2014-10-02 11:53:01
6,芦哲峰,推荐,爱人不见了，千夫所指。爱人回来了，万丈深渊；婚姻是一袭华美的袍，这是面子。爬满了虱子，这是里子。,2014-12-16 09:33:39
7,L'automne,推荐,后半段我一直期待有更惊喜的东西，可惜没有。,2014-10-04 22:15:13
8,云中,力荐,这片无敌了。故事太尼玛牛了。人物状态看得我蛋都疼了。芬奇就是我的神！,2014-10-01 19:16:50
9,文西,推荐,哈内克似的割喉真是万能药... 大卫芬奇要多恨现代媒体。美国社会结构就是少数精英控制了洗脑话语权，而大部分人则自觉或者不自觉地维护着虚幻的道德...,2014-10-03 14:15:42
10,张小强,力荐,很讽刺啊，高帅富输在大电视上，因为丈夫的深情表演被高分别率的宽屏大电视放大了，如果妻子看的是旅馆里飘着雪花的小电视的渣画质，八成是不会被忽悠的。所以这片子说得就是媒体，尤其是装备精良的媒体有多么可怕，正是为了对抗扭曲现实的媒体，才有的广电总局吧 #工业改变一切#,2014-12-13 21:53:32
11,噜,推荐,年度最佳date movie💄,2014-10-05 04:29:48
12,幸运儿与脱身术,推荐,讲了一个天蝎腹黑绿茶婊的故事！,2014-10-03 14:07:05
13,私享史,力荐,奥斯卡最佳改编剧本和最佳女主角的有力竞争者，当然这也绝对是一部芬奇风格的佳作。这是一个从头到尾都猜不中接下来会发生什么情节的故事，叙事视角转换，真相谎言交织，边看只能边感概中国再过一百年也写不出这水平，回来一查原著小说曾经连续八周位居纽约时报精装小说畅销排行榜第一名。【MCL JP】,2014-10-01 21:44:27
14,艾小柯,推荐,芬奇的导演值得五星：干净、冷峻、爽利、紧凑而又松弛有度，高潮一幕的配乐甚为精彩，视觉冲击力十足。情节编排上出人意料，有较为明显的社会讽刺，唯一不足在于对Amy的性格解释缺乏，过分聪明的同时也相当愚蠢，而这一切却都理所当然。,2014-10-04 17:01:54
15,kidpt,力荐,最近看了太多不温不火的文艺片 芬奇叔一出手直接被震得回不到现实世界 原作者执笔很棒 跳切这么多叙事一点都不乱! 女主是一朵最高等级的白莲花! 人美心狠手辣 专注高层次人格扭曲数十年! 自打中段揭露是自导自演以后 我胃部搅动和后脑发麻的感觉就没停过啊! 层层转折后的结局那真是让人倒吸一口凉气!,2014-10-04 14:38:05
