序号,评论者,评分,内容,时间
1,亵渎电影,推荐,年度十佳！最后在情字上找到了一个引人共鸣的点，人生就是一个不断追逐梦想的旅程，在某个时间点上，一个人遇到一个人，他们一起成长，相互鼓励，有美好，有痛苦，有成长，有遗憾，这就是人生。导演非常成熟老道，不仅有野心，也有足够的才华，歌舞元素几乎就是整个歌舞片的发展史，适合迷影爱好者。,2016-12-18 22:37:42
2,C.W,力荐,这部电影有多好呢？想象这样一个场景：二十年后的一个傍晚，你开着车(或者车载着你)在回家的路上，突然扬声器里开始放起这首电影里的旋律，听到第一个音符的一瞬间，所有的情绪全都涌上来，就好像二十年前的那个夜晚你第一次听到它们的时候那样。,2016-12-16 16:48:26
3,桃桃林林,力荐,最后两人一吻上，眼泪就完全止不住，最后一直是痛哭。那段蒙太奇展示的就是电影的魔力啊！生活给不了的，电影可以给你，是那么浪漫、那么神奇的情感再现，最佳的电影造梦时刻。而至于理想、爱情、迷影、歌舞片、怀旧等等其他元素和小技巧反而可以放在之后了。最感慨的仍是电影的魅力，做一场电影梦吧！,2016-12-18 20:05:12
4,Noe,力荐,看這部片會想起的那個人，一定是忘不了的,2016-12-14 23:52:32
5,奇奇弟弟,还行,不过是一个很俗套的故事。复古还真的一点都没看出来，把洛杉矶拍得像instagram旅游号，高司令从头到尾一副刚睡醒的样子，和那些经典音乐剧电影比起来缺少太多质感。现在连卖给少女的春药都是那么的廉价。,2016-12-13 05:48:21
6,L'automne,力荐,各自梦想实现之时，发现梦想似乎不那么重要了。假如可以重来，我会在第一次见面时吻你，推掉工作来看你的第一次表演，随你搬到巴黎去，巴黎也有好的爵士乐，在把孩子丢给保姆的夜晚，开车带你去吃饭，然后一起走进酒吧，听别人弹奏我曾经做梦都想弹奏的曲子。可惜，现实中没有如果，但电影和想象里有！,2016-12-27 23:26:04
7,Safina_,力荐,我们在穷困潦倒时爱得一塌糊涂，却无法在各自功成名就时手拉手出门散步。,2017-02-11 22:09:53
8,同志亦凡人中文站,力荐,今年最浪漫唯美的爱情电影，很多段落让人有重温“雨中曲”的感觉。是爱乐之城，也是星光之城，还是梦想和现实缘起缘灭的地方。事实证明有个好的结尾多么重要，它让原本平淡无奇的叙事一步登天！多一星给石头，明年奥斯卡影后坚决站定你～,2016-12-10 13:26:38
9,眠去,推荐,最动人的永远是梦想和爱情。但我们没有在一起，这就是现实。,2017-02-11 21:54:11
10,哪吒男,推荐,你可以无限接近电影，当演员，写剧本，挨着英格丽·褒曼的照片睡觉，在《卡萨布兰卡》的阳台外上班，但生活永远不会成为电影。梦醒时分你看着与你共浴亦真亦幻的泡影中人，转头，微笑，离开，这或许是人生最像电影的一刻。,2017-01-22 19:44:42
11,bamboo,推荐,我看了几遍，目的是为了找到touch人的点究竟在哪儿，然而每次看完都不为所动。姑且认为是一部漂亮的精致的平淡的电影。,2017-02-28 15:20:17
12,寇国威,还行,验证了语文老师的话：只要开头结尾精彩，中间无所谓。,2017-01-27 12:55:29
13,木卫二,推荐,裸听了挪威字幕版大银幕。如果实现彼此的梦想逾越于爱情之上，那么，打动观众的却又是作为完美梦想，不曾实现的另一个平行世界的爱情本身，这听起来有点悖论，却好像成为这部电影的撒手赌注。无论歌舞与音乐，本身就是滋生于LA和电影世界的美妙异想。,2017-01-23 04:19:21
14,frozenmoon,推荐,“这太怀旧了。”“就是因为它太怀旧了啊。”热恋中的他们这样说。是啊。这太怀旧了。,2017-02-11 22:16:43
15,白日美人_S,力荐,预告片里说得没错，已经没有人在拍这样的电影了。即使不是年代戏，手法和色彩运用也极具年代感。满足了外人对这座城的一切幻想，又为身在洛杉矶的人拍出了这座城会让你遍体鳞伤的事实。他是真的很爱洛杉矶。 在洛杉矶看La La Land真的是太奇妙的体验。很特殊的感情。,2016-11-17 13:43:35
