序号,评论者,评分,内容,时间
1,海心,力荐,事实证明，聪明的头脑永远可以赚钱。,2009-02-05 13:02:25
2,罗弘霉素,力荐,我只想说，02年小李还是尖脸呢。,2012-02-18 05:39:05
3,十二,推荐,他也只是一个伤心的孩子,2012-04-17 15:04:31
4,高歌,力荐,简直就是《华尔街之狼》的前传。PS：K两礼拜书就能从小白考到各种执照，跪服....这样的天才，为非作歹必为大盗，秉公执法必为大侠，无论怎样人生都是闪亮亮的，再次跪服......PS：结尾说的是--人生难得好基友，何必天涯胜旅。,2014-07-16 00:17:05
5,你看起来很美味,推荐,他离家出走，说谎，制造不同的身份开始光鲜亮丽的生活。他是智商超群的罪犯，但是他只是个孤独的孩子。在平安夜的时候打电话给抓他的警探，在平安夜被捕的时候拥抱着他说圣诞快乐，在听到父亲的死讯以后失声痛哭，看到妈妈的新家庭以后对来抓他的警察说你们带我走吧。他终究只是个孩子。,2012-05-15 20:11:53
6,[己注销],推荐,（8/10）卡尔警官是虚构人物，但伪造犯弗兰克却真人真事，因其出色的鉴伪技术为FBI戴罪立功。必须一提的是现实中弗兰克的父母婚姻问题主要责任在父亲一方，但影片却把责任推给母亲。他的确有律师执照，但花了八周而不是两周。维基百科说弗兰克本尊在片中演一法国警察，但我没认出来。,2014-06-24 23:56:46
7,战国客,推荐,很难想象是根据真人真事改编的，很牛，不过在中国估计出不了这种人吧...除非，中国也有个FBI？很好莱坞的片子~~,2008-05-12 08:55:29
8,彌張,力荐,这结局还真是没想到！绝不浪费一个人才！疏忽+牛B this is all,2010-07-10 23:09:34
9,桃桃林林,还行,艾米·亚当斯演了一个牙套妹,2012-02-04 12:38:13
10,danyboy,力荐,为什么我看的很难过呢。。,2012-10-06 23:59:27
11,sharon,推荐,穿机长制服的小李子帅爆了，很能理解那些被小李子骗的富家小姐们,2017-03-22 21:51:03
12,同志亦凡人中文站,力荐,诚实的人最自信，所以——我会尽量让自己不那么害怕。精彩绝伦的猫鼠游戏，现实比电影还牛叉闪闪，斯皮尔伯格真是拍传记片的天才！,2013-01-01 19:36:46
13,托尼·王大拿,推荐,片头的复古范儿真棒，整体上的手法和配乐的选择也都很有五六十年代好莱坞电影——尤其是希区柯克——的感觉，局部特写的大量运用对氛围的渲染起到了非常大的作用；至于片子本身，还是那句话：论讲故事，斯皮尔伯格永远是最好的之一。,2011-04-21 23:09:58
14,樹一,推荐,被家庭抛弃的儿子成了空中大盗，被家庭抛弃的父亲逮到了空中大盗，于是两人成了并肩作战的好基友，共度余生所有的平安夜。故事线埋得很深，不愧是编剧课上的经典教材。,2016-11-14 21:46:06
15,竹叶卷心,力荐,非常好看，里面有很多有意思的经典桥段，看到小李子装同行骗过汤姆非常刺激，李子的美貌在这部电影中还是表现的挺淋漓尽致的，尤其是穿机长服时，简直帅爆,2016-09-23 10:20:55
