序号,评论者,评分,内容,时间
1,卡比巴拉的海,还行,你是我最好的朋友，你是我唯一的朋友,2017-04-07 14:53:37
2,阿北,推荐,伤心电影，好电影。结尾告诉我们，网友见面要早。,2009-12-02 23:02:50
3,原来是西门大嫂,还行,黑暗版心灵鸡汤⋯⋯三年前我应该会给五星 可惜我已经长大而且已然老去 我明白人生虽然没有过份的美好可也并非缠绵着时刻的孤独 悉心制作的黏土动画所讲述的那些顿悟和可爱的小道理是无法煽动起人生波澜的啊,2010-01-03 02:08:49
4,二甲,力荐,个人认为影片比《飞屋环游记》要出色,2009-10-27 20:30:08
5,Doublebitch,力荐,年轻时我想变成任何人除了自己。,2009-11-02 19:14:18
6,mayfly,力荐,"PS,娘的，我看哭了。PPS,推荐给所有的人看。PPPS,可以打十星吗？",2009-11-16 18:54:13
7,sasasasa,力荐,我们为什么需要3D？,2009-10-27 19:18:06
8,披着人皮的鬼,推荐,拍电影是不是和做爱一样 只有技术做不出感情,2009-11-12 23:33:46
9,陌生人,力荐,"God gave us our relatives, thank god we can choose our friends.",2009-10-01 03:17:26
10,匡轶歌,推荐,当我年轻的时候，我想变成任何一个人，除了我自己。伯纳德医生说：我必须要接受我自己，我的缺点和全部。我们无法选择我们的缺点，它们也是我们的一部分，我们必须适应它们。然而，我们能选择我们的朋友，我很高兴选择了你。,2009-12-11 15:27:38
11,指梦为马,力荐,谁脱了衣服没几道伤疤,2009-10-27 00:10:15
12,匿名的宝贝♥,力荐,不是只有完美的人，才配爱自己。要知道，完美不存在于这个世界。,2009-10-26 22:38:14
13,大丽花,无评分,本来是要飙泪的，但打了个喷嚏之后我忍住了。,2009-11-02 22:54:05
14,蚂蚁没问题,力荐,每个人都不完美，每个人的人生也总是不完美的，这不是一部迪斯尼电影，所以不会有Happily ever after。一部动画深刻到这步田地，我挺佩服的，挺喜欢的，其实自己也会有那么一时三刻很像Mary也像Max，自卑焦虑又孤独又低落，倒霉的事儿有时也发生，所以有点懂有点感动.,2009-10-28 23:06:17
15,曾于里,推荐,重温。马克思在原谅玛丽的同时，也原谅了自己。每个人都不完美，Love yourself first,2013-04-04 11:48:42
