序号,评论者,评分,内容,时间
1,影志,力荐,《超人总动员》一家人的团结与各显神通、《冰河世纪》的原野放逐与聒噪搞笑、《勇敢传说》的脉脉亲情、《阿凡达》的奇观异景、《驯龙高手》的各色萌兽……前后呼应、没有一个多余的情节，过山车式爽快节奏，一路笑着哭。2014第86届奥斯卡最佳动画长片预定提名,2013-04-20 16:26:28
2,张小北,力荐,梦工厂的动画片做成这样真没什么可哔哔的了。5星走人。,2013-04-20 21:54:39
3,城南草木生,推荐,「疯狂原始人」说的是一个地震高发以及pm2.5老是超标的地方只有中科院的男朋友才能拯救你全家的故事。=3=,2013-05-07 10:52:19
4,桃桃林林,推荐,很不错的合家欢动画。故事很简单，工具，使用火等道理让孩子也能很快理解，然后又植入亲情和勇气，结尾还略感动。整个故事又有很多惊险与搞笑的场面。第一段找早餐的段落真棒，即很精彩，又介绍了主要人物，性格特点及生活环境都出来了。这是编剧很常用的手法，却也很好用。,2013-04-22 14:44:44
5,lola,力荐,没错，就是一部人看人爱，无可挑剔的片子！,2013-02-15 23:00:17
6,欢乐分裂,推荐,家庭、爱情、冒险、飞翔、萌物、励志，梦工厂的各种元素几乎齐活了，欢乐如过山车；永远的父女情深，永远的误会冰释，永远的末日脱险，别说幼稚别说俗套，如果影院天天上映这等水准的片子，我也愿意天天去看！,2013-04-20 22:06:57
7,等一个人,推荐,看的时候莫名的期待结局是一场空...,2013-04-20 20:46:08
8,齊一旸,推荐,"全程萌翻 小树懒 ""Da da daaaaaaaaa"" 激萌！",2013-03-22 00:16:29
9,jj73浅之,推荐,全程都在大笑无尿点，已经预定下届奥斯卡最佳动画一个提名了,2013-02-16 06:49:39
10,古伦木,还行,现在好莱坞动画片太模式化了 永远都是在追求梦想或者冒险的路上有一个羁绊你的家庭/朋友，然后遇到一个靠谱异性青年/灵魂导师，经过艰难险阻重重误会发现家太阳最红毛主席最亲家人朋友才是第一位，最后无论遇到多么大的危险也不会有人死呢。所以如今只有喜羊羊才能不落窠臼了么(屁)。,2013-04-20 14:25:27
11,伍德与夏洛蒂,力荐,绝对今年最好的动画片！我凯奇叔和石头姐配音赞爆了！泪点低如我最受不了梦工厂煽亲情！后1/3都在为凯奇叔流泪~老掉牙的外来乱入和一家冒险！但架不住拍的好啊！梦工厂拍成这样再老掉牙的设定我也乐意看！人见人爱无可挑剔五星五星！续集快到碗里来！裤腰带和坦克莫名的萌啊！结尾的飞翔太诺亚方舟了！,2013-04-20 22:15:49
12,a little mark,力荐,对这种有笑点有泪点，角色可爱故事好看的动画片最没抵抗力了！！！那些毛茸茸的动物好萌，尤其是那只大喵星人！！呆萌呆萌的，看的时候我就忍不住想伸手去捏它大大的肉脸，一根根毛毛看上去那么逼真！！太太太爱那只了！dreamworks这几年创造了太多萌物，第一萌工厂当之无愧。,2013-03-29 07:34:41
13,丁小云,推荐,看此片完全是因为被其9.2分的豆瓣评分吓到了，看完倒是觉得挺乐呵，只是对这电影的主题感觉稍有点腻味，跟《飞屋》、《里约》、《勇敢传说》等片就像一个模子刻出来的似的。片中老爸总想弄死他岳母的情节设置应该源于某些人类学田野调查结果吧，这个还挺逗的……,2013-04-25 18:21:15
14,一个人的修行,推荐,搞笑温情。。像理想中的家庭。。爸爸因为看到多知道的多而保守。。女儿对世界充满好奇。。,2018-01-16 13:39:25
15,小斑,力荐,同样是「冲破阵规」的主题，这个比brave无论在选题还是故事上都有趣多了。远古生态环境的设定也很有趣。croods一家的戏份摆得很好，都个性鲜明又不会抢了主角的光彩。清新热闹流畅加一点小狗血。当皮克斯变成迪尼斯的时候，梦工厂变成了皮克斯。果然是「爱你就会变成你」，相杀相爱神马的。,2013-04-14 23:41:13
