序号,评论者,评分,内容,时间
1,xjxiidjsns,力荐,中国最nb的片,2008-06-24 18:53:27
2,易老邪,推荐,重温。别说，这片还真能经得住考验，也不是简单一句模仿盖里奇或多线叙事就能概括的。特别里面几组的人物都不仅仅是作为结构故事制造笑点等功能性的存在，而是几乎每位出场人物塑造的有头有尾性格鲜明紧扣主线笑果突出，还贴近生活反映现实，这就很难得了，在这方面石头其实做的比烟枪还要好点。,2007-11-02 06:33:57
3,同志亦凡人中文站,推荐,先发散再收敛的网状叙事，难怪老外会看不懂。重庆话版太接地气了，简直笑死爹～～～～～～～～,2015-03-12 21:41:00
4,老鸡｜扶立,推荐,聪明的宁浩，能走多远？,2008-01-10 16:35:04
5,Kylin,推荐,不是那种冲着观众卖力吼着 笑啊 你笑啊 的电影 是实实在在的搞笑,2017-01-06 12:52:47
6,桃桃林林,推荐,真大很有趣,2006-07-11 14:41:00
7,理想多钱一斤啊,力荐,最可贵的一点是没把观众当傻子。国内电影都指着这样儿拍就行，嗯,2010-12-18 21:40:35
8,sharon,推荐,宁浩式经典喜剧之一，幽默的不肤浅,2017-03-30 21:34:19
9,西楼尘,推荐,群像诙谐而精彩，诸多黑色幽默名导致敬的意味，川普有范，宁浩展现出欣喜的才华，尽管现在的眼光看剪辑摄影布景都略显粗糙，但是质朴的幽默是后来作品都没有的。宁浩走上商业道路开始自掘坟墓，拍了心花路放飘飘然。而石头带给华语电影的惊喜和捧腹是不能磨灭的。一连串的巧合，时空错位的拍法有新意。,2015-06-08 23:15:22
10,Белка,推荐,这才是成功的中国影片,2007-08-21 22:10:29
11,托尼·王大拿,推荐,这部片子出色的原因不是这个剧本有多牛逼，《两杆大烟枪》的整体思路在前，宁浩所做的只是好好地拷贝；但他把盖·里奇那阴冷的伦敦范儿完美地转化成了火辣的重庆味儿，这才是关键。,2022-01-18 16:14:41
12,文泽尔,力荐,学大烟枪学Snatch学得很足嘛..套了国风的外壳，很多内容（比如杀手的山寨货等等）也符合国情，就是画面欠点火候.黄渤为本片中最亮眼的配角.,2007-09-19 22:33:48
13,Doublebitch,力荐,从这部开始爱上黄渤,2008-11-24 22:20:22
14,高鹏,力荐,国内好电影,2006-07-09 01:18:10
15,小耳朵图吗,还行,像是中国版的两杆大烟枪。,2006-08-03 02:24:29
