序号,评论者,评分,内容,时间
1,仙剑风晨,推荐,在片中《LIFE》杂志闭刊号封面出现的那一刻，我完全被击穿了。,2014-01-19 00:35:48
2,桃桃林林,还行,还是前部分更有趣，大玩脑内小剧场，估计很多爱做白日梦的人都有这种体验吧。不过这个主题最终转向了必须走出去，just do it这种。世界风景无限好，宅男啥也干不了。太鸡汤，也太浅了,2014-03-26 06:16:16
3,铎奇,较差,"boring shit. couldn't stand it and had to skip to the last minute after 10 minutes, and guess what, the ""last minute"" was boring as hell, too.",2016-02-15 06:49:57
4,赫恩曼尼,力荐,"加缪说：“人生的意义，在于承担人生无意义的勇气。如果你一直在找人生的意义，你永远不会生活。”自勉。To see the world, things dangerous to come to. To see behind walls, to draw closer. To find each other and to feel. That is the purpose of life.",2017-01-11 21:58:16
5,福娃迎迎,推荐,如果你见过格陵兰，喜马拉雅和冰岛的火山，就再不会被生活打败。,2014-06-28 19:16:51
6,陈哈,力荐,美好从来不主动寻求关注。,2014-04-25 15:33:33
7,荔枝超人,推荐,不是心灵鸡汤，是我等老男人非常受用的心灵老鸭汤。,2014-01-14 21:09:32
8,我是大皮哥,推荐,喜剧片中将大自然风景拍得最美的、风景片中拍得最富喜剧感的、会拍风景的喜剧片中配乐最燃最激昂的、风景好配乐佳的喜剧片中预告片剪得最热血沸腾的。自导自演的本·斯蒂勒交出了一份令人满意的答卷，用标志性的冷面滑稽演绎了一部献给所有有过白日梦的观众的心灵鸡汤。Stop Dreaming & Start Living,2014-01-25 22:12:13
9,影志,推荐,“认识世界，克服困难。洞悉所有，贴近生活。寻找真爱，感受彼此。这就是生活的意义”、“美好的东西从来不会寻求关注”上一部本·斯蒂勒自导自演还是08年《热带惊雷》，没想这部竟来了个如此大的转变与惊喜，走走停停，简单生活。“如果我很喜欢某个瞬间，只想享受在那一刻。Stay in it. Right here”,2014-11-02 18:17:04
10,打雷要下雨雷欧,力荐,其实早就想到25号底片大概是什么了。预告片准确给到了全片精华，正片反而是收着来的，西恩·潘的点睛之笔看到热泪盈眶，可以说Ben作为导演不够商业甚至专业，但本片对生活本质的触碰却异常深刻，况且风景和原声也值回票价了……stop dreaming，start living，喊口号的有很多，能真正做到的又有多少呢,2014-01-06 23:28:08
11,A-sun*,力荐,好好看！电影从表面上来看，是对纸媒文化的衰败默哀，实则却是悼念着正在消失的记者精神。为了拍火山爆发而把双脚绑在飞机翼，为了拍雪豹而在雪山装成一块岩石…这些都是不复再的记者精神。年度五星推荐😭😭😭,2014-04-11 23:42:56
12,张小北,推荐,每个人都想突破自己的平淡生活，成就不凡冒险。不是每个人都有机会完成生命中的精彩，但有一种电影能让我们有那么片刻的怅然所失。,2014-02-02 15:21:48
13,自由极光,力荐,在香港看的，跟一个很喜欢的人，现在想起这个片子就很幸福。,2014-05-01 09:02:36
14,亵渎电影,还行,本来是年度最期待，因为之前谈过一个类似的剧本，一个摄影师因为一个遗愿走遍世界各地，亲情一丝一缕的被维系，眼里是一片大陆的变迁。这片子的创意差不多，只是执行力太差，情节都是好莱坞这类电影中被用烂的陈词滥调，幸好还有剧本的那点想象力，主流的美式价值观注定也只能是心灵鸡汤了。★★★,2013-12-26 13:37:59
15,憨大仁,力荐,是时候让梦想照进现实了,2014-01-07 23:44:33
