序号,评论者,评分,内容,时间
1,shu,力荐,最后他成为了穿条纹睡衣的男孩。,2009-09-09 12:53:07
2,tifanie,推荐,"""突然镜头换到那扇黑色大门前，慢慢拉远。 如果你哭了。是为BRUNO对吗？ 那么，shmul呢？""",2012-10-14 02:46:01
3,❤sissy❤,很差,鬼扯,2009-04-24 14:52:40
4,junepig,推荐,这大概是对纳粹反犹最狠毒的嘲讽了吧，通过欺骗，杀害的不仅是“敌人”，还有自己的孩子。,2009-03-03 20:50:58
5,Kaito,还行,一个纳粹家庭的集中营生活,2009-05-02 12:52:05
6,Doublebitch,力荐,无论你之前是什么样的人，在穿上这件条纹睡衣之后，都会变成一样的人。这部电影主题深得我心啊，故事讲得也不错，镜头运用，结局处理都很出色，特别是结尾处那个长达数秒的长镜头发人深省。,2010-03-11 11:16:33
7,朝暮雪,力荐,小孩总是交友，大人总是树敌。,2013-01-01 11:28:06
8,Sophie Z,力荐,我一直以为会有传统电影中“最后一分钟营救”的那种结局，我一直理所当然地认为主角不死的光环会在这个男孩的身上，以至于看到最后一幕后我很久都没法接受。说到底这是一部纳粹电影。,2012-04-14 01:14:58
9,陆企鹅,力荐,最难过的不是布鲁诺穿条纹睡衣了，而是每一个穿条纹睡衣的人本都是布鲁诺。,2020-07-20 13:26:23
10,眼角的花朵,力荐,看得我浑身发冷~,2009-02-08 09:40:23
11,Ruby超人小姐,推荐,你还当这是一场游戏么？,2009-03-29 06:53:43
12,kissdemon,推荐,大半夜很容易走进情绪，最后的结局压抑得我说不出话。最可怕的教育是价值观的强行灌输，而最可怕的价值观是被一件条纹睡衣分割，看着姐姐满墙的贴画真是触目惊心的疼。,2010-12-10 00:26:29
13,Connie,推荐,母亲和奶奶的反应跟一味想要走进成人世界的Gretel姑娘形成强烈对比，不过Gretel在接受洗脑的过程中还是抽空想念起她的小伙伴和远方的家....她屋里的招贴画才是最触目惊心的吧，我比较关心这个女孩的将来,2010-01-18 11:34:18
14,ZZS,还行,“妈妈”挺像苏菲玛索的 shmuel长得狠可爱,2009-03-07 21:10:33
15,lenlen,推荐,fuck 这么狗血的结局 看得心里好难受,2011-02-03 14:15:14
