序号,评论者,评分,内容,时间
1,战国客,力荐,香港浪漫主义警匪动作片的巅峰之作！那段发哥和红姑的轮椅舞堪称香港电影史上的经典镜头~~,2007-06-24 10:28:16
2,木卫二,还行,有些电影，就该在那个时代看……,2006-08-13 18:51:51
3,伊卡洛斯,推荐,你们都知道我的性格，我喜欢西逛逛，东逛逛，我喜欢流浪，其实爱一个人并不是要跟她一辈子的，我喜欢花， 难道我摘下来你让我闻闻，我喜欢风，难道你让风停下来，我喜欢云，难道你就让云罩着我，我喜欢海，难道我去跳海？,2011-03-23 23:04:09
4,石头星,力荐,看过多遍，完全被三个人特有的自身魅力迷住，张国荣用红酒越红外线、三个人的舞蹈，至今都是经典。还有，发哥说，伊拉克不打仗。那是91年。,2017-03-26 21:20:20
5,高歌,力荐,优雅——除了这两个字，我不知道怎样表达对他们的爱慕之情啦。,2009-12-20 21:50:01
6,九尾黑猫,力荐,经典就是经典，看无数遍也是经典,2008-03-10 14:39:06
7,鸿音,力荐,因为去过巴黎，就更能感到张国荣站在塞纳河上吹风然后潇洒远去的风流，那种气质真是让人倾倒。发哥很多表演细节很风骚，太搞笑了。红姑还是那么美，绝代风华。,2016-11-09 09:04:11
8,眠去,推荐,香港影史最赞三人行,2007-02-25 10:00:02
9,闲人,还行,套在枪战片外壳下的偷盗片，如果不是演员不会如此成功，反类型了，试问盗贼都能杀将出去，要偷技何用。,2010-05-13 11:59:58
10,无条件积极关注,还行,这个本子，放到现代换三个流量演员演，妥妥的大烂片,2020-12-03 23:48:26
11,Connie,力荐,我常不自量力地寧願gorgor一直活在那兩年,2006-01-18 18:30:55
12,Lan~die,推荐,有新武侠的潇洒。 “其实爱一个人并不是要跟她一辈子的。我喜欢花，难道你摘下来让我闻；我喜欢风，难道你让风停下来；我喜欢云，难道你就让云罩着我；我喜欢海，难道我就去跳海？”,2009-03-08 20:05:15
13,波波维奇,推荐,红姑息影了，发哥老了，张国荣走了，香港电影的辉煌远去了。这些陪伴着我们长大的电影也要被遗忘了。 真是“春梦了无痕”。,2018-03-07 18:02:54
14,Panda的影音,较差,我咋觉得这部豆瓣高分电影挺不靠谱呢？相较于《盗走达·芬奇》《偷天陷阱》里那种机关重重的设计，本片里的名画防盗措施怎么这么垃圾？然后，那些小喽啰在主人公面前都成了笨蛋，那么多人开枪都打不中，而主人公随便开两枪就能射中他们，那些人是专门送死的吧？另外，个人也不太喜欢片中发叔嚼口香糖的样子。……附注：《纵横四海》枪战的虚假反衬出同一天观看的《枪火》的枪战更加真实可信、精彩耐看。,2012-09-20 02:20:43
15,曼仔,力荐,当真是意气风发。我原本以为我不会喜欢周润发的，但是现在真是觉得，他的滑稽潇洒确实有魅力。张国荣自是眼角眉梢皆是温柔不羁。一曲风继续吹，真是有深情风流意。那时是港片的黄金时代啊，盛世青春。,2013-08-22 06:11:20
