序号,评论者,评分,内容,时间
1,Dr.Moth,力荐,伙计们~还有什么比这个更棒的?,2008-07-05 07:55:43
2,小海,力荐,这是在1991年啊，重复，这是在1991年啊！,2016-03-16 22:49:56
3,Nakedself,力荐,金属狂躁！！！T1000的空前绝后在于一个机器人居然真的具有妖气。,2006-05-17 16:02:10
4,朝暮雪,力荐,影史少见的第一部就足够经典，续集还能超越第一部的电影。 《终结者1》中，约翰·康纳将里斯传送到过去； 里斯又和莎拉·康纳生下约翰·康纳，形成一个闭环。 《终结者2》也是如此，正是天网将T-800传送到过去，才让人类得到终结者的芯片，从而得到灵感发明了天网，互为因果。 所以他们要找到迈尔斯·戴森，打破这个循环。 迈尔斯·戴森在平行宇宙是发明天网、间接毁灭世界的罪魁祸首，在这个宇宙却成了以生命为代价保护人类的英雄。 约翰·康纳对母亲的态度的转变也让人感触颇深。 他一直以为母亲是疯子，是失败者。 直到有一天，他发现母亲说的一切都是真的。 天网将T-800的中央处理器设为只读，防止他产生思想。 这样一个没有感情的杀手，竟然愿意通过终结自己，换来世界和平。 谁说机器不能有人性？ 烈焰中竖起大拇指的镜头堪称影史最震撼瞬间之一。,2012-08-18 02:03:39
5,天蝎小猪,力荐,终结者三部曲中最经典的一部,2007-09-13 17:03:10
6,战国客,推荐,少见的超越首部的续集，动作片中的经典~~,2008-06-24 22:27:48
7,蜉蝣,推荐,液态机器人的创造者叫戴森，所以脑袋就经常被轰成中空的圆形。（胡扯==,2019-02-03 16:17:03
8,xjxiidjsns,力荐,I'll be back,2008-10-20 10:23:09
9,冰红深蓝,力荐,"詹姆斯卡梅隆的巅峰之作,永远的科幻经典。1.传统模型和化妆特效为主，电脑CG为辅；2.创意十足的最强反派：T-1000；3.施瓦辛格最好的表演；4.兼具动作片的爽快、科幻片的气魄与哲思、喜剧片的爆笑和文艺片的温情；5.机器人学习情感,以机器反思人性,揭示人的自毁倾向；6.""点赞""一幕至为感人。（9.5/10）",2015-06-09 17:36:42
10,贾斯汀,推荐,液体机器人好帅,2007-08-23 16:30:42
11,酸辣小星星,推荐,最大的光芒，就是这个肌肉发达不苟言笑的机器人学着人类勉强的挤出一丝微笑，还有最后沉入沸腾钢水炉里伸出的那只翘着大拇指的手。有思想的机器人，可以让人感动到泪流满面，但仍能学到人类的贪婪狡诈，这是个矛盾。所以在温情下，我隐隐的看到有思想有感情的机器人所带来的未来的恐惧。,2010-09-26 11:26:54
12,托尼·王大拿,力荐,宿命的终结，伟大不仅在于超越时代的特效。,2010-10-10 17:15:45
13,草威,推荐,比3强太多了,2008-04-30 14:01:01
14,Mr. Infamous,推荐,作为续集，能比圆满的前作更进一大步，很不寻常。故意踩着反差点设置的桥段，放大了被宿命阴影笼罩的命途。煞费苦心的动作编排，放到当下也难超越。能够想象当年的观众面对卡梅隆的特效创举，有多少惊叹。最细腻的地方，是让一个身为后辈的机器人，不仅学到了人的价值，而且有了父亲的影子。四星半。,2019-10-20 23:41:57
15,AMY,推荐,我看的还是录像带呢，并且很生气，为毛好人就必须都是落后武器，你看坏人打坏了人家自己就修复了根本没胜算嘛！小孩聪明起来也挺吓人！,2013-09-08 22:27:05
