序号,评论者,评分,内容,时间
1,硬搞,很差,不爱看老片的根本原因就是大多演员的表演都异常浮夸，此片尤甚。破老头都亲眼目睹了还得劲地苦思冥想？不想惹事上身干嘛还引这个话题？莫名其妙！！甚至居然连鬼魂都出来了？有完没完！！,2014-01-17 18:17:13
2,瞳,力荐,想起史铁生的一句话：“历史在发生时未被发现，在发现时已被重组”，没有绝对的真实能在叙述中被还原。很赞同看过的一个说法“谎言的对立面是宽容”，听者的理解力与接受度影响着叙述者对真相还原的保留度，你若能对他的懦弱退让和罪恶表示宽容，兴许由着这份信任就能更贴近真相了。,2010-11-10 23:09:35
3,影志,还行,“我对人类又充满了信心” 这个信心恢复的有点快…,2019-04-14 18:17:20
4,rhyme,力荐,看于复旦三教的一个夜晚。走出教室，但走不出黑泽明。,2008-01-07 17:54:11
5,自在渍,推荐,如果不是那一阵风,2010-06-13 10:45:58
6,A。,力荐,第一部黑泽明。这就是为什么，从终极意义上讲，人们或许无法相互理解与沟通的原因。意图到语言是一层折损，说出到听见又是一层折损，人的背景、能力、心理都影响其讲话与倾听的重点。没有看到恶，看到的是人的胆怯、虚荣及局限。审判者藏于镜头后，象征着全知者/真相的缺席。认知上的敞开带来结尾光明,2013-08-10 22:15:57
7,Over5,推荐,谎言是人性的救命稻草,2007-03-20 10:47:13
8,握不住的灵魂,推荐,「人对于自己的事不会实话实说，谈他自己的事的时候，不可能不加虚饰。这个剧本描写的就是不加虚饰就活不下去的人的本性。甚至可以这样说：人就算死了也不会放弃虚饰，可见人的罪孽如何之深。这是一幅描绘人与生俱来的罪孽和人难以更改的本性、展示人的利己心的奇妙画卷。诸位说仍然不懂这个剧本，因为,2012-08-02 20:02:59
9,饥饿艺术家,推荐,在某处电锯装修声音中看了最恐怖的那段。很惊神。受不了日本女人没眉毛。。。,2009-06-24 14:15:28
10,琴酒,力荐,“我听说罗生门里的鬼因为害怕这里人的残忍而逃走。”比起四段论的谎言，乞丐对恶一脸了然于胸与凛然直视的狰狞表情让我浑身发冷，最后那场雨中的逼问竟然把我逼哭了。贫穷逼得善良变成了罪孽，谎言逼得人一步步审问自己无地自容，对错的底线都不再有资格坚守。黑泽续了个光明的尾巴，实在是不得不续。,2011-11-12 07:37:11
11,暖鱼,力荐,倒没见着大的恶，只见到了人的软弱以及在他人面前掩饰这软弱。。或许软弱就是恶？片头还以为是中国片呢，林中那段光影很不错。里面的笑声有些做作。。。,2009-02-23 00:23:32
12,Q。,推荐,“住在罗生门这儿的鬼因为害怕人类的凶残而逃走了。”此类电影的开山鼻祖，但相对而言弱于原著不少，但毫无疑问，在50年代能拍出这样的一部电影，带来的震撼可想而知。人性中赤裸裸的谎言、软弱、猜忌和不信任，影片作为一面明镜，直入人心。★★★☆,2011-09-09 15:27:52
13,大头绿豆,还行,在那个时代它肯定是一部开创性的好电影，但显然无法取悦现在的观众。所有关于人性的讨论都是以对白给出，并且竟然出自乞丐和樵夫。以三船敏郎为首的几个演员，演技跟《七武士》时期几乎一样表面、浮夸，以及慢半拍。人性部分，相信芥川龙之介的原著剖析得会更深刻。,2013-07-04 20:19:40
14,袁牧,力荐,摄影机第一次进入了森林的内在，三船敏郎奉献了自己不断变化，放浪形骸、富有层次感的高超演技。,2010-01-27 17:37:00
15,左胸上的吸盘,还行,凑合，跟芥川龙之介的原著没法比,2006-04-04 17:21:09
