序号,评论者,评分,内容,时间
1,阿德,力荐,人啊，政冶上觉得不行了，在生活上总得找点精神安慰,2011-02-05 23:01:57
2,丁一,推荐,电影基本照搬照拍刘醒龙小说《秋风醉了》，并沿用小说的白描手法——中国世情小说之白描手法，俱是一等一上乘化骨绵掌手段～ 电影的画龙点睛之处是——导演黄建新把故事里的“单位”安排在了一座如千年衙门的中国古建筑里上演～ 黄建新后来去拍了《建国大业》什么的也不算招安错位，只不过是现实中的王副馆长终于扶正升官了，希望黄馆长早日当上广电总局局长兼党组书记~,2010-08-25 12:26:52
3,林三郎,力荐,黄建新早期作品，1994年公映，相当精彩。想想真奇妙，第五代导演不约而同地在1994年前后达到巅峰，张艺谋拍出《活着》，陈凯歌拍出《霸王别姬》，田壮壮拍出《蓝风筝》，黄建新拍出《背靠背脸对脸》。事实上，那也是中国电影一闪而逝的巅峰。,2016-02-13 18:52:37
4,朝暮雪,力荐,王馆长对局长说李会计应该把房子腾出来，又对李会计说这是马馆长的主意，还叫石经理把送礼的钱拿一部分出来给李会计装修新房，既没出自己的钱，还让李会计不敢举报他贿赂。 阎馆长叫李会计从王馆长工资里扣140，又对王馆长说李会计是假传圣旨。 王馆长叫医生伪造确诊证明，让他可以合法生二胎；王馆长的父亲故意弄破阎馆长的皮鞋，还声称要卖血还债，一招苦肉计扭转改变风向； 王馆长的妻子说跟着他一点光都沾不上，从而激将公公把私房钱拿出来； 李会计和猴子同样受到王馆长恩惠，李会计却见风使舵，很快就为阎馆长卖命； 而猴子假装帮阎馆长进口影碟，转身就把他举报了。 当然，最厉害的还是局长和副局长，把下面的人玩得团团转。 个个八面玲珑，圆滑处世，心有城府，堪称华语片最佳群戏。,2018-11-05 10:33:57
5,云中,力荐,这个人去拍什么建国大业了……,2011-03-12 13:22:06
6,同志亦凡人中文站,推荐,与人斗其乐无穷，中国几千年来的政治智慧都用在这个“斗”上了。细思极恐的90年代社会写生。,2015-09-12 08:24:33
7,欢乐分裂,力荐,2019-8-4重看；20年前的事业单位百态至今未改丝毫啊！各种勾心斗角、玲珑剔透的人情世故，各种绵延不绝官场丑态尽在小小文化馆中释放。鞠躬尽瘁用尽心思费尽心机，不过为一个正科级头破血流，抵不过背景雄厚的空降兵或上层路线（唯有触碰到道德问题等原则问题才有被扳倒可能），阶层固化使得底层向上流动几乎成为不可能---这点可能是本片最振聋发聩之处；醍醐灌顶之后的老庄哲学留下开放结尾，厚黑学永无尽头。配角们大有深意，人人都有一把小算盘，唯有浸淫于官场语境方能参破其中奥妙。剧本大赞，演员极好（牛振华演技绝了），剪辑棒，好看极了！,2014-07-15 21:11:46
8,私享史,力荐,有道是，文化人进文化馆，文化馆上文化局，文化局上文化厅，文化厅上文化部，文化部上文化国，文化国育文化人。作者围绕小小文化馆的人情世故权力斗争展开叙事，隐喻的却是几千年亘古不变的大道理，学而优则仕，仕不达则生儿子，这就是死循环的中国。扭曲的众生，颓败的古建，清冷的色调，阴郁的配乐。,2014-12-09 17:34:09
9,桃桃林林,力荐,"中国官场只是中国社会的一个缩影或是模型而已,中国人的处事哲学,这片基本把这事说透了,好多妙笔",2012-10-31 20:13:34
10,巴喆,力荐,教学片，绝对可以当教材！中国两千年官场之道的高度浓缩，官场、体制、人情社会、世态，每处透着算计利弊的精明，机关算尽，最后融儒于道，只好知足常乐。回味无穷啊！建国大业之前黄导，差别这么就怎么大呢？8.5,2013-01-28 21:42:10
11,胤祥,力荐,这片儿放到今天果断审不过吧……话说哪个宫斗戏能写到这个程度啊？确实精彩。稍稍有些像电视剧，稍稍有些长，有些细节处理得稍稍有些直白（比如文化馆这个空间），不过讽刺得真是入木三分。另外老爷子对孙女下手这种事，孩子妈竟然不撕逼不离婚，这得多能忍？所以小阎欺负到头上这事儿也忍了……呵呵,2016-06-09 02:18:14
12,conge,力荐,王双利的这点儿手段，都不够给徐副局长提鞋的．,2014-04-04 09:43:33
13,+Rae,力荐,精彩绝伦，十颗星。感慨啊，20年前大陆片还有如此佳作，鞭辟入里，讽刺辛辣，中国的官场百态、人情世故、封建价值观一一绝妙呈现，台词亮点非常多。建议所有考公务员和事业单位的人提前认真观看学习。,2015-02-10 01:11:30
14,格鹿,力荐,个人并不觉得王双立最后是真的想透了，只是官场失意的自我安慰罢了。在猴子提供重要情报后的说辞，本就是王双立擅长的说好话、“为别人着想”，末了不忘补一句，听不听劝在你，只是别扯上我，意思已是明明白白，猴子已不是他能决定去留，不能输送利益就无法得以掌控。王双立的不与人争，一是看不到斗走阎的希望，二是明白了阎走了还会有“上层路线”的新人来，自己在领导眼里已打上不被重用的标签，继续斗争只是在折腾和消耗自己，只好在“生活上找找安慰”。官场上估计多是有劲儿且有希望的人才上蹿下跳的吧，感觉结尾的时候王双立的眼神像是又看到了希望，嘬一口烟赶紧琢磨利害关系。若真是看透放下，闲庭信步也能体现心境，这几步快走和嘬这几口烟的镜头都大可不必了。,2021-04-17 03:06:31
15,Clyde,力荐,真没有想到1994年大陆有这么一部佳作，拍出了中国基层微妙的权力斗争和复杂的人际关系，细节生动，入木三分。牛振华演得极好，群戏也相得益彰。个人觉得这不是一部单纯的批判性的作品，更多的是表现了中国式的人情风俗和精神世界。,2014-09-17 14:42:02
