序号,评论者,评分,内容,时间
1,伊宜以忆,力荐,孪生蝙蝠侠大战克隆金刚狼,2009-08-07 00:23:23
2,卷阿黁,力荐,他选择了和他妻子一样的死法。100次。,2009-01-05 21:36:15
3,城南草木生,力荐,诺兰是一个伟大的魔术师，谜底都在变小鸟那个魔术里了。。,2010-03-13 14:48:52
4,xaver222,力荐,第二遍才发现其实那个小男孩说小鸟的时候已经道出了玄机 撒~撒~,2010-08-16 01:18:00
5,扭腰客,力荐,金刚狼到头来还是被蝙蝠侠给算计了~！,2009-02-02 09:36:02
6,大头绿豆,力荐,一种叫做牛逼的感脚淋漓尽致。,2010-03-08 03:53:25
7,亵渎电影,力荐,重点是你从一开始就渴望被剧情欺骗，当你彻底陷入一场骗局，你看到的只是导演想让你看到的，这也是影片的伟大之处。诺兰对于观影情绪的把控和希区柯克是同一级别的！★★★★★,2011-09-17 04:58:47
8,enthusiast,力荐,"牛逼的导演用的是情节去告诉人细节,而不是台词 咱普通人也是一样 想牛逼就要做到这种境界 不说话同样让人佩服的要死!!!",2006-09-20 15:23:42
9,【半注销】,无评分,这部片子让我不爽的地方是我一直以膜拜伟大悬疑片的心情去观赏它，它最后却甩了我一巴掌，说：“你个傻逼，其实老子是科幻片。”,2010-10-25 13:19:58
10,朋克布莱克,力荐,精彩绝伦的叙事！伯德的“双胞胎戏法”决斗安吉的“复制人重生”——牺牲是魔术表演的最高精神，双胞胎选择牺牲自我，轮流分享人生；安吉同样也是牺牲自我，却拿肉体做赌注。明显开放式的结局，你猜安吉有没有把新的自己都杀死了呢，如果没有，那安吉其实还没死。我杀了你的兄弟，你杀了我的备份。,2011-07-10 11:36:06
11,亚比煞,力荐,诺兰最好的电影，好过盗梦空间。魔术题材拍成这样，已是登峰造极。最后那个一闪而过的镜头，令人如瞥深渊，后怕不敢深想，直寒进骨子里。为什么你永不会了解我的秘密？因你从未追寻真相，你喜欢被欺骗。,2012-06-05 21:33:34
12,暖鱼,力荐,情节悬疑，叙事精巧，主题丰富，背景深厚。简直为完美之作。,2008-11-30 23:08:21
13,胡子大王,力荐,诺兰牛比阿,2007-07-21 14:34:08
14,鼬,还行,故事编不下去就弄成科幻了。。。,2010-01-30 23:14:02
15,艾小柯,推荐,一个与同胞兄弟轮流上台享受欢呼与掌声，一个自我牺牲自我毁灭让复制品延续艺术生命。人性泯灭在狂热之中。,2006-10-29 11:33:52
