序号,评论者,评分,内容,时间
1,一杭,力荐,你的男朋友，本来读诗集，现在翻成功学；本来玩塞尔达，现在玩消消乐；本来豆瓣骨灰级别用户，现在永久退出豆瓣，加入 996 大军并且被成功洗脑 996 赛高；而你还在读诗歌还在玩塞尔达还在刷豆瓣 —— 所以怎么可能不分手呢？穷是原罪，多少烦心事不都是生活所迫。最喜欢的一处是村花看到苏打在工作于是调低游戏音量，苏打想让她尽兴地玩、叫她调大音量，自己戴上了耳机，最后村花直接关了游戏。明明都是想照顾对方的感受，但最后两个人都不快乐。最好的爱情或许只有一个样子，就是全力满足自己的快乐，而对方恰好出现在每一条让自己快乐的路径里。要的就是那个“恰好”，不做任何刻意的努力。PS1. 苏打村花真好嗑 PS2. 片尾我都认真看完了，因为漫画真的很有爱 PS3. 即使最后要分手，谁不想拥有爱情里最美好的部分呢。,2021-07-25 13:54:21
2,雪山夜叉,力荐,靠消费主义维系的恋爱是抵抗不了资本主义秩序的。,2021-02-12 21:40:32
3,库索,力荐,又名：和百分之百合拍的人说再见。,2021-01-30 19:06:41
4,拽拽歪歪&YY,推荐,所以说上班这件事基本可以杀死全世界99%的故事,2021-07-25 07:33:36
5,TOKO,推荐,文艺青年能想到的最浪漫的爱情，在初识的雨夜奔跑，文艺爱好百分百合拍，告白后在红灯前拥吻，在出租房连续做爱一周，在有大阳台的房子同居，在新年参拜捡到一只猫，然后因为长时间的消耗和平分手，在旧地缅怀过去，还会在下雨时候想起你，像极了渴望爱又不相信爱的人们的幻想。,2021-01-31 13:08:24
6,DAWN,力荐,看完以后全场人在鼓掌，真的好好看。开始意味着结束，世界上最稳定的关系依旧是 没有关系。,2021-04-08 00:04:20
7,4__real,推荐,“进入社会就像进浴缸泡澡。”于是真的有人在浴缸中死去。,2021-02-03 19:12:31
8,秦夕然,力荐,太痛苦了吧，我在切鸡胗，锅里还在炒生菜，听他们最后聊分手那段，苏打说要不就结婚吧！大多数人都是这么过的，为什么我们不可以？我想坂元你太残酷了。爱最后肯定是消亡的，所以更多人在消亡前结婚了，以为那还是爱，其实那变成了恩爱。我觉得这部片子不是讨论爱，是在讨论我到底想过怎么样的人生。,2021-07-27 11:29:21
9,SJL豆瓣酱,推荐,这部电影告诉我们的可能并不是“越合拍的人越没法在一起”这种日剧截图道理。而是靠消费主义（即使是披着文艺外皮的小确幸文化）也并非对抗资本主义对爱情异化的良药。“要用你的生活来定义浪漫，不要用浪漫来填充它”，不要将任何一种刻意姿态或者内容消费倾向当作浪漫的表现，不要将合拍挂钩到一起听个小众乐队，一起看个杨德昌电影，一起读个小众作家，甚至一起穿匡威开口笑，这多可笑，这不是一种成熟的浪漫观，这恰恰是一种幼稚的，刻奇的，自恋的表现。不要把生活和责任放在浪漫的对立面，保卫周遭，保卫和正视现实生活也是一种浪漫的表现。,2021-08-26 22:34:45
10,松崎海,力荐,文艺青年社会化全过程,2021-07-28 18:29:21
11,09,力荐,爱具体的人 不要爱抽象的人 要爱生活 不要爱生活的意义,2021-11-02 00:37:19
12,桃桃林林,力荐,原本也就觉得还可以，但结尾那一挥手，真是哭死了。作弊一样的桥段，太好哭了。坂元裕二这个家伙，实在是太会写这种戳人的点了。梦想与现实，恋爱与结婚，这对男女大概就是一体两面吧，从相同的点出发，却终将面临选择，走向岔口，开始各自的人生。此外，文艺青年大多孤独，想找个有共同话语的人很难，由之，才会更懂前半段这对男女发现彼此之后的激动。,2021-07-23 14:38:36
13,哦吧唧,还行,在电影院看的，最喜欢餐厅的那场戏，两方都决心分手，最后一刻男主反悔的挽留，不如结婚吧，成为绝大多数的夫妇，成为爸爸和妈妈，没有爱情也没关系，我们可以成为亲人。可是撞进来的小情侣和曾经的他们这么相似，我知道我们相爱时的模样，所以才无法忍受现在的难堪。,2021-05-15 01:46:29
14,Sophie Z,推荐,我们都快忘记的事，Google街景还记得。,2021-07-26 09:08:58
15,デブリ,还行,青春，就是会因报菜名而相爱。,2021-07-22 22:36:50
