序号,评论者,评分,内容,时间
1,Ruby超人小姐,力荐,张曼玉比梁朝伟高，但他们站在一起那么协调。想来，是穿了高跟鞋的她，懂得委婉地低头的缘故。,2010-04-20 07:57:12
2,寂地,推荐,"王家卫最强的,就是让人掉到一种情绪中去",2006-01-02 15:32:54
3,无用西泮,力荐,孙太太的暗示，何先生的摇头，同样的事情，总是对女性苛责过多。,2021-05-12 18:44:27
4,醉舟,力荐,"They are in the mood for love, but not in the time and place for it. 剧本很有意思，设置了一对在电影里没有任何镜头的偷情男女，却又无时不刻地提醒着周慕云和苏丽珍不要做爱，所以王家卫镜头里沉闷的男女，空荡的房间里充斥着一种不可得的情欲，极省略的叙事，舒缓优雅的大提琴曲配乐实在是太到",2012-09-10 00:04:35
5,小Z,推荐,谁先感到了寂寞，谁就输了。,2008-07-29 13:14:46
6,樹一,力荐,最棒的故事不是大战七七四十九个回合，而是欲言又止。,2013-08-12 01:48:21
7,颜叙,力荐,深夜，雨巷，慢镜头；暧昧，寡欢，语还休。与君淡如水，千杯亦不醉。,2012-01-02 20:54:21
8,影志,力荐,一切都退去了，香港、1962年、那个陈旧的秘密…“如果多一张船票，你会不会和我一起走？”也许~也许~,2005-07-22 01:44:23
9,办公室甜心,推荐,张曼玉最致命的武器便是她的各种旗袍。,2011-11-24 21:55:52
10,米粒,力荐,好看。又闷骚又让人心痒痒的，最后那个无声的电话还真是让我有点心痛呢。。。而且听久了，感觉上海话和粤语混一起完全没有不和谐啊哈哈。顺便求张曼玉全部旗袍的相册（豆瓣一定有！,2012-09-27 10:54:00
11,沉歌,推荐,这些年来我一直想问你，如果有多一张船票，你会不会跟他走？,2007-10-14 15:44:29
12,孔鲤,力荐,1962年的香港确实处于一个难堪的时代，逃难过来的上海人和广府人混居在一起，上海人坚持说上海话，广府人坚持说粤语，逼仄的空间里上海人作为房东一直凝视着这些广府人。然后其中一部分广府人去了日本、去了新加坡，去了比62年的香港更高的地方，被抛弃的广府人只能报团取暖，用武侠小说的方式。直到1966年，一切发生了变化，房东太太感慨香港太乱，决定离开香港去往美国，离开这里的广府人又回来了，他们继续租下这间屋子，然后在新加坡、在菲律宾。于是他们说，那个时代已经过去，属于那个时代的一切都不存在了。是的，66年以后的整个南洋都易主了，上海话不复存在，粤语独占鳌头。来自上海的王家卫想说的就是这个。但大家都沉默了，所有人都接受了这个结果。,2023-01-27 20:18:43
13,亂馬2/1,力荐,【從明天開始我不能再見你了。】【真的麼？】【是。】於是蘇麗珍伏在周慕雲的肩頭從未有過的傷心。,2010-07-24 10:23:56
14,P,推荐,张小姐小腿不错，梁先生发型不错。,2005-11-07 13:15:11
15,渡口无边,力荐,我一直想给它写段短评，但后来我知道，当你太爱某样东西的时候，言语是那么匮乏。,2013-03-22 11:54:43
