序号,评论者,评分,内容,时间
1,反引力疯子,力荐,有几个镜头里，龙哥会发光,2010-04-05 22:09:02
2,战国客,力荐,香港黑帮电影的代表作！小马哥，那是一个神的样子~~,2007-06-24 10:20:57
3,陌聆,推荐,Leslie这个萌娃。据说有次Leslie在电影院看午夜场，他跟盆友说：要死了，观众那麼喜欢发仔，而我却是个要抓发仔和我哥哥的警察。 第二部的时候，他开森的说：这回有人同情我了。看我演得多好！我的妻子怀孕生子时，我死佐~,2012-09-19 22:00:05
4,趙小漁,力荐,我親愛的小馬哥，時至今日你讓我感嘆英雄遲暮更是種折磨……,2008-05-08 22:22:29
5,王小邪,力荐,"英雄泪短,兄弟情长",2008-02-04 00:49:46
6,香水瓶,力荐,三个男人的戏，打得太精彩太经典了！ 2023.4.2 今天看了4K粤语版，这次发现“不如我们重头来过”小马哥也这么对宋子豪说。,2006-04-27 23:23:39
7,Lan~die,推荐,警匪片里难得的作者电影。“你没有欠什么，我从来不会逼朋友去做不想做的事，我有我自己的原则，我不想一辈子被人踩在脚下，你以为我是臭要饭的，我等了三年，就是要等一个机会，我要争一口气，不是想证明我了不起；我是要告诉人家，我失去的东西一定要拿回来！” “我警告你，不要用枪指着我的头！”,2008-09-05 15:40:08
8,失意的孩子,力荐,9.3 “《英雄本色》触及男人的父子情、兄弟情、朋友情、男女情、冤屈受害之情与报仇雪恨之情，堪称多情而善感之作。”侠肝义胆，豪情万丈，句句金言，幕幕动人，子弹芭蕾，暴力美学，义薄云天，热血沸腾。,2014-08-30 00:04:10
9,圆首的秘书,力荐,节奏奇快，没有一句水词儿，实打实的95分钟。狄龙演得太好了，在弟弟和兄弟之间摇摆，经受着法律和道德的撕扯，始终处在灰色地带和生存的边缘。一部充满戏剧性但又十分优美的枪战片。周润发为角色增色太多，人物既有隐忍的一面又有超强的爆发力，狄龙出狱两人在车库见面一段的表演绝对留名影史。,2017-11-17 16:09:27
10,达不溜博士,推荐,能够把握住自己命运的人，就是神,2010-09-11 12:08:23
11,齊克斯尼力佐飛,推荐,“杰仔，你冇错到，我地大家行嘅路唔同，你行嘅路系啱架，以前我行错咗，宜家行翻啱，都唔算太迟。”这句真感动。如果把兄弟情都看成基情，这真的挺可悲的。,2011-11-08 23:33:17
12,一湄,力荐,兄弟和好的时候，哭得不行。,2009-01-11 22:53:57
13,影志,推荐,“做人有原则，就什么都不怕。” 真的不敢说这是我第一次看《英雄本色》，并不需要多么复杂的炫技，好电影从来都很简单纯粹。怀念最好的港片年代。“他有勇气去改过，你有没有没勇气去接受？” 上海电影节4k修复版。,2015-06-15 12:14:16
14,远子,推荐,想不到我也过上了这种在电影院看经典老电影的“小资生活”……片中最动人的是小马哥给人洗车、在车库里吃盒饭那段戏，演得太好了。现在能够理解为什么法国的一次同性恋影展里会有这部电影了，周润发和狄龙的那种兄弟情，西方人可能真的理解不了。,2017-11-21 22:09:01
15,H,力荐,小时候还看不懂这片的情怀和意义 只看枪战精彩程度 更爱第二部 如今长大 回头看 浓浓的江湖兄弟情 讲义气 在那个年代盛行 如今 这世道变了~,2016-12-31 10:01:49
