序号,评论者,评分,内容,时间
1,少年 遊,力荐,“我看这大清要亡国啊”。,2010-07-21 20:40:13
2,大熊猫,力荐,芸芸众生，人间百态。 经典台词：我爱咱们的国呀，可是谁爱我。,2010-06-27 02:32:04
3,#瞬间收藏家#,力荐,总想做常四爷，做来做去却还是成了王利发。,2009-04-06 18:13:12
4,毛毛毛读作cuì,力荐,管他什么时代，原来丑陋的现实都是一样的 ps:京味十足啊，那才叫演戏!!!看演员每一个比一个精彩，配角也不例外，和现在的国产电影相比，差距显而易见!!!,2010-06-19 17:32:23
5,萌汉垚,力荐,我觉得这部作品不朽的原因是它的立意与故事的悲剧性，但最讽刺的是，创作他的人因为文革迫害投湖自尽，比他书中的角色还要悲惨。我真的要大笑三声，流下泪来。,2022-03-24 02:15:28
6,Kerala,力荐,我总是以为过去的人善良单纯，但是看了老舍的作品之后，发现人们还都那样，真是八仙过海，各显神通，有些人偷奸耍滑，坏事做尽，有些人善良耿直，却没有好下场，坏人坏事时时有，而好人好事也并非无，简而言之，那个社会，活着已经不容易了，一切都慢慢来吧，油嘴滑舌，鸡贼心眼的人太多,2018-02-26 11:26:33
7,bird,力荐,以前吃不着花生米，现在能吃了，可牙嚼不动了。,2014-10-26 10:04:31
8,轻河y,力荐,老舍先生怎么也想不到，最后自己竟然成了逆产。,2022-10-08 11:30:11
9,桃桃林林,推荐,“打一个学生，五毛现大洋”这也算认主归宗了。片子拍得很话剧腔，不过味道还是很好，演得也好，有滋有味。秦二爷最后那段自白，现在听着还是有些伤感。,2012-07-12 20:50:49
10,shininglove,推荐,“小姑娘，别这样，黑到头儿天会亮。小姑娘，别发愁，西山的泉水向东流。苦水去，甜水来，谁也不再作奴才。”,2013-09-11 22:39:12
11,Eve|Classified,力荐,结尾当年看哭我。芸芸众生有你我在那里，等着一切结束。,2015-12-22 14:10:21
12,尹昭,力荐,话剧味儿还是挺浓，《茶馆》本身剧本搁在这儿就没话说了，老舍写得好啊，金句无数。三幕，三个时代，好像时局是变了，可照旧还是民生多艰。爱国者、实业家、圆滑者、顺民……都活不成，活不好。最后一幕，笑泪相加：“那帮狗男女他们可都活得有滋有味的，可干嘛不准我吃窝窝头啊！”,2018-11-18 19:30:33
13,严箫玉,推荐,化妆太流弊……这个本子感觉还是更适合舞台表现，戏剧和电影之间真的很难无缝接轨。。,2014-09-05 21:09:12
14,光华映像,力荐,如果中国电影一直都是如此水平，不敢说世界第一，亚洲第一绝对轻松……,2022-08-18 22:44:23
15,xīn,力荐,资料馆2013.9.11.7pm 心内恻恻，看之流泪。撒完纸钱，秦二爷、常四爷相继离去，黑屋中只留一线光明，王掌柜再撒一把，摸下黑布，转入里屋，无限的凄凉绝望。京片子的热闹、诉苦的牢骚，在最后的空空里化为沉沉的哀痛。在老舍所投太平湖旁的资料馆看此片，百感千绪。,2013-09-11 21:59:31
