序号,评论者,评分,内容,时间
1,早日退休瑾朵朵,力荐,郁闷死了 守着一颗白白嫩嫩的大白菜多少年细心栽培没舍得吃，最后这颗大白菜被猪给拱了的感觉 (☍﹏⁰),2012-02-24 19:47:26
2,[己注销],力荐,我说………………既然树枝和毛巾可以，那么手套也不会有问题吧…………所以婚姻幸福就指望保险套了……………………………………………………………………,2012-02-23 23:34:41
3,一枝花奶糖子,还行,动画表现平平，算是很平庸的还原了原作，而且……好你妈的短！！,2011-10-14 01:21:00
4,和也也也也也n,推荐,妖怪有颜就是治愈片 妖怪没有颜就是恐怖片,2012-02-25 15:28:09
5,♠¾゛,力荐,永远不会忘记的拥抱，是你让我曾有过怎样也不想结束夏天,2012-02-24 22:02:58
6,LORENZO 洛伦佐,推荐,小孩子跑不好就不要跑好伐？！摔个什么摔！摔！,2012-03-09 21:29:04
7,aluuuuuuuuuuuu,推荐,“总有一天，时间会把你我拆散吧，可是，即便如此，在那个时间到来之前，我们一直在一起吧”,2012-03-06 21:38:01
8,凉,力荐,时间停止在阿金消失的那个夏天，一生一次的拥抱放在回忆里不会变老。,2012-02-24 20:53:58
9,青 天大老爷,推荐,我有多渴望触碰你，我就有多害怕失去你。,2018-01-31 10:10:05
10,路小北,力荐,有些故事，就算早已烂熟于心，再看时也还是忍不住要哭的,2012-02-24 19:31:25
11,感情靠边站,还行,这咋就能上top榜，好普通啊,2021-01-23 14:29:44
12,沉歌,推荐,“你绝对不可以碰到我啊”，除了一生一世的最后一回。这些悲伤而又温柔的夏天——绿川幸总是能直戳人心最柔软的地方啊！,2012-02-25 16:22:05
13,之弦,力荐,一点都没失望( >﹏<。) 真是发自内心的喜欢又痛恨这个故事！,2012-02-23 17:38:24
14,桃桃林林,无评分,少女的心思，不可触碰的爱，纯爱小故事，画风和音乐都应该很受女生欢迎吧,2012-02-26 14:09:18
15,你家贰哥,力荐,最爱 没有之一 少女心都在这了,2012-02-23 16:55:11
