序号,评论者,评分,内容,时间
1,粟熙,推荐,赞誉众口一致夸上了天，百闻不如一见，这种连环画超级英雄故事居然能扯到第六集真是要把编剧逼跳楼了，最后呈现的暗夜骑士全然超越了原著，悲怆到迷人的境界，着实是个奇迹。剧本确实很卓越，导演确实很出色，还有演技真是不得不叹服一下太tmd震撼,2008-11-21 12:41:29
2,bayer04,力荐,诺兰接手后蝙蝠侠和其它漫画英雄片完全不是一个等级了,2008-08-29 22:07:30
3,Lan~die,力荐,蝙蝠侠、双面人和小丑这三个形象把人在善恶两面的矛盾及选择映射得淋漓尽致，于是成就了史上最佳漫画和英雄电影。时光网：“诺兰让关于艺术片和商业片的讨论变得毫无价值。《黑暗骑士》不但拍出了古典悲剧的感觉，还探讨了恐怖主义、越界权力等美国当代的热点话题。最关键的是，电影好看得无懈可击。”,2008-09-05 00:00:06
4,fishlee,力荐,大片中很有内涵的一部，不管是人们心中暗自涌动的对小丑疯狂灭世主义的不安的共鸣，还是对蝙蝠侠孤独暗夜行走的英雄惜英雄般同情，其实都是人们对这个世界失望的一种情绪释放。其实小丑说的很对，他和蝙蝠侠很像，都是异类，只不过蝙蝠侠把痛苦留给自己，顽固地去坚守一丝信仰，而小丑把痛苦还给世界。,2009-07-28 10:21:42
5,根,推荐,一直在搜索“为什么还有人想住在哥谭市”,2017-08-28 22:47:39
6,evonne||芝士命,力荐,好到一秒钟都不曾浪费,2009-05-16 11:12:11
7,云倾,力荐,小丑把该说的不该说的都说了 蝙蝠侠把该做的不该做的都做了 生命在于抉择 英雄的时代已经逝去了,2008-09-10 11:56:30
8,穆玉修,力荐,Christopher Nolan太厉害了，好莱坞漫画类型片居然能拍到这样的高度...,2008-10-17 18:46:13
9,五色全味,推荐,诺兰的叙事能力不但在于结构上。。他总有一个与众不同的主题,2008-12-02 00:05:09
10,小M,力荐,光明与黑暗是同一个人的两张脸,2008-09-29 21:32:44
11,苏仁,推荐,剧情很诱人，总体很赞。不过，坏人的形象太完美而不真实，在智商情商上都是超一流，远胜主角。漏洞太多，哪有那么快就能搞到详尽的内幕信息？哪有说请了一帮小匪徒却跟受过严格训练的军人一样恪尽职守按时按点执行计划没有分毫不到位的？要搬运大量的汽油桶这种事怎么能在不引起官方注意的情况下实现？,2012-05-08 19:36:09
12,伍德与夏洛蒂,推荐,本来想给5星，但看的我累死了，4星，三颗都给希斯莱杰，剩下一星给累的半死的诺兰,2011-02-27 00:31:25
13,Jin,力荐,对于这么优秀的电影来说，再多的赞美都是多余的。,2008-09-15 12:48:37
14,影志,力荐,“有些人并不喜欢那些常人偏爱的东西，比如金钱，他们不被收买、不会被恐吓、不可理喻、更不接受谈判，有些人就想看人间地狱。” 也只有蝙蝠侠，才能让小丑变得完整。无尽的黑暗。,2008-12-14 15:32:12
15,荔枝超人,力荐,Batman是最不漫画的漫画英雄，也正因为这一点，使之最有可能成为跨越犯罪剧情片和漫画英雄片界限的特例。而这一次，编导精准的抓到了这一点，把这部电影打造得丰富严谨又酷劲十足，无论是满足视听还是人性复杂层面的挖掘上都做到了堪称完美！,2008-11-29 16:36:15
