序号,评论者,评分,内容,时间
1,西楼尘,推荐,棠宁上了逃难的货船，注定靠不了岸。吸了权欲的烟，休想借药片安眠；棠真上了求爱的列车，注定到不了站。捡了绝情的果，别想靠红绳还愿；月影上了独返的飞机，注定落不了地，断了观音的手，甭想凭佛咒往生。三具假面，是权欲的人头、绝情的鱼头、观音的水头。长命百岁万年富贵，是我送你最恶毒的祝愿。,2018-04-05 15:10:18
2,基闹,推荐,全员恶女的戏，哪有不好看的。,2018-04-04 23:03:05
3,齊克斯尼力佐飛,推荐,年纪轻的渴望爱情，长大了的向往自由，年长的沉迷权力。都是作茧自缚的典型。,2018-04-13 08:23:31
4,朝暮雪,推荐,《嘉年华》和《血观音》应该连着看：如果你看到别人被强奸，明明掌握证据却不发声，那么下一个受害者就是你。,2018-04-04 19:08:43
5,桃桃林林,还行,野心很大，水平一般，荒诞感远不如预期。演员表演也比预想差,2017-11-21 21:32:23
6,喵尔摩丝,力荐,棠府群娥，个个明是一盆火，暗是一把刀。深宅大院，夜半三更，最宜粉墨登场。你只道这群贼婆娘干着双手染血的勾当，咒诅她们永堕无间地狱，却不曾想如果活得不这样机关算尽，那人吃人的弹丸之地，怕是也不容她们立足。迎来送往，不过本能，血雨腥风，哪来往生极乐。此间便是地狱，人不像人，鬼不像鬼。,2018-04-04 23:11:15
7,KitajimaJunko,推荐,完全诠释「公主命丫鬟身」。碧绿的翡翠和精致的丝绸底下一肚子坏血坏心肠；看似清正廉明的官僚政治底下暗藏勾心斗角的险恶腐败；又哪有什么海誓山盟的爱情。名门闺秀的复杂身世铺撒了一张血色巨网，浓郁色调的画像之下藏匿着帧帧剧毒。被电影美术和演员表演惊艳，故事与影像，摄影与音乐极为融合搭调。,2017-11-19 17:39:44
8,奈奈生,力荐,棠宁，三代人里最有“人味儿”的，放纵的情欲，看戏的落寞，孤注一掷的逃亡，拍得既美又惨烈。,2020-10-17 22:38:21
9,风间隼,力荐,这就是一女版《教父》啊。开头的盛宴，心黑手狠的港婆将军夫人，背后是缅甸残军，身旁是新晋党魁，足够脑补出一部百年中国近代史来了。惠英红、吴可熙的母女表演精彩，从透露私情的睚眦到最后撕毁遗嘱让外祖母受活罪，小女孩一路黑化，可惜表演一般。镜头很有味道。盲眼说书艺人讲冥府报应很赞。,2018-05-05 22:22:04
10,fantasy *,力荐,棠宁是三个女人中最单纯的那个，看似情欲放纵的她，只是自己母亲的一颗棋子，她多么希望母亲可以放她一马，于是他只能每天在烟酒与情欲中麻痹自己，最后孤注一掷的摆脱修罗场，“妈妈爱你”成为了最后的遗言，真是又浪漫又悲情。,2022-04-24 00:15:47
11,蚂蚁没问题,力荐,我没觉得野心大执行不够，没觉得用力过猛，是恰如其分烂熟的苹果，三代女人的故事，无不精彩，对白与镜头透露出的内涵也很棒，亲情笑里藏刀，爱情全都幻灭，三刀六洞，鲜血淋漓，痛快痛快,2018-04-04 21:38:45
12,黄青蕉,推荐,导演快去拍张爱玲啊！惠英红快去演女黑社会老大啊！,2018-04-05 22:29:27
13,哪吒男,还行,野心很大，胆子很肥，但剧情和气势包括表演都外强中干。《大佛普拉斯》的惊喜在于带着从土地里生长出来的悲怆，《血观音》的失望就是所有的优点似乎都是空中楼阁。,2018-04-04 23:00:02
14,陈哈,推荐,《大佛普拉斯》讲活在地狱的人，《血观音》讲活在人间的鬼。主要角色基本上都是一脸鬼气。惠红英：我看淡了...不过没经历过狠，怎么会看淡。她说的狠是亲自送出女儿的命。Marco:哪有山盟海誓，每次都是她（富家小姐）扣押我东西让我走不成。所谓爱情，不过是养个底层性奴。,2018-04-06 13:47:59
15,影评人 杉姐,力荐,想给满分的电影，很震撼虽然黑到不能理解，但生活中确实有这般把儿女当做名牌包一样的父母，对白全部都是茶余饭后的闲谈，却句句道出政治的黑暗和人性的丑恶，没有一句废话，连唱歌都是以词表意。电影很美，形式感极强，很多地方前后有互文，镜像表达、落地的苹果、糖果、子弹壳等等。一部很精美的作品,2018-04-09 15:53:59
