序号,评论者,评分,内容,时间
1,花继续开,力荐,“有人问中国最伟大的人是谁？人民说是他，他说是人民。正确答案是人民，但他若不曾出现，是不会有这个答案的。”,2020-10-14 02:51:39
2,大奇特(Grinch),推荐,开篇大四喜，尾声单钓将；麻筒子连七对，汤混子全不靠，四万字无番和；大三元影帝，清一色男配，花牌周韵，自摸姜文。,2010-12-16 03:19:43
3,朝暮雪,力荐,要是姜文拍完这部电影就宣布退休，他会被封神。,2012-08-13 11:03:47
4,弗朗索瓦张。,力荐,说姜文用力过猛的 那只能说明您受功不够 受用不起！,2010-12-17 02:04:49
5,顾盼,力荐,姜文说，我想站着把钱挣了。他做到了。结尾处的那句 没有你，对我很重要。怎么解读都不为过。,2018-02-08 17:53:21
6,Touma,力荐,拍个虎虎生风，拍个一日千里，拍个恍若隔世！,2010-12-16 17:15:11
7,于少,力荐,牛着逼！,2010-11-27 00:54:12
8,shawnj,推荐,并不是所说的那么出色，被过誉了。横向比很棒，纵向比是姜文几部作品中最差的,2010-12-16 14:41:24
9,欣欣向荣,推荐,这个电影很好玩，重复看会发现很多隐藏线索，麻将面具也很有意思，最后还有惊喜，挺好看的,2018-02-20 10:28:27
10,cornmeal,力荐,谁赢他们帮谁，但是他们不明白，他们帮谁，谁就赢。人类不感谢罗辑，同样的，人民也不感激牧之。,2022-03-19 19:06:05
11,Q。,推荐,“走路不要太快，会扯着蛋。”这是一部溢满荷尔蒙的火药桶，这是一部会带来核动力反应的影片，震撼所有人，并且持续许久。130分钟的影片满是高潮，全场观众从头沸腾到结尾，不断的笑声、不断的掌声。无论哪个演员都表现的十分出彩，台词幽默精致，结构紧凑、首尾呼应，唯独缺少一丝控制。★★★★☆,2010-12-16 16:01:38
12,琦殿,力荐,行了，装逼一次，继段奕宏，姜文再一次满足了我对男人所有的幻想。操，嫉妒周韵。,2010-12-17 20:46:01
13,接十分钟的吻,推荐,三四年前看的，只记得全班人一起笑得跟傻子一样，挺不错的电影,2018-01-24 18:08:53
14,猪头小队长,还行,仍然有浪漫的想象、癫狂的审美、极致的表演，然而姜文这次说，他要让所有人都看懂，于是他不放过对任何细枝末节的解释。当彪悍的人生开始解释，所以，情怀没了，诗意没了，理所当然。难道所有导演的审美都要假装去迎合观众而连带着水准一起拉低？好吧，那市场胜利了，这下子都能看懂，都能笑了。,2010-12-05 01:10:40
15,同志亦凡人中文站,推荐,细节还差点儿 故事很给力～！,2010-12-16 22:00:39
