序号,评论者,评分,内容,时间
1,Lucifer,推荐,贾米尔和他的哥哥不是两个个体，而是人在苦难环境中的两种选择，一个始终怀有赤子之心、爱心、同情心，相信奇迹、美丽、爱情等一切美好的东西，一个被迫选择用暴力和残酷将自己武装。这不是人的错，而是时代的悲剧，即使如此，在黑暗的世界中贾米尔发出的人性光芒如同正午的阳光一样耀眼得让人不能直视,2012-11-07 01:23:04
2,jiyun,力荐,杰玛在老大家中劝拉媞卡跟他一起逃走。 拉媞卡：那我们靠什么生活？ 杰玛：爱。 这就是现实中爱情和电影中爱情的差距。,2009-02-27 23:19:52
3,镜听,推荐,想了想，还是给了四星——其实我觉得它没有那么好。动人的音乐，流畅的节奏，美丽的画面——纵然肮脏也是美丽的，自始至终都充满了那种顽强的，不可遏止的生命力。 但还是觉得……无论如何都有着欧美导演看东方那种猎奇的意思。这种“猎奇”对我们来说其实也是一样——繁华与污秽并存的孟买，阳光尘土中的泰姬陵，黑暗的街巷，垃圾堆上的贫民窟……包含的元素和符号太多了。固然有着野心和足够的手段，但同时也会冲散很多东西。 大概还是心存警惕。不过无论如何，丹导还是有两把刷子的……这年头会讲故事的导演已经不多了。,2009-09-05 23:54:26
4,掀桌超人,力荐,"得2000万的时候全场欢呼，我却哭了，为他哥。life is shit, but god is great.",2010-05-23 13:26:03
5,影志,推荐,just a love story again 基本上就是：《上帝之城》+《猜火车》+《阿甘正传》+《开心辞典》！本片又名：山寨富翁 / 阳光小阿三 囧！,2008-12-29 22:50:48
6,海心,力荐,他亲吻着她脸上的疤痕，那是为他而受的伤害。这片子挺感人的，可是，现实中又有谁能如此坚持，等待命中注定？,2009-01-04 20:02:20
7,.,力荐,杰码劝拉提卡逃走时，拉提卡问他我们靠什么生活，杰码说靠爱。 他能说出这种浪漫不现实答案，是因为他哥哥为他抗下了一切不堪的现实。,2020-04-18 23:42:27
8,晨光荣耀,推荐,很好的题材，但还是少了点什么,2009-01-16 22:38:18
9,果酱☮,推荐,深刻体会到命中注定一词的含义了。怎么那么多人打5星，我客观点还是给了4星。没办法，最高就是5星，我觉得这片子不至于最高，要不然猜火车该往哪放呢！,2009-01-22 05:54:47
10,春风不解意,力荐,现实主义的剧情，落到了浪漫主义的结局上。,2018-05-14 23:24:42
11,Privateer,推荐,他们憋了2个小时才在结尾跳舞，他们真的...我哭死,2023-01-28 00:02:34
12,九尾黑猫,推荐,特别像文艺片导演拍的大片，还是挺有情怀的。不觉得是贩卖贫穷，是人家那种追求真爱的精神嘛~特别符合美国梦的要求。,2009-04-27 11:57:19
13,艾小柯,力荐,一歌到底，谁解我心,2008-12-14 09:27:37
14,橘猫爱吃鱼,推荐,在这样一个现实社会之中，杰玛赢走的不仅仅只是金钱！而是生活在水生火热的底层社会中的每一个民众试图改变自身命运的梦想。,2018-05-09 07:59:20
15,杨迪,力荐,虽然现在想起有一次性电影之嫌 但是第一次看带来的震撼无法忘却,2009-12-19 14:34:58
