序号,评论者,评分,内容,时间
1,岚枫十字,力荐,迪士尼最新的Hyperion渲染器，渲染旧金山全景，几千个光源，无数的precedural shading...碉堡... 剧情的话Hero's journy，感情带动很好。动画感觉比Dragon2有看头~ 忘了说一句，记得看彩蛋~ Stan Lee的哏儿~,2014-11-08 14:13:30
2,Sigmund Fraud,力荐,三番和东京，动画和机器人，樱花和Caltech，我们的城市我们的大学我们的专业，这部片子对我的意义不一样，我真的惊。呆。了。对最近在想皮肤材质和场景建模和粒子特效的我也格外有教科书的意义。再见Monster Co，你现在排第二了！（DC在这个我所看过的最彩的彩蛋里被Marvel黑出翔~~~！！！！,2014-11-29 16:49:07
3,一位少男,力荐,史上最萌胖子诞生！要抱抱！彩蛋里的斯坦·李也是蛮拼的！,2014-10-26 22:03:13
4,ANNA,力荐,又萌又燃有内涵，给大白五星满分！本片美指晚餐可以加个鸡腿，不过私心以为赛博和风的城市设计应该找帝国少年来做的。看完也想在飘满涡轮驱动风船的城市里找个呆萌呆萌的大白，一起坐在鱼风船上看夕阳……等等，大白和hiro酱好像都是男的？#不腐不是迪士尼#,2014-11-28 13:11:08
5,影志,推荐,故事不新鲜，但角色有新意。几处萌点和泪点全部来自大白，大白的陪伴，让人想起的不仅仅是：大熊身边的哆啦A梦、教授帕克的忠犬八公、坚守地球的WALL·E、邻家的多多龙、维克多的科学怪狗、小嗝嗝身边的无牙、库珀身边的机器人Case、山姆身边的Gerty、Wallace身边的Gromit...,2015-01-12 22:39:00
6,Bill,推荐,好想戳爆胖子看会发生什么……,2014-11-07 03:39:51
7,Kaito,力荐,大反派是乐高版章鱼博士吧哈哈,2015-02-19 23:50:09
8,Lycidas,力荐,啊啊啊啊啊啊啊啊啊啊啊啊啊baymax简直太可爱啦！！！放气戳肚子贴胶布按自动贩卖机什么的萌点都被戳爆了，他大概是唯一一个能把肚子挤成胸的超级英雄吧。San Fransokyo简直棒到超现实了，好想搬去......最后李大爷的彩蛋哈哈哈哈真是绝不放过一部啊。,2015-01-10 15:48:55
9,自由的玩,力荐,为大白(●––●)打五星，太萌了，挺好看的。,2018-03-16 19:40:52
10,伍德与夏洛蒂,力荐,集合全世界的萌于一身的大白，让机器人的暖心地位达到了新高度，超级英雄携手人工智能更集合了时下最热的观感体验：飙车、飞行与触手的魔性侵入。当然最棒的还是日本与旧金山的融合，做梦都希望它是真的存在~彩蛋某老爷子又怒刷存在感。最后我想喊一万句，大白嫁我！五星全给大白！细节要戳死了！,2015-03-02 23:46:23
11,sasasasa,推荐,balalala,2014-11-09 08:30:00
12,狷介有乌青,力荐,淘宝会出大白1:1仿真实物吗,2015-03-01 16:05:25
13,芦哲峰,还行,以后打听动画，不用再问好吗，只需问人萌吗？动画好不好，全看萌不萌，动画片彻底进入萌时代。,2015-01-12 10:23:03
14,小波福娃,力荐,其实这是一部学术伦理大片：天才少年的学术成果竟惨遭招生教授剽窃，幸得有高帅富出资赞助，得以联手研究团队和不良导师展开惨烈撕逼，结局告诉我们，搞学术，一定需要一枚健康顾问。大白，你值得拥有。,2015-03-15 20:55:16
15,亵渎电影,还行,我知道大白已经萌到你什么都可以不在乎了，它就像一朵美丽的塑料花，一桶异常甜腻的爆米花，萌到犯规的片子，加上工整成熟的剧作，就算是像现在这样，没有什么新鲜的俗套，依旧是用来打发时间的首选，它很像漫威电影的动画版，完全是一个套路，可惜我对这类片子从来都没什么好感。★★★,2015-01-13 22:26:14
