序号,评论者,评分,内容,时间
1,宝塔糖,力荐,有钱才能保护喜欢的人,2011-07-09 02:37:35
2,2013,推荐,印象很深刻的是黑白画面中的红色。,2006-09-11 17:44:34
3,西梨,力荐,出门的时候，看到灯火辉煌的城市，会觉得一切幸福美好都是罪恶。。。,2008-06-29 23:14:08
4,文泽尔,力荐,这不止是剧情，更是技术、镜头、剪辑、演技和配乐的综合胜利。表达是一出技巧活，不以剧本和背景定优劣，这一切都是导演的功力和运气造成，不可求，但可遇——《辛德勒的名单》可谓厚积薄发。而实论背景，辛德勒本人之事尚存争议，电影却已在全世界人面前诠释并且定性了，由此可见媒体的影响之大,2007-10-12 07:32:32
5,Q。,推荐,“凡救人一命，即救全世界！”一段如此深刻的历史，多么希望它早早结束，但如此一部经典的影片你却永远都不想它完结。感动于良知，印象很深刻的永远是黑白画面中的那一抹红色。在任何时代，不管有多么的黑暗，都会有人性的光辉在闪烁着；经典的影片也不会因为缺失色彩而让人觉得沉闷。★★★★☆,2009-02-02 03:04:15
6,veronique,力荐,请看一部没有笑容的电影吧,2006-06-15 18:59:41
7,珍妮的肖像🦤,力荐,不仅仅是犹太人，而是整个人类的悲剧。,2006-11-13 08:39:25
8,Ying,力荐,“你从来不喝醉，那是绝佳的自制力。自制力就是权力。” “权力是当我们有绝对的理由去杀一个人的时候，我们却不那样做。那是古代帝王风范。那才是权力。”,2015-02-15 22:31:59
9,朝暮雪,力荐,连姆·尼森后来又演了《通勤营救》《空中营救》《飓风营救》，成为营救专业户。幸亏《辛德拉的名单》当年没引进，不然可能会被翻译成《辛德勒营救》。,2012-08-07 15:42:09
10,巴乌,力荐,我哭死算了我,2006-04-25 22:11:28
11,雨果,力荐,辛德勒犹太人献给辛德勒的指环上写着：“凡救人一命，即救全世界。”当1100这个数字具化到一个个人名的时候，当片尾处影片中被救的犹太人原型出现时，才能真真切切地体会到指环上的那句希伯来经文的深刻。,2016-12-06 17:21:57
12,Tilda Li,力荐,这类片子，在我的概念里，和读书时四大名著同等级别，大部头，轻易不敢触碰，一旦决心看就要掏心掏肺100%投入。很辛苦。看完都像心灵负重走了长征。平庸之恶也许只是借口。真的猛士敢于面对人性的黑暗与软弱，敢于跳到体制中做出自己的选择。像伟大的犹太裔导演斯皮尔伯格致敬。,2012-03-30 17:24:10
13,快乐人生,力荐,斯皮尔伯格，犹太人，世界最著名的导演之一，他通过黑白映像把第二次世界大战中德国纳粹犯下的滔天罪行传播到世界各地，那段对犹太人灭绝人性的杀戮终于大白于天下。 苍天悲悯，辛德勒名单内是生命，外是死亡，他为此倾家荡产，1100犹太人得已生还，也记住了辛德勒这位伟人。,2018-03-02 20:45:50
14,影志,力荐,每一次看都有新鲜发现，每一次看都会内牛满面。/ 记第一次在中国大银幕观看 20190413 @天幕新彩云巨幕厅,2006-01-08 05:32:13
15,橘猫爱吃鱼,力荐,特别喜欢的片子，心里特别难受，从音乐到场景都是很压抑、很凄凉。当看到犹太人把金牙抠下来铸成了一枚戒指送给辛德勒那段时我已不禁泪如雨下。这部电影无论是在思想、剧情、摄影、音乐都做到了目前战争片的极致水平。,2018-01-12 16:09:22
